"names","values"
"itemid","3"
"event","IM A ZEBRA"
"eventtime","2006-01-30 13:37:00"
"url","http://0x0-laura-0x0.livejournal.com/855.html"
"userid","24"
"itemid","2"
"event","blergh i duno why the layout is goin all gay but just cos i live in a flat yeh only got a tv and that is that (8) ohhh  days
collge is shit as peruna i luk like a cabbage with two plasters all over my fingers lmao :( talkin of cabbage..met this random boy that goes out with a girl ino and his names cabbage..kinda annoyed him tho cos i called him brussel sprouts lmao..
Neways
got mr anal and im soo glad he int like ""lets c wot work uv dun"" cos all iv dun today is open a picture and put it in the middle of the page.. haha..\
cba nemore so go away  bum"
"eventtime","2006-01-30 12:10:00"
"url","http://0x0-laura-0x0.livejournal.com/529.html"
"userid","24"
"itemid","1"
"event","Well here i am again..a new lj 8-) i wa lukin at my old one an like... hrm time 4 change lool..Blergh neways! 
at college an i wud say wot lesson im in but i reli dont know 8-).. jus went for break so im back now .. sum1 deleted my magic coke so i had to get anuva 1 :) uva than that nuffin .. had 2 cans of cherry coke so thts me dun for today god help u all..
simons jus bin moaning with bob like "" u girls r never here on fridays reah reah"" but blergh fook u 
Hrrmm bored :( 
Update when i have sumfin to say ! probs later wen im hyper like :) 
xx"
"eventtime","2006-01-26 10:46:00"
"current_moodid","92"
"url","http://0x0-laura-0x0.livejournal.com/309.html"
"userid","24"
