"names","values"
"itemid","93"
"event","Hey everyone!  I am very excited to hear that Amy is going to be in Arizona for at least part of the summer, because I am also going to be there for my sister's graduation and about a week after that.  All together, I am going to be in Arizona from the 21st until the 28th of May.  I hope everyone is available to have some mad fun that week.  I hope to be able to arrange at least a few get-togethers.  Let me know."
"eventtime","2008-05-07 14:21:00"
"url","http://a-seers-pryce.livejournal.com/23836.html"
"userid","170"
"itemid","92"
"event","Hi everybody!

I am going to be in Arizona in a few days from the 10th to the 16th, and between the 10th and 13th or 14th, I'm going to have 2 of my San Diego friends with me (both of whom I believe Julian has met...Melissa and Jessica...).  Anyway, if anyone is able to do anything then, I really want to see people!

Let me know!"
"eventtime","2008-01-08 10:19:00"
"url","http://a-seers-pryce.livejournal.com/23784.html"
"userid","170"
"itemid","91"
"event","So I'm going to be in Arizona over Thanksgiving, and my mom and step-dad are having my step-dad's family over on Friday night, so if anybody wants to do anything, let me know.  I will be forever grateful to you if you give me a reason not to be there!!!"
"eventtime","2007-11-13 20:10:00"
"url","http://a-seers-pryce.livejournal.com/23511.html"
"userid","170"
"itemid","90"
"event","Okay, so I haven't talked to anyone from az from an incredibly long time!!! In fact, I haven't been on livejournal for almost a year.  It was really hard to remember my password.  Anyway, I'm gonna be in Arizona for about a week in July from the 18th to the 25th, so if you guys are gonna be there and want to hang out, let me know.  I miss you guys a whole bunch of a lot.  I hope we can do something while I'm there.  Anyway, let me know!"
"eventtime","2007-06-25 13:18:00"
"url","http://a-seers-pryce.livejournal.com/23214.html"
"userid","170"
"itemid","89"
"event","So...I realized not too long ago that I'm actually leaving AZ tomorrow...which is Thursday.  So, unfortunately, I won't be able to go to the Friday party.  I definitely would have liked to stay if it weren't for the fact that I'm moving down to sd on Friday. (which I originally thought was Saturday)  anyway, I hope you guys have a fabulous time!"
"eventtime","2006-08-16 13:49:00"
"url","http://a-seers-pryce.livejournal.com/23015.html"
"userid","170"
"itemid","88"
"event","1. Grab the nearest book.
2. Open the book to page 123.
3. Find the fifth sentence.
4. Post the text of the next 3 sentences on your blog along with these instructions.
5. Don't you dare dig for that ""cool"" or ""intellectual"" book in your closet! I know you were thinking about it! Just pick up whatever is closest.
6. Tag three people.

""Ah, but you made such fantastic bait,"" Raoden said.  ""Besides, it worked.  We got the newcomers, and you appear remarkably bruise-free.""

Tag everybody who reads this"
"eventtime","2006-08-07 12:14:00"
"url","http://a-seers-pryce.livejournal.com/22765.html"
"userid","170"
"itemid","87"
"event","<a href='http://www.theharrypotterquiz.com'><img src='http://www.theharrypotterquiz.com/banners/2.gif'><br><img src='http://www.jamiefrost.co.uk/theharrypotterquiz/banners/ravenclaw.jpg'></a><br>
Intelligent and insightful, you are a gifted individual, who although may sometimes be buried in academic affairs, is friendly and welcoming."
"eventtime","2006-07-12 15:04:00"
"url","http://a-seers-pryce.livejournal.com/22450.html"
"userid","170"
"itemid","86"
