"names","values"
"itemid","11"
"event","So far this morning I have accomplished getting all of my laundry into the bag, putting on my robe and making some coffee.  Go me.

I have to admit that sitting here with this miniature lap top and my favorite coffee (with half and half and sugar of course!) feels pretty fucking posh.  The new bathrobe I got for Christmas is helping as well.

So the new apartment rocks, but the fabulous home decor has been put on hold due to lack of funds.  I hope that it is more temporary than I think it is right now because I see myself being pretty hard pressed for cash through the middle of February.  Oh well at least I can sit here and feel posh even if I am broke!

I was plagued by bizzare dreams again last night. 

 First I dreamt that both my sisters and I went to college and wanted to dorm together.  The school seemd to be in the middle of no where and though I was indoors I was highly aware of the fact that it was bitter cold outside.  When we got to our room it was jammed with 5 beds and a crib!  Then this bizzare couple comes in with their baby.  My sisters and I were all freaked out and we insisted that one of the parties had to move pronto.  There were moved and for a very short while we were happy, but then, as in real life S started disappearing and avoiding us.

After that I had another dream that I was still away at this barren waste-land of a school but that I was a vampire.  Every night I had to choose a different victim or I would not be able to fake being human during the day.  So I was having a lot of fun picking out the biggest jerks and bitches on campus and picking them off.  Then a cute senator type person came to speak at the school and I decided that he might make a good slave instead of killing these idiots all the time. I was very torn about the descision though because there were still so many dumb folks to choose from."
"eventtime","2003-05-01 12:10:00"
"current_moodid","96"
"url","http://aevalshadow.livejournal.com/2995.html"
"userid","311"
"itemid","10"
"event","John got me a keyboard for my Palm for Christmas, it rocks!  Now my little divice can live up to so much more of its potential.  I have no excuse not to start wrtiting again now.  I'll have to start thinking of ideas again.

I've been dreaming of beig on boats lately. First time I was dreaming that I was in the Navy but that I had to be discharged because I had a ""viral syndrome"" that they couldn't figure out.  I physically felt horrible in the dream.  It was a releif to wake up which I cannot say that I have that feeling often.  But when I went back to sleep I dreamt that I was on a ship. Above board, were cruise passengers, below was a hospital.  When I ent in the kitchen, there was blood every where pooled all over the place.  I heard someone coming and I hid.  Two women, nurses, came in (one was Betty White) and they were both covered with blood. I remember focusing on a big glob on Betty's neck.  I knew that they were planning on butchering everyone.  strangely, I wasn't scared, just horribly horribly exhausted.  I don't know how one feels exhausted while already sleeping, but it was weird.  The next night was more boat riding, but more sedate. 

Last night I dreamt that I was traveling through a restored colonial village or something, but the grass and trees were really lush. As I was walking along somene told me that my old landlord had died.  I didn't know how to feel about it in the dream.  It was confusing."
"eventtime","2003-01-03 19:20:00"
"current_moodid","40"
"url","http://aevalshadow.livejournal.com/2690.html"
"userid","311"
"itemid","9"
"event","I am so freaking wound up today that I don't know what to do with myself.  It's like I want to stand on my desk and do the rumba.  I wish I could channel the energy into doing my work, but I am just too frenetic to pin myself down.  So weird.  Anyway, I am trying to get a little group together for lunch but everyone else is in slow motion.

I'm taking Indie and Sky to the vet on Saturday for their 1st annual check up.  I have to get another carrier before the appointment because they have outgrown the one that I brought them in last time.  On their first trip to the vet they weighed about 5 lbs each.  Now one is 15.5 lbs (a little bit of a fattie) and the other is 12 lbs (a little bit skinny for a Ragdoll.)

I had a disturbing thing happen with the skinny one that made it hard to leave him and come to work today.  We were laying on my bed yesterday morning having a snuggle when suddenly he stuck out his tongue and started ""coughing.""  It didn't seem like a gaggy hair ball thing, but rather a wheezy thing.  I was alarmed, after a few seconds of waiting for him to work it out, I lifted him up and he was like a rock frozen in pose.  I looked into his eyes and he didn't look afraid, so I blew in his face to see if I could interrupt whatever the problem was.  (My friend's Yorkie used to hyperventilate with excitement when people came over and that worked for him.)  So I blew on him and he seemed to perk up and relax.  I put him down and watched him until he returned to seemingly normal.  I have been a little suspicious as of late because he hasn't been greeting me at the door every time I come home or run right to me when I call his name as usual.

Anyway, I called the vet and told them about it.  They told me if it just happens the once, then coming in on Saturday is fine and it might just be a furball thing.  (I gave him some fur ball medicine 1/2 an hour after it happened.)  But if it happens again, I have to rush him in.  Poor baby!"
"eventtime","2002-11-04 13:22:00"
"current_moodid","52"
"url","http://aevalshadow.livejournal.com/2315.html"
"userid","311"
"itemid","8"
