"names","values"
"itemid","75"
"event","so today was lame. i cant sleep so much on my mind. i miss my girls so much its really starting to affect me more everyday. now the one thing that kept my sanity in place has turned their back on me basically. i just need a break. ive poured my heart out for too many people and i end up in the same place everytime. its not fair but i guess thats where my life was supposed to go. i dont consider myself to be the best choice for anyone, i mean there is always something better, but i truly felt that i am good for her. maybe we wouldnt have worked out, maybe we would have broken up anyway. i probably will never kno the true outcome of this situation. i think i should talk to someone, maybe they can help get my head straight. at least one positive, kodiak detention is almost up! yay"
"eventtime","2011-06-01 00:16:00"
"url","http://al-cohol.livejournal.com/19397.html"
"userid","391"
"itemid","74"
"event","yea this journal is getting a little repetative but thats what happens in my life. i met an amazing person about 2 months ago. smart, funny, stunningly beautiful. i probably let myself get too close too fast, but this person brought out a side of me that i thought that i'd never find again. hitting things off the way we did and how great we got along was amazing. i thought we had a good thing, we'd joke about being stuck with each other, and shit like that, i mean i want a relationship with her, but she is still wrapped around past shit. i just dont know how a person can go from saying that they cant wait to see me in july and that they are excited to take a trip to san diego with me and possibly crash for a while, to telling me that they think they are still in love with their ex. how come i cant avoid these fucking situations? is it too much to want someone who cares about me!? i loved feeling that someone was happy to talk to me and hear from me, now im back to being alone and miserable. i really want to just hold my kids at least i know thats one thing no one can take from me."
"eventtime","2011-05-30 00:02:00"
"current_moodid","129"
"url","http://al-cohol.livejournal.com/19130.html"
"userid","391"
"itemid","73"
"event","so officially today she told me that we cant work out, because of how we fought. what a fucking cop out. if you dont want to be with someone then just say it. or if you are afraid of what could be then say that too. dont lead a person on for weeks and then let them down, in text nevertheless. why am i cursed to be unhappy. i mean isnt it bad enough that i cant see my kids everyday? or that i am wasting away. i have no motivation. no drive for anything. i thought that what i had was good. i thought she could be good for me, i thought that one day it could be something great. i have never been a very optimistic person, and this is why. i had hope, i had faith and this is what it got me. fucking shot down. well lets see what more fucked up things can come my way"
"eventtime","2011-04-03 20:41:00"
"url","http://al-cohol.livejournal.com/18871.html"
"userid","391"
"itemid","72"
"event","i am disgusted with myself, why i let myself get into this situation. i opened myself up again to someone i thought i could trust and thought might be good for me. but in the end it just fucked me. i dont even know what to say. i am so hurt. so let down, again. i am just sick and tired of being led around. i just want to be with someone who is good for me and wants to be with me. i dont even know what to do, or who to turn to. i have no one. i am alone. my kids are so far away and they are the only thing that keeps me going. but i cant hold them. i cant kiss them. and at the same time i cant be with their mom anymore. i am truely lost in a sea fuck. i really feel like i am going to vomit. maybe it would be good. wretch out the sickness in my stomach. FUCK THIS!"
"eventtime","2011-03-22 22:05:00"
"url","http://al-cohol.livejournal.com/18609.html"
"userid","391"
"itemid","71"
"event","so yet another mindless rant about my fucked up head. divorce sucks in every way possible. my future ex makes everything impossible. i feel terrible that i wont be around my girl. it physically hurts me. i really need to go to a dr about it. i feel short of breathe and my chest gets overly tense. not a healthy way of living. and i feel bad that i have dragged anothoner person into my situation. it probably wasnt the smartest thing to do but i feel so lost without talking to them. i need help. i need my life in order. i am in complete disarray."
"eventtime","2011-03-20 15:39:00"
"url","http://al-cohol.livejournal.com/18284.html"
"userid","391"
"itemid","70"
"event","Can we start again?
Go back in time to where we started.
Can we start again?
What we had can't be discarded."
"eventtime","2010-11-01 16:59:00"
"url","http://al-cohol.livejournal.com/18128.html"
"userid","391"
"itemid","69"
"event","I feel your heart against mine
So take a breath and close your eyes"
"eventtime","2009-12-19 23:42:00"
"url","http://al-cohol.livejournal.com/17843.html"
"userid","391"
"itemid","68"
