"names","values"
"itemid","133"
"event","I've created a new account! 
I'll start updating regularly, so add me! :) 
http://sparkzplug.livejournal.com/"
"eventtime","2008-05-16 13:57:00"
"current_moodid","107"
"url","http://all-smiles-cass.livejournal.com/34284.html"
"userid","488"
"itemid","132"
"event","So, I just watched Nicolas Cage's 'Adaptation' and fell in love, which is a complete surprise because I usually hate Nicolas Cage. 
It's so realistic, so surreal, so fantastic. 
He was so..dull. And I absolutely loved it. 
It just goes to show that even successful people can fail and can be fat, balding, old and pathetic, even in Hollywood. The rest of the real world has a shot at fame! 
The script was beautifull and creatively written and flowed nicely, with choppy bits that created necessary drama and long, boring pauses. 
I love orchids. I love flowers in general, but orchids are my favourite. 
I really liked the idea behind the 'ghost Orchid' being able to find your exact soulmate. The one that you know belongs with you, only with you, and is the only one that gives you exactly what you need. It's very intriguing. 
Example; the bee and the Bee Orchid or Ophrys Apifera. The bee finds this flower, pollinates it and moves on to the next Bee Orchid, pollinating as many plants as possible. It's the bee's destiny to find it's partner, make love to it so as to create pollen to spread over the flower. It's quite fascinating, really. Even if it's more than one flower, it's still one in the same as it still looks just like the bee and to the bee, it's all the same. 
Charlie Kaufman wasn't living. He was just being. Scared of everything and everyone. He was brilliant but he was writing about things he himself would never get to experience, until he was forced to write about flowers. 
I think the world could do with alittle lesson about flowers. 
To take a minute to sit back and learn something from a living thing that helps our world breathe. 
Take a new perspective on life. 
Live every day to it's fullest.
Never be afraid. 
Never regret.
Love to your best know how. 
And never look back, only look forward. 
 
I'm quite ashamed that I hadn't seen this movie earlier, that I hadn't watched it when Meryl Streep was nominated for the award for it.. I guess I just never thought I'd get this much out of it. 

Recommendation: watch it. 
Warning: the first hour may be abit drowsy, but Charlie Kaufman ""WOW's"" the audience by the end, so stay tuned!"
"eventtime","2008-01-21 20:23:00"
"current_moodid","26"
"url","http://all-smiles-cass.livejournal.com/33903.html"
"userid","488"
"itemid","131"
