"names","values"
"itemid","19"
"event","i feel so worn thin these days.  i am enjoying school but i cant seem to focus on anything.  i will be glad for our fourth of july break.  i need to manage my time better but there just isn't enough hours in the day for all i have and want to do.  i wish i could go see mickey more but my body just cant handle physical activities like it did before school started.  i am mentally, emotionally, and physically exhausted.  i go to school four hours, come home, do homework for eight hours while taking care of a four year old; makes me want to do speed. i love two people and it is really taking a toll on me.  my heart and brain are confused about what to do even though it kinda seems i have made a decision, i still dont know.  ej has been up my ass since we started talking again and dont get me wrong, i love the attention, but then there is 7 days afterwards that he is not around and it makes me want to do bad things. i really want to be faithful to him, it's just so damned hard to.  i have lost what little income i was getting and my child care, so i dont know what i am going to do.  cant go to school if i cant afford to pay someone to watch my kid for me.  good news is i have a job interview on the fifth but i dont know how i will get back and forth from a job if i do get it.  i just keep telling myself everything will work out in the end, but i still have my doubts. i am sick of people being ill and negative, and sick of myself being ill cuz i just feel so worn. anywho, not much else going on.  i will try and write again sometime (or another).

the queen
sally"
"eventtime","2004-06-28 22:24:00"
"current_moodid","31"
"url","http://alleyosbourne.livejournal.com/4944.html"
"userid","496"
"itemid","18"
"event","tis tis...shame on me for not posting in so long...been busy with school...getting good grades YAY! got an 90 on my first psychology test and an 85 on my first sociology test...so i am happy...been babysitting here and there...then there is this whole thing with ej...we dated about a year ago and it did not end well...then we just started talking to each other as friends and no past relationship...we have talked about our relationship in the past, but i told him that we cannot change it so why dewll in it?...i dont know exactly what we are; however we have seen each other at least once a week...which with the way he works and with me going to school and taking care of gabe and homework and all that is better than nothing...and of course now i have found out that someone i really cared for and thought nothing was going to happen between us, tells me he wants to start something now...and i really cared for this guy and tried to just move on but, now i dont know what to do...i guess i just have to talk to both...face to face for that matter and see what happens...i'm honestly not looking for anything serious right now...maybe figure what i am going to do, cuz it might envolve moving, before the next semester starts...oh well that is about all that has been going on...i will try and post more often but no promises

""the queen""
sally"
"eventtime","2004-06-11 23:56:00"
"current_moodid","6"
"url","http://alleyosbourne.livejournal.com/4857.html"
"userid","496"
"itemid","17"
"event","man oh man...school started (yay!)...i am enjoying my classes and like my teachers, making some friends....just so tired cuz i have been sick and cant consentrate because of a toothache...i have my first psychology test tomorrow...i'm not too stressed about it...i'm more worried about the papers i have to do for sociology...i really cant think of much to talk about (unusual for me) but i figured i would update and see how everyone else was doing...perhaps i will have more to write about this weekend when i dont have to worry about tests
""the queen""
sally"
"eventtime","2004-06-02 22:15:00"
"current_moodid","91"
"url","http://alleyosbourne.livejournal.com/4492.html"
"userid","496"
"itemid","16"
"event","i am so confused right now...a guy from my past has reappeared and part of me wants to be back with him but the other part is worried about what might happen if i do...i really loved this guy and he said he loved me but it ended up that he wasnt ""in love"" with me (which hurts cuz of my ex-husband, he told me after we seperated that he never loved me he only used me)...so i fear that i can never be loved...this guy that has reappeared did treat me well, the only thing that bothered me is that he was a little too controlling...which i cant blame him cuz i not a very trustworthy person...now he wants me back and wants to take care of me and my son and have a life together...and that is all well and good but, i have things going on here that i dont want to muck up because what if things dont work between us, then what would i do?...he does have some good agruements to my apprehension to being with him though...for one, i know he is good to my son, he is willing to help me get a job and a car and still be able to go to school (even though i would be moving up towards charlotte and would have to transfer schools)...plus, he says even if things dont work out (again) i will be more ready to be on my own more so than if i stay here...i dont know...we broke up cuz of a huge fight we had in which we both ended up filing police reports but we have moved on from that and apologized and tried to remain friends after the fact...it had been months since i heard from him so i was really blindsided by him coming over and taking me out on a date...but i know too that my heart belongs to someone else (in which nothing probably will come from that)...so, i am going to think long and hard about it...we can talk and date and all but i am not making any decision to do anything until after this semester at school cuz i will loose my pell grant if i drop out and will not be able to get another one...so time i guess will have to tell
 sally"
"eventtime","2004-05-10 22:45:00"
"url","http://alleyosbourne.livejournal.com/4205.html"
"userid","496"
"itemid","15"
"event","yes, it is even hard for me to believe (being sober)...hmmm, where to begin...this past weekend i was blessed to be able to go to a camp out in cherokee for indians in sobriety...it was amazed at the number of ppl there...i had alot of fun, despite the fact that i thought it was going to be boring and meeting after meeting (AA/NA meetings)...but it just reminded me of how you need support from friends, peers and family in order to stay sober...it has been a few weeks since i last had a drink...most ppl would say that i am not sober but, i digress...anyone who has been where i have knows, and those that know me, knows that even a few weeks of sobriety is a long time...i really am beginning to notice what triggers my cravings and relapes...it helps me alot to keep occupied...picked up a new craft while in cherokee...indian braids also known as finger weaving in which no loom is used...my father asked me to start making some things for extra income and to get back to my native roots...i have even thought about going with him tuesday to an AA meeting...might help...well i am sure it would...since i know that i dont have to talk, i can just listen and get support and be of support to my father and his sobriety...i love my family so much...i never really thought about how much until now...well, well, well...i miss my mickey...wish he would talk to me, but i dont know if he just needs more time or what...but i miss talking to him and hanging out with him...i am going to bike over to his house one day and hang out and play some games hopefully...school starts here soon (yay!!)...but not much else happening here on the rez...been looking into a visit to the school in new mexico, i plan on going after i finish tech...but i want to go visit some ppl i met this weekend and see what it is like there before i go...oh well, i guess that is about all for now
""the queen""
sally"
"eventtime","2004-05-03 22:44:00"
"url","http://alleyosbourne.livejournal.com/4022.html"
"userid","496"
"itemid","14"
"event","i try not to be a bitch too often, but today is my day...i am so pissed about being ignored by ppl (some more than others and you know who you are)...like i create a problem, this i know, but instead of it being faced and talked over, it is painfully ignored...what are ppl just coward's in general?...i mean come on...if you have a problem with me, tell me, dont ignore it, dont run away from it, and for one dont push me away, that pisses me off worse than anything...cuz if i am not the problem, ignoring me only makes me think it is...i am beginning to understand why my grandfather told me for so many years ""all you have is family""...i havent been close with mine, even though i live at home with my parents, we havent had a healthy relationship, up until now...my mom is my best friend these days...my only friend i feel...i havent had anyone to talk to in days...when i do try to, i get ignored or pushed aside as if i am unimportant...maybe i am...i just dont want to believe it...i feel like screaming...i miss the fights my sister and i would have over nothing...strange, when you are growing up you cant wait for the day you dont have to live with siblings and parents, but now i crave it...i am so ready for school to start so i can maybe find some friends...hopefully, i have a hard time making friends...that is  why i have tried to hang on to the ones i have had for years...but we have all moved on i guess...maybe it is time i did...it just makes me sad...especially since i mucked up a friendship, even though he said he it wouldnt change things, it obviously and painfully has...i just dont get why ppl have to lie...i am trying to be a more honest person, i have lied for way too long...to myself and the ppl i care most about (my parents mainly)...hell i dont know anymore...not like it is important, nobody reads or posts on my journal...i quit writing for a while due to this fact, but i then realized, ""hey i do this for me not anybody else, why should i let this stop me"" so i go on...and on...and on...fuck it, who cares(?)

the queen of nothing
sally"
"eventtime","2004-04-27 22:43:00"
"current_moodid","110"
"url","http://alleyosbourne.livejournal.com/3658.html"
"userid","496"
"itemid","13"
"event","i had my appointment with my therapist today...fun fun...i sat and cried and talked for an hour...""i have to find the patterns and figure out how to break them""...""i look for guys that are emotionally unattached that way i know there will be no real realationship there cuz it scares me"" blah blah blah and all that jazz...dont get me wrong...i like my therapist and she does help, but i dont really feel any better...and i have no answer to the problems i am having...like what to do about my son...should i or shouldnt i let him go to his dad's a few weeks this summer?...and the issue that i feel if we see each other it is just going to bring up all those feelings that i have and make things hard on the both of us...it is hard to keep yourself unattached...i know i am not still in love with him but i do still love him and seeing each other and being around each other, might answer whether i do or not...i dont know...i found out today that a friend of mine moved and i have no idea how to get in touch with him...today is his birthday and i wanted to call and wish him happy b-day and all that...i didnt get to see him much as it is, but he was a really good friend and would have liked to go see him and all but now i cant...it makes me sad but there is nothing i can do about it...anywho, not much else going through my mind so i guess i am out for now
""the queen""
sally"
"eventtime","2004-04-22 20:35:00"
"url","http://alleyosbourne.livejournal.com/3419.html"
"userid","496"
"itemid","12"
"event","i feel okay these days...i guess okay is better than bad...had a couple of really good weeks then as usual i say or do something to muck things up...but oh well i will live i guess...got a call from my ex and he wants our son this summer...part of me wants to let him go but it is a hard thing to do since i havent been away from him since he was born...i know he deserves the right to be/know his father but he hasnt seen him in 2 years so i dont know what to do...plus he lives in kentucky and we live here in south cackalacky...i have to figure something out...my heart is breaking...i can feel it as i write...i am happy that i go to the doctor again on thursday...nice to have someone i am not associated with to talk to...i think i mucked up a really good friendship by falling for the guy...i tried really hard not to but i did and know things are weird...i feel better for at least having the courage to say how i feel even though it is not reciprocated, i normally would have kept it to myself until it slowly ate me away from the inside out....ready for school to start...maybe find a way to move on with my life...figure out where i belong...thought i did for a while but so unsure of everything right now.
lol i painted my room this weekend...it is really pink...not a color i usually like but it is a bright happy cool and maybe it will bring out my femine side some more...beside feng shui suggested that since i am a single woman i should paint it pink or red to bring about romance...i dont know...that and i had no frame for my bed so i rednecked it and put it up on blocks...per the suggestion of my redneck mom...she is a georgia peach, all that know her know what i mean....well that is about it...not much else going on, other exercise and resting my ""puppy fracture"" (that's a whole nother story)"
"eventtime","2004-04-19 15:34:00"
"url","http://alleyosbourne.livejournal.com/3118.html"
"userid","496"
"itemid","8"
