"names","values"
"itemid","471"
"event","Title: Growing&nbsp;<br />Author: Amber (<lj user=""afullmargin"" />)<br />Arist:&nbsp;<lj user=""casper_san"" /><br />Fandom: Psych&nbsp;<br />Pairing(s): Gus/Shawn/Juliet&nbsp;<br />Rating: Teen (PG-13)&nbsp;<br />Summary: Their triad is a wonderful thing, but when Juliet comes up pregnant things can&rsquo;t help but be changed.&nbsp;<br />Notes: Continuation of my Happy-verse, but can be read alone. Written for Poly Big Bang. Many thanks owed to&nbsp;<a href=""http://archiveofourown.org/users/Missy/pseuds/Missy"">Missy</a>&nbsp;and&nbsp;<a href=""http://archiveofourown.org/users/GypsyJr/pseuds/GypsyJr"">GypsyJr</a>&nbsp;for doing hard time beta reading, hand holding, and being all around awesome.&nbsp;<br />Warnings: Accidental pregnancy (with brief mention of termination), angst<br />Word Count: 10,169<br />Posted to:&nbsp;<lj user=""polybigbang"" />,&nbsp;<lj user=""afullmargin"" />,&nbsp;<lj user=""psych_slash"" />&nbsp;<br />Disclaimer: This is a work of fictional parody in no way intended to infringe upon the rights of any individual or corporate entity. Any and all characters or celebrity personae belong to their rightful owners. Absolutely no money has or will be gained from this work. Please do not publicly link, repost or redistribute without letting me know first.<div style=""text-align: center; ""><img src=""http://i212.photobucket.com/albums/cc156/afullmargin/Growing%20-%20Art%20by%20Casper_San/Growingbbcopy.png"" /></div>Fic:&nbsp;<a href=""http://archiveofourown.org/works/332548"">Growing</a>&nbsp;<br />Artwork:&nbsp;<a href=""http://ghostgraphics.livejournal.com/19493.html"">Master Post</a><br />"
"eventtime","2012-02-03 21:27:00"
"url","http://anemptymargin.livejournal.com/120659.html"
"userid","727"
"itemid","470"
"event","Title: Villains vs Hero
Author: Amber (anemptymargin)
Fandom: Psych
Pairing(s): Gus/Shawn/Juliet
Posted to: <lj user=""anemptymargin"">, <lj user=""psych_slash"">
Rating: Explicit
Summary: Juliet & Gus go to a lot of trouble to convince Shawn to join them for Comic Con.
Warnings: light bondage and roughness, latex
Notes: Written for Cookie Jar 2011, late because it got about three times longer than I thought it would. Ha!
Word Count: 5,136
Disclaimer: This is a work of fictional parody in no way intended to infringe upon the rights of any individual or corporate entity. Any and all characters or celebrity personae belong to their rightful owners. Absolutely no money has or will be gained from this work. Please do not publicly link, repost or redistribute without letting me know first.

<a href=""http://archiveofourown.org/works/314964"">Villains vs Hero
http://archiveofourown.org/works/314964</a>"
"eventtime","2012-01-14 00:44:00"
"url","http://anemptymargin.livejournal.com/120334.html"
"userid","727"
"itemid","469"
"event","VGl0bGU6IExpZSBJbg0KQXV0aG9yOiBBbWJlciAoYW5lbXB0eW1hcmdpbikNCkZhbmRvbTogSG90IEZ1enoNClBhaXJpbmcocyk6IE5pY2hvbGFzIEFuZ2VsL0Rhbm55IEJ1dHRlcm1hbg0KUG9zdGVkIHRvOiA8YSBocmVmPSJodHRwOi8vYXJjaGl2ZW9mb3Vyb3duLm9yZy93b3Jrcy8zMDA0NzIvY29sbGVjdGlvbnMiPll1bGV0aWRlIDIwMTE8L2E+LCA8bGogdXNlcj1hbmVtcHR5bWFyZ2luPiwgPGxqIHVzZXI9c2FuZGZvcmRwb2xpY2U+DQpSYXRpbmc6IEV4cGxpY2l0DQpTdW1tYXJ5OiBEYW5ueSBjb252aW5jZXMgTmljaG9sYXMgdG8gbGV0IHRoZW0gbGllIGluIGJlZCBhIHdoaWxlIGxvbmdlciBvbiBhIFN1bmRheSBtb3JuaW5nLg0KTm90ZXM6IFdyaXR0ZW4gZm9yIFl1bGV0aWRlIDIwMTEuIEkgZGlkbid0IHN0YXJ0IHRoaXMgb3V0IHdpdGggcG9ybiBpbiBtaW5k4oCmIGl0IGp1c3Qgc29ydCBvZiBoYXBwZW5lZCB0aGF0IHdheS4gSeKAmW0gaGFwcHkgd2l0aCBpdCBubyBsZXNzLg0KV29yZCBDb3VudDogMSw4MDMNCkRpc2NsYWltZXI6IFRoaXMgaXMgYSB3b3JrIG9mIGZpY3Rpb25hbCBwYXJvZHkgaW4gbm8gd2F5IGludGVuZGVkIHRvIGluZnJpbmdlIHVwb24gdGhlIHJpZ2h0cyBvZiBhbnkgaW5kaXZpZHVhbCBvciBjb3Jwb3JhdGUgZW50aXR5LiBBbnkgYW5kIGFsbCBjaGFyYWN0ZXJzIG9yIGNlbGVicml0eSBwZXJzb25hZSBiZWxvbmcgdG8gdGhlaXIgcmlnaHRmdWwgb3duZXJzLiBBYnNvbHV0ZWx5IG5vIG1vbmV5IGhhcyBvciB3aWxsIGJlIGdhaW5lZCBmcm9tIHRoaXMgd29yay4gUGxlYXNlIGRvIG5vdCBwdWJsaWNseSBsaW5rLCByZXBvc3Qgb3IgcmVkaXN0cmlidXRlIHdpdGhvdXQgbGV0dGluZyBtZSBrbm93IGZpcnN0Lg0KDQo8YSBocmVmPSJodHRwOi8vYXJjaGl2ZW9mb3Vyb3duLm9yZy93b3Jrcy8zMDIyMzMiPkxpZSBJbg0KaHR0cDovL2FyY2hpdmVvZm91cm93bi5vcmcvd29ya3MvMzAyMjMzPC9hPg=="
"eventtime","2012-01-01 20:25:00"
"url","http://anemptymargin.livejournal.com/120246.html"
"userid","727"
"itemid","468"
