"names","values"
"itemid","19"
"event","<P><FONT size=6>Well ...lets see.......</FONT></P>
<P><FONT size=2></FONT>&nbsp;</P>
<P><FONT size=2>Today was fun i guess...we chilled w/ gemz and kristy at gemmas house....first kristy`s dad droped us off at ekerds ...we went to publix and got sum cookies....then we had to jump like 50 friken walls and we got all dirty ...but i must say it was fun .....so we got over the walls and into sweetwater club ...we walked a little further to get to gemma`s </FONT></P>
<P><FONT size=2><FONT size=4>IN THE RAIN</FONT> ....by the time we got there we was soaked ...lol ....oh well ...anywayz it was an exiting dayyy</FONT></P>
<P><FONT size=2>i thought i was gonna chill with larry but it didn`t work out ..oh well there will be other dayz</FONT></P>
<P><FONT size=2></FONT>&nbsp;</P>
<P><FONT size=2>life sucks then you eventually die...hopefully for me i`ll die tomrow or sumthin</FONT></P>
<P><FONT size=2></FONT>&nbsp;</P>
<P><FONT size=6>&nbsp;'Kate -</FONT></P>"
"eventtime","2004-05-15 18:25:00"
"current_moodid","25"
"url","http://ay-dios-mio.livejournal.com/5119.html"
"userid","1202"
"itemid","18"
"event","<P><FONT size=2>mother f ` in gay day uggh we didn`t really do nething ...gem'z came overr and evan ..we juss chilled went to pube-lix got some cookies..the usual cuhz i can`t last with out them in my system after that we went to stop by sarah`s house to say hello....then we came back to my house and chilled some more...pretty boring i guess you could say</FONT></P>
<P><FONT size=2>Life isn`t goin to good right now for many reasons&nbsp;unexplained..i aient gonna explain why i don`t really feel like typiin much ..i`ll update this shit later ..im goin to bedd ...<EM>goodnight </EM></FONT></P>
<P><FONT size=2></FONT>&nbsp;</P>
<P><FONT size=2>love ya'll &lt;3<STRONG>3</STRONG>3 </FONT></P>
<P><FONT size=2></FONT>&nbsp;</P>
<P><EM><FONT size=2>&nbsp;* KaTe*</FONT></EM><!-- ZoneLabs Popup Blocking Insertion -->
<SCRIPT language=javascript>postamble();</SCRIPT>
</P>"
"eventtime","2004-05-13 18:44:00"
"current_moodid","47"
"url","http://ay-dios-mio.livejournal.com/4633.html"
"userid","1202"
"itemid","17"
"event","<P><FONT color=#ff99ff size=1>2day was fucking gay =o/ ....... oh well school`s almost over, there`s so much drama in highschool it`s all sOo stupid. idk who i like rite now, i wouldnt mind havin a b.f , but i`m also enjoyin bein single rite now =)<BR>**&nbsp; hopefuly this weekend will be a good 1. &amp; maybe i`ll get 2 chill w. some sexii pplz..<BR>- Gemz &amp; Joey were so cute together! fucking fag wants a ' break ' how stupid who knowz maybe they will go back out ..... cuz gemma.. well she`s just the best.<BR><FONT color=#ffff99>Kaitlin &amp; chelsea are so funny to hang out with ' im lost ' haha bullshit........ love ya fags =)<BR><BR>0o0ook i`m done w. this crap<BR>byee.<BR></FONT></FONT><FONT color=#ff99ff size=1><FONT color=#ffff99><BR><FONT color=#33ccff size=3>&nbsp;PhATtiE`z Fo LyFe &lt;`-- ily<BR><BR><BR>&lt;3_ H a y L e y </FONT></P></FONT></FONT><!-- ZoneLabs Popup Blocking Insertion -->
<SCRIPT language=javascript>postamble();</SCRIPT>"
"eventtime","2004-05-12 17:23:00"
"url","http://ay-dios-mio.livejournal.com/4371.html"
"userid","1202"
"itemid","16"
"event","<IMG height=194 src=""file:///C:/My%20Documents/DaQnzAngel.gif"" width=421><!-- ZoneLabs Popup Blocking Insertion -->
<SCRIPT language=javascript>postamble();</SCRIPT>"
"eventtime","2004-05-09 10:13:00"
"url","http://ay-dios-mio.livejournal.com/4294.html"
"userid","1202"
"itemid","15"
"event","<IMG src=""file:///C:/My%20Documents/pic_yingyangtwins.jpg""><!-- ZoneLabs Popup Blocking Insertion -->
<SCRIPT language=javascript>postamble();</SCRIPT>"
"eventtime","2004-05-08 10:03:00"
"url","http://ay-dios-mio.livejournal.com/3869.html"
"userid","1202"
"itemid","14"
"event","<P><FONT color=#33ccff>-&gt;<FONT color=#ffff66>&gt;</FONT> Friday nite was fun ...larry scotty and gemma came over and we went to the mall for a few.</FONT></P>
<P><FONT color=#33ffff>-&gt;<FONT color=#ff99ff>&gt;</FONT> Wen we got home ..me larry gemma and haylee sat in our room ...alll of a sudden audrey comes in and starts pushin gemma around and she pushes her and gemma goes flyin back onto the corner of haylee`s bed ...she couldn`t keep her balence so she bounced back up in the air with her hair flying everwhere and she fell on the ground and her head hits the wall hahahh lmao ..then she gets up and goes ""do it aggaiin"" haha ..i think gemma is the funniest person alive</FONT></P>
<P><FONT color=#ffffff>Sarah gots a boyyyfriend ..im happy for u surrah ....if he mistreats u ....like my old boyfriend...tell me..i`ll be happy to knock him out for you .= ) ''' i &lt;3 my phattiiie'z '''' 4life of course</FONT></P>
<P><FONT color=#3366ff size=4>i have one question _ Why is it that everytime i go out with some1 ..jealous dumbfucks alwayz gotta talk shit ..i mean..it aint my fault no guys want &nbsp;them ...gallly get off my clitoris .stop hatin find somethin better to do with ur life ..stupid smelly mutt butts ya'll pisss me offf </FONT></P>
<P>&nbsp;</P>
<P><FONT color=#ffffff>&nbsp; thats all for now .. -----</FONT><STRONG><FONT color=#ffffff> Kate </FONT><FONT color=#ff99ff><FONT color=#ff6666>&lt;3</FONT></FONT></STRONG></P>
<P><STRONG><FONT color=#ff99ff><FONT color=#ff6666></FONT></FONT></STRONG>&nbsp;</P>
<P><STRONG><FONT color=#ff99ff><FONT color=#ff6666></FONT></FONT></STRONG>&nbsp;</P>
<P><STRONG><FONT color=#ff99ff><FONT color=#ff6666></FONT></FONT></STRONG>&nbsp;</P>
<P><STRONG><FONT color=#ff99ff></STRONG></FONT><!-- ZoneLabs Popup Blocking Insertion -->
<SCRIPT language=javascript>postamble();</SCRIPT>
</P>"
"eventtime","2004-05-08 09:47:00"
"current_moodid","31"
"url","http://ay-dios-mio.livejournal.com/3676.html"
"userid","1202"
"itemid","13"
"event","lol.. there was this gay ass kid 2day n he comes up to me n gemma after 4th hr. and he says my name and im like yea how do u kno me .. haha and hes like , the yearbook, ive been wanting to meet u and talk to u for a long time.. lmao then he goes ' i gotta ask u a question ' and i knew it was gunna be somethin stupid so i just said ... im not available haha and he goes oh ok and walks away, and the whole frekin time gayy ass gemma`s all standin there laughin =o thnx gemmaaa .. hahah

me gemz kate audrey & scott went cruisin 2day , haha and gay gemma was all sittin in the back playin w. a water ballon and every1`s like its gunna break , but she didn`t listen to us so she keeps playin with it and.. hahah it explodes lmao and it`s all drippin down her face and on her pants & it looks like she took a pissss in her pants  ......... hahahh fag ;)

VAN`S BDAY IS TODAY -- MY FAVORTIE BROTHAAA *
LUV YA .. ALRUUGGHT happy birthday =)


k im done.
<3_ Hayley

PFL <--`"
"eventtime","2004-05-06 18:20:00"
"url","http://ay-dios-mio.livejournal.com/3459.html"
"userid","1202"
"itemid","11"
"event","Gaallllly im so confusedddd 


 so much dramaaa"
"eventtime","2004-05-02 19:42:00"
"url","http://ay-dios-mio.livejournal.com/2837.html"
"userid","1202"
"itemid","10"
"event","last nite .. me gemma chg yolanda`s man [ scottiee ] & kates man [ larry boy ]hung out, i guess u could say that. but yea me & gemma had a long ass talk bout some intersting stuff =) then we all ate some f0o0o0oddd .. then around 945 gemma me kate n larry all went w. yolanda to take larry n gemz home. and scott just drove off in his pimp van all by him self. hahah

chg is gettin into other ppl`s buiSnEsS .... oh well, shes probley jus hangin out with evan too much =o lmao cuz we kno how much they love each other. i still luv her tho shes the besssst 



gotta go get ready for this funn day ahead of me kate gemma & other ppl
`-- > PHATTiE`Z FO LYFE <--`
hayley*"
"eventtime","2004-05-01 10:39:00"
"current_moodid","87"
"url","http://ay-dios-mio.livejournal.com/2633.html"
"userid","1202"
"itemid","9"
"event","omg.. can scott and audrey get any gayer. audreys all tickling poor scott and hes all laughing aww.. larry and his booming voice is all talking and blabbing on =o

man florida sucks !!, i miss my other families n cuzins in =(

i also miss my favorite cuzin suela * ( emily ) muahz i love ya n miss you"
"eventtime","2004-04-24 21:36:00"
"url","http://ay-dios-mio.livejournal.com/2344.html"
"userid","1202"
"itemid","8"
"event","god i haven't seen my love since friday!!! =( 


-->' i jUsT wOkE uP ..My EyEs ArE sTiCkin' TogEthER CuhZ i DiDn't WaSh ThE mAkE up OfF fRoM lAsT NiGhT ....



-->' i hoPe ToDay iSnt AnOthER bOriNg\Gay Day ..iM wAitIn FoR sExiii AudRey TA gEt hOme So we Can go Crusin' Or ShE cAn TakE uS to GemmAs hOuSe...ThAts AlwAys Fun .... cuhZ iM DEf. NoT wAlkin iM to fAt anD laZy so W.e 

-->' my CuTe AbuElo iS heRe ..awwW 


  woRd oF aDvicE : Don't EvEr piss Gemma Off ..buT if you do make suRe theres not a window near ..she might push you thru it ..... lmao 

      im out i gotta go get dressed and all that ish 


 byee my sexiiies ----->'` Kate


          _phAttie'z 4liifee_+ christine of course = )"
"eventtime","2004-04-24 11:32:00"
"current_moodid","92"
"url","http://ay-dios-mio.livejournal.com/2252.html"
"userid","1202"
"itemid","7"
"event","im madd tiredddddd its like 10' and i wanna go to sleep

 i wasted my friday night it was so boring i just sat around my house all day ..we were gonna go to the movies but something happend with gemma she pushed her sister into a window or some shit like that so whatever we didn`t go ....


 another gay day 

     ughhh 

    kate*"
"eventtime","2004-04-23 21:50:00"
"current_moodid","4"
"url","http://ay-dios-mio.livejournal.com/2029.html"
"userid","1202"
"itemid","6"
"event","all`s i got to say is .....
HATERS ---- > Dda [ aka dd gay ]

.. cept for  e* u kno we <3 - at least one of yall knows when to shut ya mouthss :o

PHATTiE`Z FO LYFE u can neva evaaaa , we always come out on top mothafuckasss ;)

-- Hayley"
"eventtime","2004-04-23 20:49:00"
"current_moodid","59"
"url","http://ay-dios-mio.livejournal.com/1703.html"
"userid","1202"
"itemid","5"
"event","-->`' ..i think today was the gayest of all days that i've ever had at gay lake brantley ..i swear i hate that school ..i hate everyone there..except some people ... every1 there is gay ..and like "" hehehehe "" ...yea anywayz ummmmmmm awWwW hayley and gemma got in a little fight >>> gay 


today i got to hang out with larry =) ..fun stuff .....yea 

  thats all i got to say ..bye babes 
                         <3_ kate"
"eventtime","2004-04-21 19:40:00"
"url","http://ay-dios-mio.livejournal.com/1390.html"
"userid","1202"
"itemid","4"
"event","gaaallyy ... i ate so much ..my mom made me like a cheese and ham thing but it made me sick =( 

anywayz ..audrey is so dumb we were drivin' and this car load of kids comes past us and gay ass audrey waves ..and they turn around and start chasin us in there car ..she's so dumb she has a boyfriend ..why is she waving to other guys...?? do you see this scott __ 

god ..im done 


-->'`'peace             _kate_"
"eventtime","2004-04-20 20:08:00"
"url","http://ay-dios-mio.livejournal.com/1116.html"
"userid","1202"
"itemid","3"
"event","-->`' yeaaa we jus starin this thing ... i'Ll write some in laterrrs"
"eventtime","2004-04-20 18:16:00"
"url","http://ay-dios-mio.livejournal.com/876.html"
"userid","1202"
