"names","values"
"itemid","32"
"event","Very tired.
This weekend pretty much sucked, but y'know. I'll get over it.

Finally saw The Day After Tomorrow.
Very very nicely made, but the ending was very.. dissapointing.
Watching-..well, listening to Secret Window. 
Ergh.
This thing with Cody isn't working.
I feel terrible because I don't like him like 'that'. Ficking Justin had to basicly force me to go out with him.

Well once again, I'll get over this easily. I just hope he will too. 
Considering what his friends said..blah.

Whatever. He'll get over me. I'm not someone worth getting hung-up on. :)

Alright, as you can see, its very late at night, and I'm still running on two hours of sleep plus loads of caffine.
Mm, not good. Not good at all. 

< 3 Lots of luff!

-Moi"
"eventtime","2005-07-20 01:07:00"
"current_moodid","31"
"url","http://b3ndingxtruths.livejournal.com/8411.html"
"userid","1240"
"itemid","31"
"event","Why do people get so bent on killing themselves when things get bad?
It's the cowards way out.
Show the people who're making life hell for you that you're better than them. That they aren't getting to you.
If they're doing this to you, they obviously aren't worth getting so worked up about.
This is directed to nobody in particular.
I've noticed about seven of my so called friends weaseling their way out by OD'ing, then whimping out and puking whatever it was up.
Or cutting themselves again.
Or crying themselves to sleep. 
There's no need for that.

Well, I guess I can play the same game. 

< 3"
"eventtime","2005-07-17 12:10:00"
"current_moodid","24"
"url","http://b3ndingxtruths.livejournal.com/8124.html"
"userid","1240"
"itemid","30"
"event","Talking about the baby with Ana, getting depressed, wondering how much FUN Kristine is having with Justin.
That little ass hole.. I really hate him right now. --;

I seem to be screwing alot of things up lately.

Like, a LOT of things. It's getting on my nerves.
And why are people so damn sexual if they don't want to have sex?
That bugs the shit out of me. It annoys me to no end. But whatever..

Either my email is messed up, or SOMEBODY blocked my username thing from talking to anyone.. 

teh_short_sadems@hotmail.com

'The' is SUPPOSED to be spelled wrong.
Feel free to send me any sort of email. I needa see if this is broke or not..

< 3"
"eventtime","2005-07-11 07:25:00"
"current_moodid","1"
"url","http://b3ndingxtruths.livejournal.com/7932.html"
"userid","1240"
"itemid","29"
"event","just. 
ew.

I never thought i'd hear a wigger say 'goo' and SPELL IT WRONG.
ever.
I mean seriously come on.
You know you're not cool.
Don't try to be cool.
no, i'm not either becuase that word is just..overused, but you're pushin it, little doggy.

blergh.
ahhh made myself sick..


Fourth Of July! yay! i love fireworks. (:
kristines in mass, so i'll probably just hang out with josh and JB and britt at Center Harbor this year..
gonna be busy so probably  no updating for about 3-4 days. made lots of plans, i finaly got a life. woo. haha..

xo;
moi

ps.;
jb, really. dont worry about him. hes icky. like literally. =P"
"eventtime","2005-07-02 01:00:00"
"current_moodid","16"
"url","http://b3ndingxtruths.livejournal.com/7665.html"
"userid","1240"
"itemid","28"
"event","TiMmYgReEnJeAnS9: WAD YOU DO!
TiMmYgReEnJeAnS9: lmfao
TiMmYgReEnJeAnS9: this movie is sooo awesome
TiMmYgReEnJeAnS9: i wanna die watching this movie, unless sum one sneeks through my window and slits my throat
x tainted lovers: lmmfao
x tainted lovers: thats..
x tainted lovers: thats different
TiMmYgReEnJeAnS9: that would suck 
TiMmYgReEnJeAnS9: i mean u couldn't swallow food
TiMmYgReEnJeAnS9: that like the most important thing 2 me
TiMmYgReEnJeAnS9: GOD
x tainted lovers: ..jimmy youd be dead
TiMmYgReEnJeAnS9: ppl are GAY!
x tainted lovers: you wouldnt have to worry about swallowing food
x tainted lovers: lol 
TiMmYgReEnJeAnS9: no...
x tainted lovers: lmmfao 
x tainted lovers: omfg hang on
TiMmYgReEnJeAnS9: not for a little bit i think
x tainted lovers: dont ruin it im laughing hystericly
x tainted lovers: so in the half hour it takes to bleed completly dry
x tainted lovers: you'd want to eat?
TiMmYgReEnJeAnS9: y not, id probably have like a piece of pizza next 2 me ne way
x tainted lovers: haha
TiMmYgReEnJeAnS9: but id hafta kill the guy that did it
TiMmYgReEnJeAnS9: then i would eat
x tainted lovers: lmao
TiMmYgReEnJeAnS9: id stab him with an arrow though, i wouldn't shoot it stabbing him would hurt more, if the little bastard wants to take away my eating rights im gonna stab him in the ear
x tainted lovers: LMMFAO
TiMmYgReEnJeAnS9: it would suck not being able 2 eat for the last 2 minutes of ur life
x tainted lovers: lol thats great
x tainted lovers: id want chinese food.
TiMmYgReEnJeAnS9: chink food
x tainted lovers: chinkese
-----------------------------------------

yahyah we're total losers.
but horsepenis, you know it was funny. :P
< 3"
"eventtime","2005-06-30 08:48:00"
"current_moodid","52"
