"names","values"
"itemid","451"
"event","Trying to deal with someone losing it, sometimes, is like trying to rescue a drowning person who's smiling peacefully under the surface and trying to pull you under the waves with them, and who gets angry and thrashes if you try to pull them up. And there's no way to just save them, at least that I've found.  I just have to hope they figure out which side of the water's surface they're on. I pray that if I ever start to drown out of reality, I'll be smart enough to let others pull me up.

...currently watching a bad relationship from afar.  Watching someone act in complete blind ignorance of himself, yelling to the world to change to conform to the ideals he can't even come close to (but thinks himself a paragon of), and watching the girl he's dragging along with him slip away.  I guess it could be a phase.  But it's two personalities that are so horrifically toxic to each other... one that desperately wants a cause to champion and a flag to die for, so desperately that he's allying himself with a cause he knows nothing about.  And it would be good cause, except that he sounds like a strawman version of it.  And his friends slip away, muttering, unable to get across to him the disaster he's running into, as any action he doesn't deem supportive of his current goals is a betrayal and worthy of yelling and screaming.  And her?  She so wants to follow him that she's being subsumed by him, completely.  Words from her mouth are now clearly his, or at least an approximation thereof, in direct opposition to her earlier thoughts.  In conversation she backs him unthinkingly, sometimes so unthinkingly that it becomes obvious she has no idea what he's saying and is instead just trying to support an opinion as close to his as she can.  That's okay, he's not listening to her enough to notice.  So she just keeps trying to parrot his thoughts as best as she can.  Looks more like stockholms than a relationship.

Eh, perhaps it's just that I'm no longer young enough to think I know everything.  Maybe they'll grow out of it."
"eventtime","2010-12-21 01:50:00"
"url","http://bestiasono.livejournal.com/115606.html"
"userid","1604"
"itemid","450"
"event","Grr, Livejournal is for overdramatic ranting, right?   Good.  Ranting vent incoming, ignore if you're not in the mood.

Been feeling lately that the people who are physically close to me of late (that is to say, folks I actually see on a day to day basis) have absolutely no idea who I am, and frankly just aren't the sort of people I actually want to talk to about anything serious or interesting, with the one exception of Rita.  Today was... a rather strong affirmation of that fact.  

I was in the living room with some folks that need not be named, and one of them made the claim that evolution doesn't effect humans.  This is a somewhat common statement made by people who have absolutely no idea what evolution is.  So I tried to stop him and make the point that no, evolution is just a fact of life and doesn't turn off in modern society any more than gravity turns off when you step into a 747... it just has different effects.  I tried using the example of hormones effecting sex drive... even with modern medicine fixing otherwise lethal condition, the genetics that effect hormone production can increase or decrease your likelihood of having sex, thus increasing the chance of reproduction.  I got the response that hormones don't effect sex drive (or at least do so little that their effect is not significant compared to cultural effects on sex drive).  I was a little blown away, but more so by the fact that <i>no one in the room disagreed with this statement, despite the person making it and three others in the room being in the mental health profession... and one of those people backed the statement up</i>.  I'm used to hearing a dumb statement once in a while, but that was over the top.  Trying to prove this I brought up a girl in the room (who is a very clear counter example to the concept, due to her massive sex drive changes when she goes on and off birth control) and menopause... she was ignored when she verified this, and menopausal sex drive changes were dismissed as being more cultural than hormonal.  

I tried clarifying to see if I'd somehow misinterpreted this idea, but no, that's exactly what this guy was claiming.  Furthermore, here was a (caucasian) guy I'd heard ranting about how most white men don't realize how privileged they are and how they tend to ignore the opinions of women, and he was going off about how all menopausal women who say hormone changes effect their sex drives are wrong and he's right, and ignoring the girl in the room stating clearly that he was wrong despite her being an exact counterexample.  The guy also claimed that lab rats being given hormones and having changes to their sex drive was probably environmental, even if they were in the same lab.  Hypocrisy and stupidity all in one, but to cap this off the response from one of my housemates was ""just give up dude, Noah's too stubborn and will never change his mind about anything.""  Yes, that housemate is also in the mental health profession.  Note that this point all I was doing was trying to be sure I understood what he was saying... I could barely counter it.

So why am I so pissed?  Okay, having someone ranting that foolishly is upsetting, but having my housemates back him up (and only one person ever contradicting him) on this doesn't make me feel any better about the intelligence level of the people I regularly talk to.  And getting dismissed as ""Noah's always argumentative"" or ""Noah never changes his mind and is just trolling"" (which has been coming up lately in every debate) on a regular basis is getting extremely aggravating.  No, I have not been ""trolling"" or ""being argumentative"" but I have disagreed when people state absolutely stupid things (recent examples also included my disagreeing that a medieval city about to get invaded counts as being ""not urgently in danger"" and that anyone posting a contrary opinion on a message board must necessarily be trolling).  And I like debate.  Real debate.  I need it in my life.  I need people to bounce ideas against, people who can point to holes in an argument or make actually decent points of their own... but god damn, realizing the folks I have to talk to are completely incapable of this (and quite certain they're amazing) is aggravating.  Perhaps I am getting less of a patience for fools.  Perhaps it's that I've always hated willful ignorance and hypocrisy. 

And no, I'm definitely not referring to anyone who would be reading this.  I mostly just needed to vent somewhere away from anyone I might be talking about.  Yay emojournal.  Let me know if I'm being stupid."
"eventtime","2010-11-23 01:51:00"
"url","http://bestiasono.livejournal.com/115380.html"
"userid","1604"
"itemid","449"
"event","Our house is full of kittens.  Good.  One of them peed on my ranger jacket.  Less good.  

Many ups and downs of late, but c'est la vie, no?"
"eventtime","2010-07-14 22:11:00"
"url","http://bestiasono.livejournal.com/114998.html"
"userid","1604"
"itemid","446"
"event","Santa Cruz Weekly is running an ad for Santa Cruz Decompression... and the picture they picked is the one of our fire conclave.  Neat!  It's on page 32."
