"names","values"
"itemid","120"
"event","Wow, it's been absolutely yonks since I last posted.  Chalk it up to Facebook.  So anyway, the year in review:

-First 3 months - finished teaching the little wet ones.  Cute, but after toilet training 20 children, I am so done.

-4-7th month (first term) - Solidified my reputation as a miracle worker.  The dance unit didn't know what hit them when I whipped them into shape.  Boss is now frothing at the mouth to put a competitive dance team out there and see what happens.  Who they gonna call...

-August - went home, lots of lunch dates out, lovely, yes.

-Sep-Dec - Very tired, Halloween was good, Christmas concert rocked out, guess what I did there?  Dancers in glow-in-the-dark skeleton suits worn backwards, dancers facing the back wall, having to do gymnastic flips and the like with the lights off (with blacklights tho) and the occasional strobe light.  Frankly, the rest of it sucked in comparison.  Christmas dinner, roast lamb by moi, with friends.  New Years will be the Brazilian Samba Contest (!) I hope.  It would be fun to shimmy on in and take the trophy off their hands.  Just my luck, there probably wont be a contest, but at least the guy I met last week will be there.  Why is it that Japanese men are scared of me?  Perhaps they read the memo I sent out.

-2008 - Term one will be developing dance music, to which I will then choreograph a mildly interesting routine.  NAH, kidding!  If I could come up with a dance which brought the crowd to their feet in about 2 hours while watching tv, imagine what I could do if I actually tried.  I will then apply to any midway-decent musician to come up with remixes of the techno persuasion.  Am thinking of releasing the music with a karaoke version (of course!  This IS Japan, after all) and a music video.


Oh, and I did the level 2 Japanese test.  Good old 2kyuu.  Hoping for a good result in February!  It wasn't so bad.  Quite reasonable, really.  Especially the listening section, which I could have napped through."
"eventtime","2007-12-30 22:48:00"
"current_moodid","107"
"url","http://bikuchan.livejournal.com/30771.html"
"userid","1688"
"itemid","119"
"event","Well, I've been busy.  Went on a company-paid spa trip which included shopping at the Gotemba Outlet Community or whatever it was called, then I came home and wrote reports, and before all that we had the school Tanabata Festival and yes, the kids rocked.

By which I mean that for the last month I've been teaching Japanese festival dance, called Yosakoi, to the kids to gear up for the festival.  I even spent all of Golden Week sewing the costumes.  

They were good.  I heard that a few of the parents were so happy they were crying.  Given that it was only a week ago, I have spent the entire week receiving kudos far and wide.  Now that I've finished my reports, I am very relaxed.

Took the kiddies ice skating today.  It was actually a really good place and the staff there went out of their way to teach the beginners how to move about, and by the end of the class the phrase ZOOM, ZOOM, ZOOM came to mind.

Until one of the first graders fell and smacked her head, was sent to hospital where she was throwing up.  What do you think, should a 6 year old with concussion have been sent home within a few hours of the injury?

I think not.

Monday is a holiday here.  Then 4 more days of school, the last day of which will be spent cleaning, playing cricket, and swimming.  Unless this typhoon keeps the weather bad, in which case I guess we will be playing games, painting perhaps, and such.

On with the dance!  Let joy be unconfined..."
"eventtime","2007-07-13 22:01:00"
"current_moodid","90"
"url","http://bikuchan.livejournal.com/30542.html"
"userid","1688"
"itemid","118"
"event","I have internet.  Now, to youtube and selections of GNW."
"eventtime","2007-06-04 18:35:00"
"current_moodid","99"
"url","http://bikuchan.livejournal.com/30419.html"
"userid","1688"
"itemid","117"
"event","So after having been on a wait-list since January, I got my super-fast internet connected yesterday!  Cheering noise!  Unfortunately those nitwits didn't leave me that little thing called a PASSWORD.  

After spending 20 minutes on hold, spoke to a lady who assured me that it was all in the info pack.  What info pack?  says I.  

I suppose on Monday or Tuesday, I will finally have internet access."
"eventtime","2007-05-31 14:18:00"
"current_moodid","104"
"url","http://bikuchan.livejournal.com/30135.html"
"userid","1688"
"itemid","116"
"event","Allow me to introduce you to the world's greatest classroom pet:  Conifer!  Conifer is a long-haired white persian cat.  Meowsies!

Oh yes.  Conifer is also a toy with sensors in various places which, when activated, prompt different movements and sounds.  Purring and whatnot.  Plus after a lengthy name-choosing process with the children, other options being Kitty (ie 'Hello Kitty!'), Snowbell, and Zazu, Conifer was chosen as to its spiky and likeable nature.

So what the HELL is going on??  For the second day in a row, someone has made off with Conifer and hidden him somewhere.  It disappeared after I went home on Wednesday night, and I found it outside the toilets on a sink.  Kind of gross, yes?  Anyway, my class went on a picnic today, and it was there when we left at lunchtime.  After school we had a staff meeting, and when I went to the meeting, Conifer had gone again!  Given that there were no classes upstairs (where my classroom is) on Wednesday night, I thought it was one of the downstairs classes (the after-school ones, not the kindy kids).  But now its disappeared again, while a different group of kids were in the school. 


So who do you think did it?"
"eventtime","2007-05-18 17:47:00"
"url","http://bikuchan.livejournal.com/29946.html"
"userid","1688"
"itemid","115"
