"names","values"
"itemid","3"
"event","I haven't updated this thing in FOREVER.

Xanga is SO much better.




I'm in love with Shannon

And whales."
"eventtime","2005-07-11 21:40:00"
"current_moodid","84"
"url","http://blackxeyedxgirl.livejournal.com/914.html"
"userid","1788"
"itemid","2"
"event","DUDE!!! I just got the most kick-ass icon, by the way thats the most awesome phrase kick-ass XD ,<laughing ass off>
I got an awesome icon on AOL and on AIM the one on AIM says its a rainbow day and the one on AOL is a pig!
Can't get that much better than that.
 Short entry is over!"
"eventtime","2005-01-16 18:01:00"
"url","http://blackxeyedxgirl.livejournal.com/614.html"
"userid","1788"
"itemid","1"
"event","Woah... me and Shannon were freaking out, and this i all that was said:
 StarkittenStar [11:59 PM]:  hey 
 Sliceclown91 [12:01 AM]:  who u be
 StarkittenStar [12:01 AM]:   this is rebecca rice 
 StarkittenStar [12:03 AM]:  whos this? you were on my bl and i dont know who it is... 

I meen come on that was nothing to freak out and get all shaky and shivery and freaky about...




I bet her was at like chris's or at Stuart's house :D , fantisizes... oh wait, i think hes some where else cause we were on the phone with him and he was all yeah my comps screwed up.... cause me and shannon were all yeah our comps are being asses

I just did spell check and i was looking at one of the mis spelled words and it looked like one of teh words you could use to fill in was tic tak XD

Man when we were talking to him i got all cold all the sudden was weird well end of entry XD"
"eventtime","2005-01-16 00:24:00"
"current_moodid","54"
"url","http://blackxeyedxgirl.livejournal.com/503.html"
"userid","1788"
