"names","values"
"itemid","196"
"event","After almost a year of Anita blogging, I've decided to turn in my pen. I'm going to concentrate on my own writing stuff. Not sure if I'll ever be able to publish, but I'd like to give it a try. Finished NaNo with a full novel and now I'm editing, rewriting, editing...you get the idea. :)

I just wanted to give a big thanks to everyone who stopped by and offered advice, comments, and support. You've been great and this was a fun experience. I hope I brought a little humor to people's days and thanks so much for coming by. 

Jepad"
"eventtime","2005-12-13 16:06:00"
"url","http://blakesblog.livejournal.com/50240.html"
"userid","1795"
"itemid","195"
"event","Now I'm just seeing how much I can get through in the month of Nov.
I want to give a big thanks to everyone for the encouragement and good wishes. I'm telling you this story has it all: satyrs, nymphs, vampires, werewolfs, gargoyles, humor(I hope), and interesting plot(keeps fingers crossed). You name it, I've squashed it in here. Hm, no witches yet. Maybe the next book. :)

<table border='0' cellspacing='0' cellpadding='5'> <tr> <td><table border='0' cellspacing='0' cellpadding='0'> <tr> <td> <img src='http://www.zokutou.co.uk/wordmeter/pel_gr.gif' width='6' height='22' border='0'><a href='http://www.zokutou.co.uk/wordmeter'><img src='http://www.zokutou.co.uk/wordmeter/pk_gr.gif' width='93' height='22' border='0' alt='Zokutou word meter'></a><img src='http://www.zokutou.co.uk/wordmeter/pc_gr.gif' width='4' height='22' border='0'><a href='http://www.zokutou.co.uk/wordmeter'><img src='http://www.zokutou.co.uk/wordmeter/pr.gif' width='7' height='22' border='0' alt='Zokutou word meter'></a><img src='http://www.zokutou.co.uk/wordmeter/per.gif' width='6' height='22' border='0'></td> </tr> </table></td> </tr> <tr> <td><div align='center'><b>75,051</b> / 80,000<br>(93.8%)</div></td> </tr> </table>   

Okay, my new goal is to reach 80K at some point. That would be book sized and therefore something I could conceivably sell, after performing virgin sacrifices and the like to get the literary gods on my side (only kidding). Although, I think there are some virgin fruit flies around...that might work."
"eventtime","2005-11-18 17:08:00"
"url","http://blakesblog.livejournal.com/50037.html"
"userid","1795"
"itemid","193"
