"names","values"
"itemid","28"
"event","<p>
<center>
<img src=""http://kitty.mycatshow.com/acscrn0082.jpg"">

Hey...  just thought I'd share this pic.  Its my character ""Sailormoon"" standing on the roof of her newly aquired cottage.  ^_^  At last I can finally say that I finally own ig real estate!!! (in game)....  anyway, my cottage is pretty nice cause its located in the snowy mountains of Dereth on the northernmost tip of the map....  plus I have a view of the ocean from my window too!  :o)"
"eventtime","2002-11-21 09:23:00"
"current_moodid","125"
"url","http://blightchan.livejournal.com/7197.html"
"userid","1837"
"itemid","27"
"event","Hello,

I would like to be reminded (because I'm ooooooohhh so forgetful ^_^) of your birthday each year using a most excellent service offered by BirthdayAlarm.com.

Please click on the following link for me and enter your name and birthday, it only takes a few seconds:

  http://www.BirthdayAlarm.com/dob/2465745a00509b362 

Thank you
Kenneth (blightchan)

Boooooooooya!!!!! ...Sweet Nectar of Life! :o)"
"eventtime","2002-11-12 19:24:00"
"url","http://blightchan.livejournal.com/7033.html"
"userid","1837"
"itemid","25"
"event","So to get myself started back....  maybe, maybe not...  anyway, I took this Garbage quiz cause Sere had it on her LJ, and it reminded me of Jenny ^_^

<a href=""http://quizilla.com/users/GarbageKitty/quizzes/What%20Garbage%20song%20are%20you%3F/""><img src=""http://images.quizilla.com/1033710555_wickedways.JPG"" border=""0"" alt=""""><br> <font size=""-1"">What Garbage song are you?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>

hope to see ya soon..."
"eventtime","2002-10-15 17:09:00"
"current_moodid","31"
"url","http://blightchan.livejournal.com/6520.html"
"userid","1837"
"itemid","24"
"event","Hey Hey ya peeps...

Just thought I'd exhibit just how shallow I can really be.... lol, anyway...  I finally got a bundle of feathers off a Kithless Siralunn!  I'm gonna post a picture of it here as soon as get it uploaded.  ^_^  Heres how the feathers work...  if you find some on a dead Kithless you can turn in ONE bundle for a funky feather hat, or FIVE bundles for a sweetass flowing red kithless dress!  Feathers are a rare drop item...  so after fighting about 50 kithless I finally got my first bundle....  which I took to the crafter and got my very own funky feather hat! :o)

<p>
<center>
<img src=""http://blight.web1000.com/funkyfeather3.jpg""><p>
<img src=""http://blight.web1000.com/funky.jpg"">
<p>


*heehee* yeah, I know its wacky... but hey, it keeps me off the streets :-P"
"eventtime","2002-08-12 09:43:00"
"current_moodid","90"
"url","http://blightchan.livejournal.com/6321.html"
"userid","1837"
"itemid","23"
"event","Hey hey...

I just thought I'd bounce this at some people and see what you think.  For years I've wanted to start an organization that would help break down the sterotypes and empower people to take personal action...  basically to better themselves and the world around them.  We have lots of organizations on campus that have similar goals, like STAR, Common Ground, and the ISU to some extent...  but I wanted to see about starting an on campus organization that would promote spiritual and cultural unity across the board.

The name of the group would be called LOVEPEACE or Lovepeace International.  I know, the name sounds a little cheesy and like all hippie flower power-like....  I don't care, I like it and I think it would have more universal appeal because the name says it all (and its more direct and simple).  The mission would be to empower people to take positive action in their personal daily lives, to educate the community about world cultures, religions, and peoples.  The group would encourage people to better themselves by challenging their ideas about race and spirituality.  We would promote acceptance of all peoples, cultures, and religions.... rather than toleration.  Why?  Cause the the very concept of toleration implies that the person is doing it grudgingly and that they still harbor a deep distrust or hate within themselves.  And so...  Racial and spiritual acceptance is alot more positive (though challenging) than mere toleration.

If I get enough people that are interested in this...  I'd like to start it as an on campus group in the fall, and if all goes well...  promote it as a model for communities in several areas as well as launch some global web-based support.

Some of the ideas/projects that the group could enspouse could include:

S.P.E.A.C - Stop Predjudice through Education and Awareness in your Community (inner city outreach program)
State sponsored daycare - for low income families and to help foster interracial friendships as well as stop fear or other races/cultures at an early age
Race Mentoring - giving young people support and encouragement from someone outside their immediate ethnic group.

The spiritual aspect of the group.... though I don't want to abandon it, maybe a little more complicated.  My idea was basically to have something like a unitarian church service offered....  where the members all agree to respect and be openminded about worship and belief systems.  Its possible that each service can be different as far as the spiritual vehicle one takes to get to your higher power (God, Allah, Ahura Mazda, Kami, or whatever).  Because people are willing to die for thier religious beliefs....  promoting acceptance is a dangerous prospect, but regardess...  I feel its important aspect to address in order to open up peoples minds and hearts.  The main thing and most challenging thing will be to create a worship/education model that is non-threatening and simple.  But then again, if we just put the invitation and information out there.... and if people come on their own free will and understand the objective...  maybe theres hope.

Anyway, this has been on my mind forever.... so I thought I would finally break down and share my thoughts.  If your up to it, please give me some feedback or ideas.... if not its cool too.  ^_^"
"eventtime","2002-08-09 11:59:00"
"url","http://blightchan.livejournal.com/6088.html"
"userid","1837"
"itemid","20"
"event","Hey Hey,

Just a quick reminder...  its actually tommorrow(Thurs) for the PAINFREE HIV testing, on campus from like 10-3pm.  Hope to see ya there!  ^_^

I hardly got any sleep last night....  got up around 2:30am to check my AIM *swirly eyes*, then I got sucked into Asherons Call and played till I had to go to work this morning....  *yawns*  O_o!  Hummmm...  actually 11-2:30 is pretty generous for sleep! ^_~  And I did level up my character to 36, died 3 times....  once by a Kirthless Siraluun, twice by Mosswart Zealots.  So much has changed in the game....  I haven't played in like a year, since then they added new housing (apartments... I wanna get one!), a ton of new monsters, portals, and weopons, and they changed the way you learn magic!

*more swirly eyes* O_o"
"eventtime","2002-06-19 11:39:00"
"current_moodid","14"
"url","http://blightchan.livejournal.com/5137.html"
"userid","1837"
"itemid","19"
"event","Heyya!

Well, I don't surf as much as I used to...  but here are a few links that stumbled across over the years:

http://www.brise.org/gahoh/home.html - a great site for learning Japanese characters
http://www.mangaseeker.com - for seekin manga :-P
http://www.emulation.net - for Mac emulators
http://www.deadjournal.com - a nice alternative to LJ! ^_^
http://www.anipike.com - for all your anime needs
http://www.engrish.com - a fun site about english in Japan!
http://www.thinkgeek.com/stuff/caffeine/5a65.shtml - get your caffinated soap here!
http://www.thehungersite.com - click and feed the masses

Thats all I can think of off the top of my head....  so what are YOUR favorite links? O_o?"
"eventtime","2002-06-14 15:50:00"
"current_moodid","115"
"url","http://blightchan.livejournal.com/4942.html"
"userid","1837"
"itemid","18"
"event","Hey all ^_^

I'm in a pretty good mood...  today I brown bagged my lunch: PB Sandwich, Banana Yumster, Doritoz 3-D Chedder thingies, Minute Maid Pink Lemonade, and a Fortune Cookie!  ~_~'  Gawwd, I'm such a kid!

Hey I was wondering if anyone wanted to meet me for the free HIV testing thing they are doing on campus.... its PAINFREE!!!  *Woot!*  They just swab your throat and thats it!  I'm all for throat swabbin...   I'm like ""please make mine a strawberry one!!!"" :o) *heehee*  Anyway....  yeah, if anyone wants to do some group throat swabbin the date is TUES 6/20 at the Health Center from 10-3 I think.  I'll be working that day.... but if my schedule is free maybe we can have lunch or a picnic or somepin too!

yours in cheese,
Kenneth"
"eventtime","2002-06-14 12:26:00"
"current_moodid","43"
"url","http://blightchan.livejournal.com/4841.html"
"userid","1837"
"itemid","15"
