"names","values"
"itemid","11"
"event","I can't see any improvement in my english skills since the day I arrived to the University. Besides the fact that I'm always communicating in english with my classmates, it is hard to identify the correct words and/or grammar structure to express my ideas.

I will seek for additional and extracurricular support. Activitiesd related to Grammar will also help me.

Generally speaking I feel very good. My weekend trip to new York was    Amazing!!!!! Ny is a beautiful and multifacetical city. I felt like a little creature in the middle of a cement forest and when  i say ""little creature"" i mean it.

Classes are more interersting but I could be better if I can get a girlfriend an native speaker to shqre my time and improve my english at the same time.

Concerning classes...we saw Bowling Columbia. It was a shocking experience for me to face an autocritics documentary which is focused on facts related with the roots and and basis of the american society. 

The discussion class for wednesday will be quite interestin since we'll argue on topics really controversial. I 'm looking forward to hear the european psotion on this matter.

That's all...."
"eventtime","2004-07-05 23:00:00"
"url","http://bolivian-condor.livejournal.com/3029.html"
"userid","2009"
"itemid","10"
"event","Finally, after 23 hours of traveling by plane. I reached new Haven herein USA. It has been a few day since I've written in this journal and, as a consequence, I didn't have the chance to update it.

USA is a beautiful country, and of course Yale University, which is the place where I am presently writing. Yale has amazing and huge instalations. The histiry and backgrounds that involve this  University provide me and all the students a funny feeling.

I sometimes feel a little bad because I think that I already lost my chance to enter this Univesrity. Even though it's really but really dificult to be accepted by Yale, Hope and envy for the new students who has beenn accepted to perform an LLM are the feelings that sometimes arise from my mind. It is not possible for me to leave my job for longer periods but I'll try to return USA every summ,er...maybe not every summer but at least once per year in order to assist other summer classes and internships.

I also feel that my english is getting worst due to the necessity to comunicate my ideas in such a way that grammar, accent, pronunciation and all that stuff become lesser important.
 need to work on this issue."
"eventtime","2004-07-02 00:30:00"
"url","http://bolivian-condor.livejournal.com/2566.html"
"userid","2009"
"itemid","9"
"event","It is saturday night and I am Planning my activities for this evening. I have two options, the first one Kraken, which is a rock group i never heard before and Alive..the same situation.

I think that I will assist to both concerts...Since I am alone there will be no problem.

Today I encountered an old friend from the university, She is living in Santa Cruz..she did not recognize me...a funny feeling came to me...mmmmm."
"eventtime","2004-06-12 19:59:00"
"current_moodid","6"
"url","http://bolivian-condor.livejournal.com/2348.html"
"userid","2009"
"itemid","8"
"event","WWVzdGVyZGF5LCBJIGJvdWdodCBteSB0aWNrZXQgdG8gVVNBLiBJIGFtIGZlZWxpbmcgYSBsaXR0bGUgbmVydm91cyBzaW5jZSBJIGtub3cgdGhhdCBteSBjdXJyZW50IGVuZ2xpc2ggbGV2ZWwgaXMgbm90IHN1aXRhYmxlIHRvIGZ1bGZpbGwgdGhlIFVuaXZlcnNpdHkgcmVxdWlyZW1lbnRzLiBJIHdpbGwgYmVnaW4gdG8gc3R1ZHkgaGFyZGVyLg0KDQpPbmUgb2YgbXkgYmVzdCBmcmllbmRzIHdpbCBtb3ZlIHRvIFNhbnRhIENydXogd2l0aGluIHRoZSBuZXh0IDUgZGF5cy4gSGUgd2lsbCBzdGF5IGF0IG15IGhvbWUgdW50aWwgOC8wNC4gSSBhbHNvIGZlZWwgdGhhdCBoZSBoYXMgdG8gZ2V0IHVzZSB0byB0aGUgaWRlYSB0aGF0IFNhbnRhIENydXogd2lsbCBiZSBhIG5pY2UgcGxhY2UgZm9yIGhpbSBhbmQgaGlzIHdpZmUgYXMgbG9uZyBhcyBoZSB3b3JrcyBmb3IgcmVhY2hpbmcgIHRoYXQgYWltLg0KDQpJIHBlcmNlaXZlZCBhIGxpdHRsZSBvZiBzdXBlcmlvcml0eSB3aGljaCBpcyBub3QgaGVscGZ1bCBmb3IgaGltLiBJIHRoaW5rIHRoYXQgaXMganVzdCBhIGJhZCBwZXJjZXB0aW9uLg0KDQpJIGRlc2lyZSB0byBzYWxlIG15IGNhciB0b21vcnJvdy4gb24gdGhlIGNvbnRyYXJ5LCBteSBlY29ub21pY2FsIGJhbGFuY2Ugd2lsbCBiZSBkZWFkLiBJIG93ZSBtb3JlIHRoYW4gMjAwMC4uLCBPaCBteSBnb2QuLmlpIGhhcyBiZWNvbWUgbWFuZGF0b3J5IHRvIHNhbGUgbXkgY2FyLi4uDQoNClRvbW9ycm93IEkgd2lsbCBoYXZlIGJhZCBvciBnb29kIG5ld3Mgb24gdGhpcyBtYXR0ZXIuDQogMzUgbWludXRlcyBhZ28gSSBoYXZlIGp1c3QgcmVjZWl2ZWQgYSBjYWxsIGZyb20gbXkgc2lzdGVyLiBTaGUgaXMgaW4gU2FudGEgQ3J1eiBhaXJwb3J0IHdhaXRpbmcgZm9yIGEgY29ubmVjdGlvbiB0byBQYW5hbWEgYW5kIENhbmN1biwgTWV4aWNvLiBJIGdvdCBpbnRvIG15IGNhciBhbmQgZHJpdmVuIHRvIHRoZSBBaXJwb3J0IGluIGp1c3QgMTUgbWludXRlcy4gSSBzYXcgaGVyIGFuZCBzaGUgY291bGRuwrR0IGJlIG1vcmUgYmVhdGlmdWwuLi4uV2UgaGFkIGEgbGl0dGxlIHRhbGsgYW5kIHJlYWxpemFlZCB0aGF0IEkgd2FzIGZhciBtb3JlIG5lcnZvdXMgdGhubiBteSBzaXN0ZXIgZm9yIGhlciB0cmlwLiBGb2xsb3dpbmcgbXkgY29uZGl0aW9uIG9mIHRoZSBiaWcgYnJvIEkgZ2F2ZSBoZXIgc29tZSBzdWdnZXN0aW9ucyB0byBmb2xsb3cgaW4gTWV4aWNvLiBJIHRyaWVkIHRvIGJlIGFzICJvcGVuIG1pbmQiIGFzIGkgY291bGQuDQoNCkkgcmVhbGx5IGxvdmUgaGVyLi4uSSBhbSBoYXBweS4uLi4="
"eventtime","2004-06-10 20:12:00"
"current_moodid","15"
"url","http://bolivian-condor.livejournal.com/2143.html"
"userid","2009"
"itemid","7"
