"names","values"
"itemid","81"
"event","school is fun. i miss santa barbara, a lot. i miss friends. i love mac and cheese. and i love nbc's late night line up."
"eventtime","2005-01-17 23:55:00"
"current_moodid","82"
"url","http://brand-new-fire.livejournal.com/20774.html"
"userid","2099"
"itemid","80"
"event","i'm in my living room freezing, symbolic of how my life has been and how i feel inside. cold. i feel like im missing something. my relationship with god is good.  so i should feel complete, but i dont. something is missing. havent figured it out, but its not there. and i feel cold inside. i feel as if i'm that person who will always be there for you because my life hasnt changed. that i'll always be there for you when you are stuck at the side of the road. and i will, believe me, i just want it to be different this time around. 


Even the best fall down sometimes
Even the wrong words seem to rhyme
Out of the doubt that fills your mind
You finally find, you and I collide




'its seems only in sadness you cling'"
"eventtime","2005-01-07 03:08:00"
"current_moodid","25"
"url","http://brand-new-fire.livejournal.com/20526.html"
"userid","2099"
"itemid","79"
"event","i'm so over everything right now. friends, situations that never fix themselves even with my desire to fix them, and just so much other stuff. i never imagined life could do this. my life is crazy. i'm so frustrated i can't even talk-describe-put into words how i feel. 
i tend not to talk about my feelings because i have a sense about people when they don't care or aren't listening, because my mom doesnt listen. but i know god listens. and a few of my friends tell me they listen, and i guess its my problem if i dont believe them. 



</3"
"eventtime","2005-01-05 01:59:00"
"current_moodid","54"
"url","http://brand-new-fire.livejournal.com/20450.html"
"userid","2099"
"itemid","78"
"event","you can answer the question only with a band of your choice song titles:
i choose guster

Are you female or male: Mona Lisa
Describe how you love: what you wish for
Describe yourself: rainy day
How do some people feel about you: two points for honesty
How do you feel about yourself: happier
Describe your ex boyfriends: getting even 
Describe your current boyfriend: california dreaming
Describe where you want to be: amsterdam
Describe what you want to be: careful
Describe how you live: start it over
Share a few words of wisdom: stay this way forever"
"eventtime","2004-12-14 21:48:00"
"current_moodid","59"
"url","http://brand-new-fire.livejournal.com/20173.html"
"userid","2099"
"itemid","77"
"event","so this is my first, and maybe my last thursday in sb. so sad, ending of era. i had an amazing time here, and i'll be back many more times! but, i cant wait to go home and hang and be with my friends. yes!



FIRSTS
1. First best friend: Lacey Gilmore
2. First love: Stephen Jakemer..hahah oh man
3. First real kiss: my ex.
4. First screen name: linkinparkgirl...or i dunno
5. First pet: bobo...aw man how sad
6. First car: my maxima..1997
LASTS
1. Last cigarette: i dunno awhile
2. Last kiss: my mom
3. Last good cry: last night, after watching mona lisa smile
4. Last beverage drank: water
5. Last food consumed: tims alblondigas soup...oh man it was good
6. Last crush: oh geez...travis
7. Last phone call: my mom...i didn't know which way a duvet cover worked
RELATIONSHIPS
1. Who is your best friend: justine, harmony, mike and ele, in that order
2. Do you have a girlfriend/boyfriend: no
FASHION
1. Where are your favorite places to shop: american eagle, old navy
2. Favorite item of clothing: i love it all
SPECIFICS
1. Do you do drugs: hells naw cuh
2. What kind of shampoo do you use: garnier or so sexy
FAVORITES
1. Colors: blue
2. Foods: mac n' cheese
3. Subject in school: history/music
4. Animals: dogs/ligers
5. Sports: soccer, volleyball, football, baseball
6. Movie: meet the parents, oceans 11, and napoleon
HAVE YOU EVER
1. Given a bath: yea, to kids
3. Made yourself throw up: yeah
4. Skinny dipped: yea
5. Been in love: yes 
CURRENT
1. Clothes: pj's
2. Music: brand new: the quiet things that no one ever knows
3. Make-up: none yet
4. IMs: josie
LAST PERSON
2. Hugged: charles?
3. IMed: josie
4. Last person who slept in your room: joelle
5. Last person's room you slept in: wow...i dont remember
RANDOM
1. In the morning you are: tired 
2. Love is: waaaay overdue
3. I dream about: hope, and good things for the future"
"eventtime","2004-12-09 14:00:00"
"current_moodid","120"
"url","http://brand-new-fire.livejournal.com/19723.html"
"userid","2099"
"itemid","76"
"event","SECTION 1 [YOU.]
your name: courtney mellissa charlie pettijohn
nickname: l.w, court
your gender : girl
age: 18
height: 5'8''
hair color:brown
eye color: green
your location: LONG BEACH/santa barbara
fears:dying, not getting married, the dark, bugs 

SECTION 2 [ HAVE YOU EVER ]
peed your pants? yeah, a lot actually
fallen off the bed? yeah,i broke my elbow
had your heart broken? yeah
had a dream come true? yeah kinda
done something you regret? oh man, kinda...i try not to regret, but i do
cheated on a test? on my AP bio test...i got a four instaed of my fives
broken a body part? my elbow
SECTION 3 [ CURRENTLY ]
doing? this
wearing? soccer shorts and a tank top
listening to? conan and dmb
chewing? nothin
feeling? tired and chilly
reading? my calc dos book 
chatting with? no one
should REALLY be? sleeping

SECTION 4 [ DO YOU... ]
have a bf/ gf? nope
brush your teeth? heck yes
like anybody? i'm interested ...haha sara/harmony
have any piercings? my ears/cartilage
drive? yes
believe in Santa Claus? no 
ever get off the computer? not since i've had dsl

SECTION 5 [ FRiENDS ]
who is your best? justine, harmony, mike, in that order
who is the loudest? mike and maybe ele
who is the shyest? justine
who is the 'hottest'? me
who laughs the most? justine
who have you known the longest? kathleen
do you hang out with the opposite? omg yeah
do you consider yourself POPULAR? kinda, i dont care
do you trust your friends? for the most part
are you a good friend? hope so
can you keep a secret? yeah

SECTION 6 [ THE LAST PERSON YOU...]
hugged - sara
kissed- mom
IMed - mike
talked to on the phone - my mom
fell in love with - ive been falling in love again with god
SECTION 7 [ PERSONAL ]
What do you want to be when you grow up? a broadway actress/history teacher or voice teacher
What was the worst day of your life? when my dad died
What is your most embarrassing story? when i fell down the stairs at school and took like six people out
What has been the best days of your life? my day in cambria
What comes first in your life? being happy
What do you usually think about before you go to bed? how bad i need to go to sleep
SECTION 8 [ FAVORITE . . .]
Movie: meet the parents and oceans 11
Song: i have sooo many
Group: rascal flatts or guster
Store: american eagle
Relative: omg my brother and sisters, and my mom...i love them all
Sport: soccer, volleyball
Candy : chocolate
Holiday: i love them all
Day of the Week: fridays
Color(s):green, blue
SECTION 9 [ DO YOU . . .]
Like to give hugs? omg yes
Like to give kisses? i wish i could have someone to kiss
Like to walk in the rain? yeah
Like Black or blue pens? black
Dress up on Halloween? yeah
Have a job? american eagle, trish mcevoy, and forest home
Sleep on your brothers bed? haha yea
Think you're attractive? sometimes
Want to get married? omg yes...sooo bad
Have a baby? four or five
Ever have the falling dream? yeah 
Have stuffed animals? yes

SECTION 10 [ WHAT DO YOU THINK ABOUT . . .]
Abortion: ah hells naw...seriously, i hate it
Bill Clinton: not too bad
Eating Disorders: are becoming an epidemic in this country due to pressure to become thin by various clothing companies
Summer:i cant wait...seriously
Tattoos: maybe, depends
Piercings: not a lot of them
Make-up: i have to have mascara
Drinking: not so much a fan"
"eventtime","2004-12-07 01:34:00"
"current_moodid","61"
"url","http://brand-new-fire.livejournal.com/19525.html"
"userid","2099"
"itemid","75"
"event","ha. so below, i totally biffed on my journal entry. it was supposed to be some emotional entry, but some how everything got pushed together. whatever. it all means the same, just in a different style. 

</3"
"eventtime","2004-11-25 03:04:00"
"url","http://brand-new-fire.livejournal.com/19301.html"
"userid","2099"
"itemid","74"
