"names","values"
"itemid","153"
"event","This weekend at our store was our 1 day sale that lasts for 2 days (don't ask). After working a good deal already this week, they had me come in Friday from 745-445. Normally, I work afternoon/evening hours so this was a change. I barely got any sleep the night before, but I made it to work. Afterward, Marissa picked me up and she wanted to eat before she went to babysit. Having enough energy to do so, I said lets go. When I got back home, I went straight to bed for 3 hours. I woke up about 9 and had a snack, then knew I had to get up at 530am the next morning for a 7-5 (10 hours) shift so I took a sleeping pill and dozed off around 11. I get to work and from 7-8am, there's absolutely nothing to do so it makes you tired being in a semi-dark store to start off the day. Around 10am, my face starts to burn and irritate easily. It was hurting and now the store was starting to get busy. I shaved 2 days ago so it was odd to start now. I went over to where they have mens products and found a razor burn relief formula for $25 which was the very good shit and put that on. Instant relief! After that, I didn't get to have lunch until I was 7 hours into my shift! By this time, I was hot and tired and very moody because I was ringing customers nonstop and you add everything I wrote above. It doesn't make a happy day. At 215, an hour after I thought I was going to eat, Marissa and Jessica met me outside Panera. Instead of staying in the mall which I kinda wanted to do since it was miserable outside and I myself was also, we walked over to Chili's. We were seated promptly and I automatically said 'smoking' to the waiter because I myself smoke. With no objections heard, we sat over in smoking. After our orders had been taken, I light up, which was to start the most dramatic scene i've had to deal with in recent history. After everything I had to put up with those past 2 days, I needed to have a cigarette after waiting 7 hours to have one. If you're a smoker, you'd understand this completely. I knew that Jessica didn't care for smoke and didn't want to smell like it. I scoot over to the other side of the booth. The winds in the restaurant were seriously not on my side. It was going into Marissa's face and some was getting at Jessica. She was getting upset at it and, having little patience, I was being difficult and said I needed to have this cigarette and I wanted to get it done before lunch came. I truthfully don't remember all that I said which is odd, but I made her so upset that even when I finally did put the cigarette out, the damage had been done and she asked to have her food cancelled and left the restaurant. I blocked out the feelings I was having and just ate in silence. Marissa stayed because her food was being cooked and probably didn't want to be a pain to the server and cancel her food also. Then, she lectered me about what just happened and then brought up other things I have done that had made her and others upset in the past. I just couldn't handle anything at that time so I rudely just said forget it it'll never happen again and we ate in silence once again. After 5-10 minutes of eating, she asked for the checks and boxes. We packed up the stuff and left. I was definately not myself today and I hope they saw that and I do ask for forgiveness in how rude and selfish I was today. It was a bad day already and to ask me to put out what helps me out when i'm stressed or had a long day I just wasn't going to do easily. I made my 2 best friends mad and upset at me and it hurts to know that. If its true that best friends stay together through thick and thin, in good times and bad, and that their love is unconditional, I hope you do find it in your heart to forgive me for what I did. Without you, i'm nothing and with you, i'm everything."
"eventtime","2006-07-15 22:20:00"
"current_moodid","123"
"url","http://brandon-w.livejournal.com/39274.html"
"userid","2101"
"itemid","152"
"event","SSB0b29rIGEgdGVzdCBmcm9tIEhhcnZhcmQgYWJvdXQgd2hlcmUgSSBzdGFuZCBpbiB0aGUgcG9saXRpY2FsIHNwZWN0cnVtLiBPbmUgdGhpbmcgdGhhdCBpc24ndCByaWdodCBvbiBoZXJlIGlzIHRoYXQgaXQgc2F5cyB0aGV5IGRvbnQgYmVsaWV2ZSBhYm9ydGlvbiBzaG91bGQgYmUgaWxsZWdhbC4gVGhhdCBvZiBjb2Fyc2UgaXMgd2F5IG91dHRhIGxpbmUhIDEwJSBvZiB0aGlzIGdyb3VwIGZlZWxzIHRoYXQgd2F5LiBUaGUgc3VydmV5IGRpZCBub3QgYXNrIG1lIHRoYXQgcXVlc3Rpb24uIEJ1dCwgb3ZlcmFsbCwgSSB0aGluayBpdCBzcGVsbHMgb3V0IHdoZXJlIEkgc3RhbmQuIElmIHlvdSdyZSBpbnRlcmVzdGVkIGluIHNlZWluZyB3aGVyZSB5b3UgYXJlLCB2aXNpdCB0aGUgZm9sbG93aW5nIGxpbmsuIFBvc3QgeW91ciByZXN1bHRzIGFzIGEgcmVwbHkuIEknbSBjdXJpb3VzIHRvIHNlZSB3aGVyZSB5b3UgZ3V5cyBhcmUuIElmIHlvdSBkbyBub3Qga25vdyBtdWNoIG9uIGFuIGlzc3VlLCBwbGVhc2UgcmVhZCB0aGUgbGlua3MgdGhleSBnaXZlIHRvIGJldHRlciBlZHVjYXRlIHlvdXJzZWx2ZXMgb24gaXQuDQoNCmh0dHA6Ly93d3cuaW9wLmhhcnZhcmQuZWR1L3Jlc2VhcmNoX3BvbGl0aWNhbF9wZXJzb25hbGl0eV90ZXN0LnBocA0KDQoNClNFQ1VMQVIgQ0VOVFJJU1RTDQpTZWN1bGFyIENlbnRyaXN0cyBsZWFuIGNvbnNlcnZhdGl2ZSwgeWV0IHJlbGlnaW9uIGRvZXMgbm90IGFwcGVhciB0byBmYWN0b3IgaW50byB0aGVpciBpZGVvbG9neS4NClRoZXkgYXJlIG1vcmUgb3B0aW1pc3RpYyBhYm91dCBib3RoIHRoZSBjb3VudHJ5IGJlaW5nIG9uIHRoZSByaWdodCB0cmFjayBhcyB3ZWxsIGFzIHRoZSBtb3JhbA0KZGlyZWN0aW9uIG9mIHRoZSBjb3VudHJ5IHRoYW4gYW55IG90aGVyIGdyb3VwLiBJbiBsaW5lIHdpdGggdGhpcywgdGhleSBkbyBub3QgYmVsaWV2ZSB0aGF0IHJlbGlnaW91cw0KdmFsdWVzIHNob3VsZCBwbGF5IGEgbW9yZSBpbXBvcnRhbnQgcm9sZSBpbiBnb3Zlcm5tZW50LiBTZWN1bGFyIENlbnRyaXN0cyBkbyBub3Qgc3VwcG9ydCBoZWFsdGgNCmluc3VyYW5jZSBhcyBhIHJpZ2h0LCBhZmZpcm1hdGl2ZSBhY3Rpb24sIG9yIHNvY2lhbCBzZWN1cml0eSBndWFyYW50ZWVzLiBUaGV5IGRvIHN1cHBvcnQgdGhlIHdhciBpbg0KSXJhcS4gSG93ZXZlciwgdGhleSBkaWZmZXIgZnJvbSB0aGUgUmVwdWJsaWNhbnMgaW4gdGhhdCB0aGV5IGRvIG5vdCBiZWxpZXZlIGhvbW9zZXh1YWwNCnJlbGF0aW9uc2hpcHMgYXJlIG1vcmFsbHkgd3Jvbmcgb3IgdGhhdCBhYm9ydGlvbiBzaG91bGQgYmUgaWxsZWdhbC4NCkRlbW9ncmFwaGljcw0KwrcgMTglIG9mIHRoZSBQb3B1bGF0aW9uIChkb3duIDExIHBvaW50cyBmcm9tIHNwcmluZyAyMDA0IOKAkyBzaGlmdGVkIHRvIFRyYWQuIExpYmVyYWxzKQ0KwrcgU3BsaXQgUGFydHkgSUQ6IDE1JSBEZW1vY3JhdCwgNDclIFJlcHVibGljYW4sIDM1JSBJbmRlcGVuZGVudA0KwrcgNjAlIG1hbGUNCsK3IDU5JSBzdXBwb3J0ZWQgQnVzaCBhbmQgMjklIHN1cHBvcnRlZCBLZXJyeSBpbiBFbGVjdGlvbiAyMDA0DQrCtyA2NyUgdGhpbmsgdGhlIGNvdW50cnkgaXMgb24gdGhlIHJpZ2h0IHRyYWNrIChtb3N0IG9mIGFueSBncm91cCkNCsK3IE9ubHkgMTElIGFyZSBjb25jZXJuZWQgYWJvdXQgdGhlIG1vcmFsIGRpcmVjdGlvbiBvZiB0aGUgY291bnRyeSAobGVhc3Qgb2YgYW55IGdyb3VwKQ0KwrcgT25seSAxJSBiZWxpZXZlIHRoYXQgcmVsaWdpb3VzIHZhbHVlcyBzaG91bGQgcGxheSBhIG1vcmUgaW1wb3J0YW50IHJvbGUgaW4gZ292ZXJubWVudA0KU29jaWFsIFBvbGljeSBCZWxpZWZzDQrCtyBPbmx5IDE1JSBzdHJvbmdseSBiZWxpZXZlIHRoYXQgYmFzaWMgaGVhbHRoIGluc3VyYW5jZSBpcyBhIHJpZ2h0IChsZWFzdCBvZiBhbnkgZ3JvdXApDQrCtyBPbmx5IDE2JSBjb25zaWRlciB0aGUgZW52aXJvbm1lbnQgYXMgaGlnaCBhIHByaW9yaXR5IGFzIGpvYnMgKGxlYXN0IG9mIGFueSBncm91cCkNCsK3IE9ubHkgMTIlIGJlbGlldmUgdGhhdCBob21vc2V4dWFsIHJlbGF0aW9uc2hpcHMgYXJlIG1vcmFsbHkgd3JvbmcNCsK3IDAlIHN0cm9uZ2x5IGJlbGlldmUgaW4gQWZmaXJtYXRpdmUgQWN0aW9uIChsZWFzdCBvZiBhbnkgZ3JvdXApDQrCtyA0MiUgYmVsaWV2ZSBpbiBTb2NpYWwgU2VjdXJpdHkgZ3VhcmFudGVlcw0KwrcgMTAlIHN0cm9uZ2x5IGJlbGlldmUgdGhhdCBhYm9ydGlvbiBzaG91bGQgYWx3YXlzIGJlIGlsbGVnYWwNCkZvcmVpZ24gUG9saWN5IEJlbGllZnMNCsK3IDY4JSBzdXBwb3J0IHRoZSB3YXIgaW4gSXJhcQ0KwrcgNjYlIHdvdWxkIHRvbGVyYXRlIGZ1cnRoZXIgY2FzdWFsdGllcyBpbiBJcmFxIGFzc3VtaW5nIHByb2dyZXNzDQrCtyAyMSUgc3Ryb25nbHkgYmVsaWV2ZSB0aGF0IHRoZSBVUyBzaG91bGQgd29yayB0byBzcHJlYWQgZGVtb2NyYWN5"
"eventtime","2006-04-11 20:32:00"
"url","http://brandon-w.livejournal.com/38918.html"
"userid","2101"
"itemid","151"
"event","Hey everyone. A few announcements for ya. I have just become the President of the SRU Repubicans. We had our first rally on campus when the democrats decided to have a democrat US Senate debate. We were outside the debate having fun eatin pizza, holding signs, and letting people pass by that Yes, there are republicans at SRU. There will be many more events with much much bigger turnouts. I'm estimating our next rally in the fall will be at least 100people. This rally wasn't bad for such a short notice. I do expect better though. I do have pictures posted on ricksantorum.com and here's the link 

http://www.ricksantorum.com//Photos/Default.aspx?GalleryID=28

I got to meet Rick's campaign advisor and the main man in charge of the website. I'm now in touch with so many high up people its great. With me being president, there will be major changes. I'm drafting a much better constituion, a huge campus canvas that no matter where u go on our canvas days, you'll see us spreading the word about our group. I'll have weekly advisor meetings, biweekly group meetins, projects to help our community, and our own rallys and debates so both sides are shown. It'll be a lot of work, but i'm dedicated to the cause. And I will NOT have another term of Slick Eddy. GO LYNN SWANN!!!!"
"eventtime","2006-04-11 19:44:00"
"current_moodid","15"
"url","http://brandon-w.livejournal.com/38766.html"
"userid","2101"
"itemid","150"
"event","I hear people saying we don't need this war
I say there's some things worth fighting for
What about our freedom and this piece of ground?
We didn't get to keep 'em by backing down
They say we don't realize the mess we're getting in
Before you start preaching
Let me ask you this my friend

Have you forgotten how it felt that day
To see your homeland under fire
And her people blown away?
Have you forgotten when those towers fell?
We had neighbors still inside
Going through a living hell
And you say we shouldn't worry 'bout Bin Laden
Have you forgotten?

They took all the footage off my T.V.
Said it's too disturbing for you and me
It'll just breed anger that's what the experts say
If it was up to me I'd show it every day
Some say this country's just out looking for a fight
After 9/11 man I'd have to say that's right

I've been there with the soldiers
Who've gone away to war
And you can bet that they remember
Just what they're fighting for

Have you forgotten all the people killed?
Yes, some went down like heroes in that Pennsylvania field
Have you forgotten about our Pentagon?
All the loved ones that we lost
And those left to carry on
Don't you tell me not to worry 'bout Bin Laden
Have you forgotten?"
"eventtime","2005-12-15 15:05:00"
"url","http://brandon-w.livejournal.com/38546.html"
"userid","2101"
"itemid","149"
"event","HAPPY BIRTHDAY TO ME HAPPY BIRTHDAY TO ME 21 BABY!!!!"
"eventtime","2005-12-06 13:24:00"
"current_moodid","41"
"url","http://brandon-w.livejournal.com/38316.html"
"userid","2101"
"itemid","148"
"event","They caught the assholes.. and no surprise to many including marissa and jess, it was the young freaks across the street. Their own mother turned them in! Here's wpxi video: http://www.wpxi.com/video/5430234/detail.html"
"eventtime","2005-11-30 13:38:00"
"current_moodid","132"
"url","http://brandon-w.livejournal.com/38056.html"
"userid","2101"
"itemid","147"
