"names","values"
"itemid","224"
"event","i hate death.
i feel so selfish and empty.

i just want jesus christ to take over my soul completly.
i beg to praise his name forever.
that is all that would truly make me genuinly smile.

i miss catherine. and katbean.


went to see spiderman 2 last night @ 12:10. with matt zeke and martez.
i love gay ppl.
they are so shallow yet hilarious.
ahhh funtimes.
:)

very very very tired today!

i love my popye!:)"
"eventtime","2004-06-30 12:09:00"
"url","http://brookumz.livejournal.com/57501.html"
"userid","2232"
"itemid","223"
"event","my party went well.
good to see evryone.
glad its over though too.

cant wait for catherines this weekend.
i hope kyle comes with me.
maybe ill just ride out with the gowers...
i love how on this whole thing i just think outloud to myself.
cute.

Lauren got a kitten today.
I get to get a puppy.
i need to pick one out though first.
im thinking a yorkie. 
not sure yet though.
leave suggestions.=)

im gonna go head over to aprils now and sleep there. 
cause i can never nap at my house with so much commotion.
i love how i always go over there when theres nobody there.
im so cool! =)"
"eventtime","2004-06-22 18:20:00"
"current_moodid","40"
"url","http://brookumz.livejournal.com/57304.html"
"userid","2232"
"itemid","222"
"event","last night was fun.

kyle actually called me and invited me over.
by the time i got there though brittany was over.
it was alright.

i sat in the kitchen for the first hour( as usual) 

and then watched news with karla and dave for an hour while kyle and britt ran to the store.

then dayna came home and we talked.=)

then kyle came home and britt left for a bit and i plucked kyle and daynas eyebrows.
kyles sucha a sissy. litterally only did about five hairs on each eye. lol
i was laughing so hard i started crying.

then britt came back over and they left a while later to go swim in her 100* pool.
boo.

so i stayed and talked to day until around 12:30 and then headed over to matt and aprils.

over there i got such a horrible headache and threw up 3 friggin times. it was awful.
i felt like an ass.
i finally went to sleep around 3 and woke up at 8.
great times.

cat: karla said me and you can stop over ANYTIME throughout the summer and lay out with dayna! YAY! i cant wait!i told her we were already planning on it;) haha. we're so CUTE!"
"eventtime","2004-06-18 11:54:00"
"current_moodid","44"
"url","http://brookumz.livejournal.com/56864.html"
"userid","2232"
"itemid","221"
"event","today was awesome.
went out to lunch with koula and katie in livonia @ PF changs. 
Mmmm. 
then went to some little shops.
koula bought me some cute orange nail polish from a little boutique.
 going to lay out soon.

matt has a show tonight at a little christian kids camp.
goodluck to him

later today i have to go shopping with dad for my party saturday.
fun fun fun.

and i have to finish my posters for it too.
Gah-REAT!

i miss kathleen.
and catherine.
and kyle.

hopefully ill see them all saturday though.

I LOVE MY FRIENDS!
...and switchfoot... and david beckham!"
"eventtime","2004-06-17 15:27:00"
"url","http://brookumz.livejournal.com/56765.html"
"userid","2232"
"itemid","220"
"event","i miss my friends.
i hate when ppl drift.
hopefully ill see alot of ppl @ my grad party.
im mad at mom about the moonwalk. jerk.
but hey ill have either a snow cone machine or a slushie machine.
so its all hunky dory.

things 2 do:

-get a new cell phone

-pay my ticket

-get new sheets

-clean my car

-get dress for GP.

-make posters and box for GP.


BLEEEEEEEHHHHHHHH!

AHHH lhama FACE! 

over and out."
"eventtime","2004-06-16 13:28:00"
"current_moodid","91"
"url","http://brookumz.livejournal.com/56409.html"
"userid","2232"
"itemid","219"
"event","i miss you cat!
ill explain to you about sam later... its funny really. 
u know her.

i love summer! 
and its off to a great start!
GREAT to actually have money.

i got pulled over yesterday and i got a ticket
for speeding. no seatbelt. and no shoes. 
what a gay LAW!"
"eventtime","2004-06-14 16:48:00"
"url","http://brookumz.livejournal.com/56207.html"
"userid","2232"
"itemid","218"
"event","last night was great fun. 
i love all my friends.

honors with kristin and ryan was priceless.
the only moving we did was lifting up our feet for the other smart ppl.
""this is EXACTLY why we arent up there kristin""
""well, all those times we were at mcdonalds were so much better than an honor cord!""

haha funtimes.

pizza hut was great too.
mmmm stuffed crust.
i love nat kris and finkers!

im starting to realize how much im truly gonna miss these ppl. 
i dont wanna leave my friends behind. 
mike and tony think im gonna fall off the face of the earth after graduation...

which is TOMORROW! 
oh lordy!
its coming so soon!
im gonna cry so extremly MUCH!

kyle texted me today.
i really need to hangout with him.
i miss tha kid.

wow. i cant belive how much my life is about to change... hopefully for the better.=)

babysitting is going well. i love katie.
shes so spunky.

i have ANOTHER nuerology appt. today @ 2. for a scan of my brain! eek!
then i go back the 7th and 27th of july.
too many meds. 
lets pray these ones actually work.
and can get me to sleep sometime.

GRAD PARTIES HERE I COME!

peess: mine is the 19th @ 2-whenever. @10499 mckean rd! b there r b square!"
"eventtime","2004-06-10 11:16:00"
"current_moodid","21"
"url","http://brookumz.livejournal.com/55893.html"
"userid","2232"
"itemid","217"
"event","i hate graduation stuff.
and not being able to sleep in ONCE yet.
maybe tomorrow.

cap and gown pick up.
scary."
"eventtime","2004-06-07 19:47:00"
"url","http://brookumz.livejournal.com/55691.html"
"userid","2232"
"itemid","216"
"event","oh g's. 8 o clock service is so early.
me and lo matt lance and his friend went to the movies last night. 
mean girls was great!

work tomorrow @ 3-7 then wed i start for koula. and i work again sat from 2-7.

graduation friday! woohoo!
be there r be square!


church tonight at 6:30. call me if anyone wants to come! TB AFTER!!


mmmm i love dorito crumbs and pepsi!=) 
what obviously im fatt>>>"
"eventtime","2004-06-06 13:14:00"
"current_moodid","31"
"url","http://brookumz.livejournal.com/55506.html"
"userid","2232"
"itemid","215"
"event","Too many tears friday.
it was a day im gonna never forget.
i hate shaving cream in MY EAR! grr!
No more LHS. EVER!
i wonder when its really gonna hit me?!




Happy birthday to des!=)"
"eventtime","2004-06-05 18:59:00"
"url","http://brookumz.livejournal.com/55171.html"
"userid","2232"
"itemid","214"
"event","saturday was awesome.

im asking mom tonight about ahving the senior party after graduation on friday.
pray for me. for all the seniors luck!

3 more days! hot-dawg!"
"eventtime","2004-06-01 13:03:00"
"url","http://brookumz.livejournal.com/54932.html"
"userid","2232"
"itemid","213"
"event","wow. 
i have a really bad cold.or infection.

i talked to ms. m yesterday and she said the only way i would not graduate is if i failed all my classes and exams. so that wont happen cause IM GONNA PASS WITH FLYING COLORS on my exams... =)

we finally finished the bathrooms. our house is kinda feeling almost finished now. next we are gonna carpet the stairs and THEN finish the basement. its coming along. 

today me and lauren are going to bed bath and beyond to get some stuff to redecorate my room. paint... new sheets... new comfortor...new THROW pillows!! yes! thats what im buying with my income tax money.

i start babysitting for koula on the 7th i think. so im SO exstatic about that income flow ill be having.
ill only work at pinters on monday and saturdays now.(score!)

my graduation party is on june 19 @ 3-6. after that im sure itll just keep turning into a buncha drunkards running around and singing BAD kareoke. lol. YOU'RE ALL INVITED! =)

oh yeah and TJ's having a party this saturday cause my moms gone for the weekend as usual and lauren and lance will be at dads. TJ wants me to bring some HOTT friends for his nasty fat ones... so all i have right now is sam... and i REALLY want catherine to come too! =) (let me know C)

well thats life. enjoy!=)"
"eventtime","2004-05-28 08:16:00"
"current_moodid","4"
"url","http://brookumz.livejournal.com/54578.html"
"userid","2232"
"itemid","212"
"event","gah. i hate my life.
and work.
and gay a-holes. 

i love wedding receptions and laughing at all the girls fighting over ""MATT GIRAUD!!"" lol.
 and then going to see shrek @ 10:30. 

of course id be here on senior skip day.
i cant afford to miss anymore school.

no power bites."
"eventtime","2004-05-24 11:44:00"
"url","http://brookumz.livejournal.com/54320.html"
"userid","2232"
"itemid","211"
"event","CALL me! i miss you and we need to talk about TOMMORROW! 
ick. its here!
i still have lots of shopping kinda ... to do... and i have to find a place to put on my fake eylashes... hmmm... and i need some pink flip flops...
i wish u were riding with me now...

WOO! a whole weekend of FUN FUN FUN... and NO WORK!!!"
"eventtime","2004-05-21 20:47:00"
"url","http://brookumz.livejournal.com/54148.html"
"userid","2232"
"itemid","210"
