"names","values"
"itemid","159"
"event","new journal...




Criskillskittys          add it yo!


............my ear hurts......"
"eventtime","2006-06-13 20:50:00"
"current_moodid","125"
"url","http://bugymunkles.livejournal.com/40786.html"
"userid","2297"
"itemid","158"
"event","im going to make a new livejournal account and it will be friends only.......soooooo ill update on this one tell you guys what the name is because i still need to make it."
"eventtime","2006-06-13 19:21:00"
"current_moodid","113"
"url","http://bugymunkles.livejournal.com/40674.html"
"userid","2297"
"itemid","155"
"event","1. YOUR PORN STAR NAME: (Name of first pet / Street you live on):
Goldy Killian

2. YOUR MOVIE STAR NAME: (Name of your favorite snack food / Grandfather's first name):  Cerial Thomas


3. YOUR FASHION DESIGNER NAME: (First word you see on your left / Favorite restaurant):
Cope Samuria

4. EXOTIC FOREIGNER ALIAS: (Favorite Spice / Last Foreign Vacation Spot):
Pepper Europe

5. SOCIALITE ALIAS: (Silliest Childhood Nickname / Town Where You First Partied):
Kiki Miami

6. ""FLY Girl"" ALIAS (a la J. Lo): (First Initial / First Two or Three Letters of your Last Name):
S Whi

7. ICON ALIAS: (Something Sweet Within Sight / Any Liquid in Your Kitchen):
pizza?  well thats the only food within sight so ""pizza orange juice""

8. DETECTIVE ALIAS: (Favorite Baby Animal / Where You Went to High School):
puppy not in high school yet....ooh...mysterious hahaha

9. BARFLY ALIAS: (Last Snack Food You Ate / Your Favorite Alcoholic Drink):
Cookies Smirnoff

10. SOAP OPERA ALIAS: (Middle Name / Street Where You First Lived):
Lauren Sunset (HAHAHAHAHAH)

11. ROCK STAR ALIAS: (Favorite Candy / Last Name Of Favorite Musician):
Pop Rocks Ramone.............HAHAHAHAHAHAHHHAHAHAH"
"eventtime","2005-03-06 15:42:00"
"current_moodid","92"
"url","http://bugymunkles.livejournal.com/39782.html"
"userid","2297"
"itemid","154"
"event","CHRISTINA CAME OVER!!!! YES!!! It was sooooooooo much fun i almost died of laughter because i always do when ever shes over and DAMN Its hot...hang on 


okay 
then we went to cold stones and talked there lots of fun then we came home and she tried to read my ceckelfdkslajfdsaifdnsaoifdjas peices for chior....i dont know how to spell so im just going to sound it out....

checkeslovakian haha yah thats it anywho she tryed to read that peice so i recorded her doing it becasue ......i was dying of laughter thats the hardest i laughed in a long time......


OOH i should have brought up mr lido...i miss mr lido....

MR. LIDO WILL BE REMEMBERED IN MY HEART!!!!!!!"
"eventtime","2005-02-28 21:57:00"
"current_moodid","72"
"url","http://bugymunkles.livejournal.com/39458.html"
"userid","2297"
"itemid","152"
"event","im so pissed.......my parents dont trust me.........at all....they are so stupid sometimes"
"eventtime","2005-02-27 21:59:00"
"current_moodid","3"
"url","http://bugymunkles.livejournal.com/39047.html"
"userid","2297"
"itemid","153"
"event","check my ""my space"" blog for what happend this weekend."
"eventtime","2005-02-27 21:59:00"
"current_moodid","114"
"url","http://bugymunkles.livejournal.com/39320.html"
"userid","2297"
"itemid","151"
"event","--Goth--
Do you wear black eyeliner?: yes everyday
How much black clothing do you own?: i have alot of black things just because black goes with everything.......
Do you think about death often?: sadly
Do you want to die?: nope
Are you a social outcast?: nah
Are you pale?: no
Do you cut?: no
Do you like Hot Topic?: for accesories

--Skater Punk--
Can you skateboard?: not well
How often do you go into Vans?: when ever i walk by it
What's your sneaker brand?: converse
Do you do stupid stuff with your friends?: yes
Are the long skater cuts: are they cute? yes.
How much do you get in trouble?:VERY often
Do you listen to the bands who are considered ""posers""?: nah..
How many piercings do you have?: 2

--Prep--
How often do you say the word ""like""?: VERY often but not to an annoying point
Do you shop at Abercrombie and Fitch?: nope
Are the A&F models hot? some
How many purses do you own?: like 3 that i use
Is lip gloss a must?: nah
How often do you wear makeup?: everyday
Ever had a manicure?: yes
Rock music is bad, right?: .............i refuse to answer this or i might die
Are you ever ditzy?: eh...nah
Do you own high heels?: yeah
Have you ever said ""Oh my gosh""?: last time when i was like 7
Are you a cheerleader?: *cringe*i was when i was younger....then again well.er......no comment...

--Hippie--
Is your hair long?: nah
Are you a vegetarian?:eww
Do you own a tye dye shirt?: no
Do you want peace?: YES!!
Do you want to save the animals?: yeah  SAVE THE SEA TURTLES (ale..lmao)
What do you think about the war? GAYNESS!!!
Have you ever made a peace sign with your two fingers?: all the time

--Gangsta--
Are you from the ghetto?: yeh yuh!!! .............no
Do you own ""bling bling""?: no
What do you think about do-rags?: haaaaaahahahahahahah nothing better than wearing grandmas stockings on your head!
Do you like rap?: no.
How about hip-hop?: when im dancing
Was Tupac truly the greatest rapper in the world?: who?
What do you think about afros?: greasy......
Have you ever said 'fo shizzle'?: heck yes
How about 'oh, snap son'?: haha......i dont think so

--Frat--
Is life a party?: heck yes!
How often do you get drunk?: im 13...not often
What's the point of getting drunk anyway?: screw around
Do you care about your grades?: yeah
Do you need an attitude adjustment?: when im PMSing then again everyone does
How far have you been?: eh.....not far.
--Emo--
How often do you cry?: when i get insainly frustrated
Do you have an ex?: no
Do you have an acoustic guitar?: yea
Are you emotional?: eh...somewhat
Do you like soft music?: somewhat
Do people understand you?: not many
Do you write your own songs?: yea

--Jock--
Do you play any sports?: yeah
How important are they to you?: very important
How important is your reputation?: nah
Do you pick on the geeky kids?: well....somewhat
What do you think about football?: its okay
Are you considered a bully by anyone?: nah

--Geek--
Do you wear glasses?: no
Do you get good grades?: im average
Are you smart?: yeah
Do you use an inhaler?: no
Do you stick pens and calculators into your shirt pockets?: i clip pens to my colar i dont think i spelled that right
Does your mom buy your clothes?: hmmm....sometimes but i pick them out
How often are you on the computer?: a lot..
Do you get picked on?: yeah.....lol"
"eventtime","2005-02-27 12:49:00"
"current_moodid","2"
"url","http://bugymunkles.livejournal.com/38746.html"
"userid","2297"
"itemid","150"
"event","ugh...............i knew it..i just wish they didnt have to make it official.....

im really depressed i wishi didnt allow myself to do this

(im purposely putting this in a way that no one will REALLY know whats going on...)


i really should care more...but i dont really i know this will be a HUGE deal at school tmrw ....why do i allow myself to do this...i guess i like the abuse.
Because i fall for anything they say"
"eventtime","2005-02-21 11:46:00"
"current_moodid","129"
"url","http://bugymunkles.livejournal.com/38540.html"
"userid","2297"
"itemid","149"
"event","..................i wish i could die."
"eventtime","2005-02-21 00:31:00"
"current_moodid","84"
"url","http://bugymunkles.livejournal.com/38300.html"
"userid","2297"
"itemid","148"
"event","<table align=center border=1 bordercolor=black cellspacing=0 cellpadding=2><tr><td align=left bgcolor=#FFCDDD><font face=""Verdana, Arial, Helvetica, sans-serif"" style='color:black; font-size: 12pt;'>Your Porn Star Name is: <b>Busty de Lusty</b><br /></font></td></tr></table><br><div align=""center""><a href=""http://www.blogthings.com/pornname.html""><b>Get your own Porn Star Name</b></a></div><br>"
"eventtime","2005-02-20 19:52:00"
"current_moodid","5"
"url","http://bugymunkles.livejournal.com/37893.html"
"userid","2297"
"itemid","147"
"event","<P><U><STRONG>COMMENT IF YOU LOVE ME!!!!!!!!!!!!!!!!</STRONG></U></P>"
"eventtime","2005-02-19 19:24:00"
"current_moodid","13"
"url","http://bugymunkles.livejournal.com/37875.html"
"userid","2297"
"itemid","146"
"event","SOCCER TEAM IS GOING TO STATES!!!!!


not mine obviously......*sigh*

anywho amanda is over and i couldnt think of anything better to but to comment on my journal because im bored out of my mind...

ryans coming to florida i was going to go see him at the airport but i dont know his flight number and unless he calls me or something i wont be able to see him......   :(


well ill call him when hes going home so i can run into him at the air port or something because i havent seen him in about a year an a half.......oh well 

i kissed roly... ;P

twas great fun"
"eventtime","2005-02-19 12:34:00"
"current_moodid","76"
"url","http://bugymunkles.livejournal.com/37469.html"
"userid","2297"
"itemid","145"
