"names","values"
"itemid","22"
"event","<center> 

A few things to know before friending <lj user=""celectis"">:

+I'm usually only updating doodles and pchat drawings.
+I love tons of stuff but am not always active in fandom!
+This journal is very <b>B</b>oy<b>L</b>ove friendly!
+Perverted but does not always draw hardcore!
+Will probably say tons of useless, dumb stuff. ;D
+Loves it when you comment

+ By friending me here, you're agreeing to not reposting any of my art elsewhere without my approval/claiming that you drew it/trolling/etc.

I'm pretty laid back <s>and a pushover</s> so I hope to be getting to know you all! x3 

Please comment here when adding!

<a href=""http://www.livejournal.com/friends/add.bml?user=celectis"" ><img src=""http://i39.photobucket.com/albums/e186/Celectis/ff.jpg"" border=""0""></a>



</center>"
"eventtime","2020-05-13 22:42:00"
"url","http://celectis.livejournal.com/5686.html"
"userid","2623"
"itemid","106"
"event","Reply to this post, and I'll tell you one reason why I like you. Then put this in your own journal, and spread the love.

This meme was stolen from rooobs. And~ wow guys. I hope I get to draw more Dantes later for Blue Orgasm...sob. Life. So busybuddy."
"eventtime","2010-01-13 19:37:00"
"url","http://celectis.livejournal.com/27340.html"
"userid","2623"
"itemid","104"
"event","Since I'm going out to buy some x-mas cards tomorrow (sorry guys! I'd never finish a cg card in time XDDD) comment here with your name,address, and what you want drawn if you want one!~ It'll be store bought but I'll have a little message and drawing inside of it for you. T3T  The sooner you comment the better...haha. I'm not going to get tons of cards. XB

Comments are screened. ' 3 '"
"eventtime","2009-12-08 22:25:00"
"url","http://celectis.livejournal.com/26667.html"
"userid","2623"
"itemid","97"
"event","Hey guys! I got some stuff!
<img src=""http://i39.photobucket.com/albums/e186/Celectis/49d30e2bTFWmK4dC.png"">
<lj-cut text=""There is more here and...anyone..interested in a sketch commission? lol;;"">

<img src=""http://i39.photobucket.com/albums/e186/Celectis/49d43992MKEzfrd4.png"">
<img src=""http://i39.photobucket.com/albums/e186/Celectis/49d45a4dmQYZfwK7.png"">
<img src=""http://i39.photobucket.com/albums/e186/Celectis/49d5d793rzALQpW6.png"">
<img src=""http://i39.photobucket.com/albums/e186/Celectis/49d727abtad63PpF.png"">
<img src=""http://i39.photobucket.com/albums/e186/Celectis/49d7359bwcuUN6BG.png"">
Some drawr stuff! The suikoden art was from a thread started by <lj user=""fightfair"">. <a href=""http://drawr.net/show.php?id=471378"">YOU SHOULD JOIN TOO.</a>

<img src=""http://i39.photobucket.com/albums/e186/Celectis/lol.jpg"">
This is from an oc session with Endy and Neku. X333 It's kind of been awhile so be nice orz;

<img src=""http://i39.photobucket.com/albums/e186/Celectis/cainabelwtf.jpg"">
REALLY OLD OC1 ART. If you can't tell, they're Cain and Abel (badly drawn) from Starfighter haha.

<img src=""http://i39.photobucket.com/albums/e186/Celectis/fifipicturecopy.jpg"">
Something I did with a mouse at school while I waited for my maya crap to render. (It never rendered properly though!) It's Fifi and her apple she named in neku's honor lol.

<img src=""http://i39.photobucket.com/albums/e186/Celectis/feefturnaround.jpg"">
A Fifi turn around I did quickly...a few hours before class. I BAD GIRL. orz;;;

<img src=""http://i39.photobucket.com/albums/e186/Celectis/conceptsketches.jpg"">
And some more colored sketches...so um.
</lj-cut>
<b>If I offered color sketch commissions just like the one above for about <s>15</s>10 dollars, would any of you be interested? ;;;</b> Hahah.

EDIT// LOL I didn't say much through this post except bombard you with art! What's wrong with meeee. Anyway, hi, how are you guys? I've been kind of busy with school...making a senior animation, in 3d...it's really kind of dumb and embarrassing so I rather not go in detail beyond that....but I've been working on that and when not doing that, wasting my time on that drawr thread because suikoden was awesome and I wasted days during my break playing it. Kind of sad I dont have time to beat it now because ENDY WHO STARTED LATER THAN ME BEAT IT ALREADY...but i'll live. /sob. I kind of need the commission monies to make up for a bad purchase (LOL YOU DONT WANT TO KNOW BUT IT'S SUIKODEN RELATED) and for a DSi...*SHOT*...AND for other stuff. Yeahhh 15 dollars per commissi--..15 dollars?! Em *fixes* I meant 10 but wrote 15, I mean 10 dollars per drawing isn't going to get me anywhere fast, but I think it's a good punishment for being dumb. *shot again* So yeah...now you have a block of text. *sobs*"
"eventtime","2009-04-06 02:09:00"
"url","http://celectis.livejournal.com/25029.html"
"userid","2623"
"itemid","93"
"event","<lj-embed id=""10""/>

But after watching some sexy tango with Chuck and Captain Awesome....NAH."
"eventtime","2008-12-01 03:53:00"
"url","http://celectis.livejournal.com/24050.html"
"userid","2623"
"itemid","92"
"event","<lj-embed id=""8""/>

<lj-embed id=""9""/>

Oh and this too."
"eventtime","2008-11-16 22:16:00"
"url","http://celectis.livejournal.com/23765.html"
"userid","2623"
"itemid","89"
"event","ESCAPE FROM ARNOLD HALL IS FUTILE!"
"eventtime","2008-09-22 21:41:00"
"url","http://celectis.livejournal.com/22789.html"
"userid","2623"
"itemid","88"
