"names","values"
"itemid","9"
"event","Today I shall finally tell all how I am really doing right now.  For the past few days I have been feeling like utter crap.  Mostly I have been feeling extremly alone and cut off from people around me.  One reason I feel really cut off is that when me and a few friends wanted to start playing D&D again and try playing it once a week it fell apart faster then anything.  It wasn't just the chance to roleplay around with a character it was the chance to actually hang out with friends at least once a week not spend time alone thinking about how alone I am in this world right now. Mostly the reason it seems we can't play or hang out is the fact that we all work a lot. The other reason it seems is that they are addicted to <a href=""http://www.worldofwarcarft.com"">World of Warcraft</a> to the point they can be sucked away for hours on end.<br>
Secondly I also feel really blah is because I feel alone at heart.  For the last few years I have gotten the friends speech from most women I  asked to go out with, usally within the first week of asking them out =/.  I am hoping I will meet someone when I start going to classes at <a href=""http://www.PCC.edu"">PCC</a> but that might be a far cry from what will happen *sigh* I just don't want to be so alone anymore is that too much to ask for?"
"eventtime","2005-06-18 23:11:00"
"current_moodid","92"
"url","http://chibidrow.livejournal.com/2483.html"
"userid","2794"
"itemid","8"
"event","Well its been a long time again since I last updated my LJ.  So I shall tell as much as I can about what has been going on since the last time I updated.  Well As of today I started the Fermentation of the Mead that shall be ready by new years. (takes about six months to ferment).  That small thing out of the way.  I have been working a lot too at Fred Meyers.  This week being the first time I have had the min hours they can give me, and I am glad.  Gives me time to do things around the house and work on D&D campain world/<a href=""http://www.strange-omens.com"">Strange Omens</a> site layout. I have also Quit World of Warcraft and joined the ranks of Final Fantasy XI again, and from what I have heard Battlegrounds sucks on World of Warcraft.  Ya not much really to say about my life.  Its kinda boreing being me it seems....

ChibiDrow out"
"eventtime","2005-06-14 00:53:00"
"url","http://chibidrow.livejournal.com/2185.html"
"userid","2794"
"itemid","7"
"event","Well for those that have been wonding what I have been up to since I made my last post.  I have been working on a site design for a comic site me and my friend are going to be doing soon.  Already have the hosting plan setup at <a href=""http://dreamhost.com"">Dream Host</a>  Got in 3 days before they stopped there sale on space since right now all disk space and bandwidth has been trippled for your plan as long as you stay with them and pay for your account on time. :)  Prices stay the same on most of them some went down but all types of accounts get the tripple loving.  Also ontop of that getting one free domain with it.  For those wanting to see the site it will be put up at http://www.strange-omens.com  right now the site isn't fully setup on there.  Comics will be going up when ready.  I am not the one doing the art for the comic though.  That part is going to the main artist man Shawn.  His art is great.  Mine is bleh.  Thats about all I have been doing really... well and talking to Aislinn and playing World of Warcraft. ^^;"
"eventtime","2005-04-21 20:40:00"
"url","http://chibidrow.livejournal.com/1940.html"
"userid","2794"
"itemid","6"
