"names","values"
"itemid","12"
"event","With any luck, this will be my last ever entry about Nicole. I'd like to cut that whole world entirely out of my life. But I have to get this off my chest.

I feel misused. Or maybe not entirely misused, but definitely misled towards a less than wonderful end. Apparently Nicole and I are NOT going out, and apparently we never were. A great man once said, if something had already been said best, don't try to do better, just use what you have. So, I'm not going to describe the whole thing. I'll just copy and paste.

Nicole: lol then we can hang out 
SearedLuminosity: now I'm not one to push my luck, but what do you say I ask you out for another date?
Nicole: lol ..... just outta curiosity(sp)  what is your definition of date?
SearedLuminosity: two people getting together to enjoy each others company. Not necessarily boyfriend and girlfriend, but possibly more than just friends?
Nicole: umm yea well
Nicole: idk 
SearedLuminosity: well, anything you're willing to say on the matter I'd be willing to hear
Nicole: h/o
SearedLuminosity: sure thing
Nicole: hey sorry
Nicole: k
SearedLuminosity: k
SearedLuminosity: we don't have to talk about it now if you don't want to
Nicole: I didnt really realize what the difference between a date and just hanging out was... but  then it started to sound like I agreed to go out with you which was cleared up .... but by your definition it sounds like if I say yes to a date it will eventually turn in to .... for lack of better word ....dating...and I'm not promising ne thing nor do I want to lead a person on
SearedLuminosity: ok
Nicole: lol
Nicole: I""m not done yet
SearedLuminosity: i understand
SearedLuminosity: oh, all right
SearedLuminosity: I'll wait
Nicole: I dont mind the occational date like if we were to hang out with a bunch of couples ex. karens parties..... or if we were to go to the movies with a bunch of couples but other wise idk
SearedLuminosity: ok
SearedLuminosity: I guess I was just hoping that what you said last year ""I won't be ready to date for a while, but maybe sometime"" was what was going on. And I didn't really think there were other definitions of the word date, so you can understand the mix up.
Nicole: ok 
SearedLuminosity: can I ask something?
Nicole: sure
SearedLuminosity: do you think you'll ever have feelings for me? like, do I have anything to offer you that you would want in a boyfriend?
SearedLuminosity: or is it pretty much completely out of the question?
SearedLuminosity: don't worry about sparing me or anything. Just tell me the truth
Nicole: idk and I'm actually going through that same thing w/ someone else..... your a nice guy and u treat me wonderful but idk
SearedLuminosity: all right, I guess I can take that
SearedLuminosity: well, I'm tired
SearedLuminosity: ttyl
Nicole: ok bye bye
Session Close

She's tried to IM me twice, and yes, I have ignored her both times. I don't know what I'd say. But here, in my journal, I know what to say. She said she didn't want to lead me on. But the more I think about it, the more I feel led on. I could understand, possibly, letting me hold her hand, letting me hold her close during a movie, even getting under a blanket together and holding close while watching a movie alone together, IF THERE WAS ONLY FRIENDSHIP BETWEEN US. But she knows how I feel. I've made it way more than clear on many occasions how I feel about her and what I want between us. And doing those things and letting those things happen is a bad way not to lead somebody on. And even if I'm over exagerating the events that took place as far as importance goes, the plain and simple fact that she accepted to go on a date with me is terrible. Somebody said to me ""Well yeah, there are definitely different meanings of the word date. But still, no one should accept to go on a date, even a friedly one, with a person they have no intention of ever dating. It just isn't right."" And finally, I don't think she could have misconstrued what I had interpreted the situation as. I asked her if I could take her on a date, and she said yes. I was surprised and made it more than clear how jubilent and excited I was that she had accepted. I don't think it was confusable as to what I thought ""date"" meant, and if she had no intention of letting it turn into that and she didn't want me to think what I did, she should have told me then and there. Just in my opinion.

A final note about the whole charade is actually about Amanda G. The following is an excerpt from a conversation I had with her after Nicole said yes.

Fae In Hiding: ??
SearedLuminosity: I...
SearedLuminosity: asked nicole out again
Fae In Hiding: does it have to do wit
Fae In Hiding: nvm
Fae In Hiding: ok
Fae In Hiding: yea
Fae In Hiding: n she said yes
SearedLuminosity: yeah, I guess she did
Fae In Hiding: see i read ure lj just now
Fae In Hiding: and then i saw her comment n was like omg
Fae In Hiding: cuz im smart like that
SearedLuminosity: lol
Fae In Hiding: so, u r happy right
SearedLuminosity: I guess that's what I should be, right?
Fae In Hiding: yes but i can understand ure confusion n such
Fae In Hiding: would u b mad if i sadi i knew she would say yes
SearedLuminosity: there's a chance
Fae In Hiding: uh ok then i didnt
SearedLuminosity: I would still want to know though
Fae In Hiding: oh
Fae In Hiding: well awhile ago like during break maybe
Fae In Hiding: i dont totally remember when
Fae In Hiding: it was either thanksgiving yea i think it was
Fae In Hiding: she said she liked u n wanted u to ask her again
Fae In Hiding: n i think i tried to tell u w/o actually telling u cuz she asked me not to actually tell u
SearedLuminosity: did she say anything about why she changed her mind?
Fae In Hiding: umm
Fae In Hiding: possibly?
Fae In Hiding: i dont remember
Fae In Hiding: i was all OMG

So... there we have it. What in the hell do I make of that? Is amanda a liar? Is Nicole a liar? Are games being played with me by one party or another? Who do I trust, who do I apologize to, who do I go on avoiding for the rest of my natural life? That's why this whole charade is over. That's why I can't keep talking to Nicole. I will lose my mind, my heart and my soul if I keep putting so much of me into something that I will never have, now matter how hard I try and no matter how close I seem to get.

So, if these are my last words to you, let me make them breif and straigh forward. I'm sorry for messing up and wasting so much of your life Nicole. I'm sorry I just don't have what you want. I'm sorry I'll never be able to be the guy for you. But what I'm not sorry for is this last pathetic attempt at our friendship/what ever the fuck you want to call it. I'm not sorry because just like that last day in the hallway and every other day before, I cared for you. I cared what happened to you, who was hurting you, what I could do to make things right again. I wanted to be a bright light in your life. But I feel led on. I feel like you let me burn brightly and have real hope that something good was finally coming of all the pain I'd gone through to be with you, and then you just extinguished me. In simplest words, I FEEL LED ON, no matter what your true intentions were. I'll never be able to be your friend, because that's never where I'll want to be. I won't ever understand your taste in men, and I won't ever be able to sit on the sidelines again while you have a relationship with some other guy. I can't do that anymore. I'm sorry that it has to end this way, but it has to end. Every day knowing how I felt about you but realizing it would never work was another day of my life wasted in agony and self-doubt during high school, and I can't put myself through that any longer. I'm sorry I can't be a better person, but even if I was, it probably wouldn't be right for you anyway, would it?
Good-bye."
"eventtime","2005-03-12 01:48:00"
"url","http://chrisriven.livejournal.com/3268.html"
"userid","2868"
"itemid","10"
"event","Quite a while since that day. Since the day in the hallway, since she looked at me, confused, and said she had to think about it. Quite a while since that day she came into the cafeteria and told me no, we could only be friends, she wanted to go to the prom alone, and I walked out on her. God that hurt. It probably hurt her too, that I just walked away like that. But at the time, I could hardly give a damn. That fucking hurt me. I don't know and can't know and probably never will know what it felt like to her, but I have a pretty vivid memory of what it felt like to me. Quite a while since those days. Quite a while since we stopped talking all together.

Only a couple of weeks since we started going out though.

Holy God Damn Freaking Shit Crap. I'm messed up in the fucking membrane over this freaking nonsense. A few months after school started, we started speaking again, her and I, through AIM. It was a big step though. We started joking around again, being friendly, talking about new things, current events, forgetting the past. Out of sight, out of mind, right? We spoke for a few months, and then we agreed to do something over christmas break. First thing to note: I told her I missed her. She said she missed me too. However, I still said it first. And almost as a reflex. I honestly don't even think I considered whether or not I ACTUALLY missed her. So we got together over christmas break, went to see ""spanglish"" in the danbury theater. At some point during the movie, I acted like my same old idiotic self, and I stretched my hand forward and brushed it against hers. Now, I knew exactly what I was doing and what I wanted to come of it, but of course I made out like I had just been stretched. After I had brushed my hand against hers, I turned my eyes to her and gave one of those ""whoops"" looks. She just smiled though, so I smiled back, and then I took her hand in mine. We watched the rest of the movie like that, hand in hand. I dropped her off at her home later that evening, and walked her to her door, as I have done so many countless times before. We had our kicks and giggles, told eachother how much we had enjoyed the movie, said our goodbyes, and then hugged. But it wasn't uncomfortable or fake like I'd anticipated. It was just like all the hugs we'd had before those days, before our falling out. It was nice.

So, then we get to a few weeks ago. Speaking on AIM, which had become much more frequent recently, we spoke of doing something the next time I would be back in town. It so happens I have a weeklong break from school coming up, which I told her about. Back in High School, it had become very common place for me to make uncomfortable jokes about her liking me, or asking her out on hypothetical dates. I'm sure there's some pychological explanation for it, some need for validation of my worth. Yet I digress. So we were speaking, and she said it would be nice to do something over break. So, in my usual idiotic way, I said, ""mind if we consider it a date?"" And she said, ""sure.""
I had a major doubletake at this and said something like ""Whoa, wait, hold up. What did you say?"" She laughed a little and said yes again.

Amanda G told me a day or two after that she knew Nicole had changed her mind. Something to the effect of ""Would you be mad if I told you I knew she'd say yes? She's been telling me for about a month that she liked you now and wanted you to ask her out again.""

So, now we're together. For all intents and purposes, at least.

Here's where I start having issues.
1. I don't know how I feel about her changing her mind like that. I got crushed last year. It hurt. I know it did. Because it happened to me. And I'm me. So I know what it was like. Etc. You get the point. So now, she wants me. I think the nagging thing that's getting to me is mostly that I can't tell why she would change her mind. Is she realizing that people have left carmel, maybe her friends aren't as loyal as she once thought they were? Is she reconsidering how I felt about her and how she felt about me back in those days? Is she thinking maybe I really did care about her, and Steve didn't, and not a lot of people do now? And if so, is it for me to go back and be the rock to steady her in turbulance. I don't mean to make that sound as bad as it probably sounds. I don't mean to make this into a vengeance thing: ""She wouldn't have me when I wanted her, so I won't have her when she wants me."" That's not it, I don't think. Damn I hope not.
2. Do I still harbour the feelings for her that I know I felt back then? Is it going to be now what I was hoping for it to be like back then? Is there anyway I'll be able to get close to her without reoccuring memories of the way we ended back then?
3. Can I even handle a relationship right now? Especially something as potentially serious as this? ESPECIALLY a long distance relationship; with her. Until this happened, I felt like I had at least a few things in order. Still several things in my life to work out, but I was on my way. And now things feel disheveled. This has been the only thing on my mind for two weeks. And it's driving me crazy.
4. Considering how much I'm thinking about it and writing about it and worrying over it, is there even a chance for it to work out in the end.
5. Is there any easy way out at this point? It doesn't seem so to me.

I'll probably come back and write more soon. I don't think I'm done freaking out about this yet."
"eventtime","2005-02-06 15:17:00"
"url","http://chrisriven.livejournal.com/2781.html"
"userid","2868"
"itemid","9"
