"names","values"
"itemid","6"
"event","Sorry i haven't written in a few days...its been hectic:

- Gots me a DVD burner, been tryin to catch up on some movies i've wanted. I'm literally going to save myself hundreds of dollars (no..not on car insurance by switching to Geiko)

- Been working a whole lot..gotta make that $$ man

- Turned 22 sometime this past week. Whoo-hoo lol. The way i see it, its all downhill from twenty-one.

- Saw my girlfriend a whole lot, and thats what really makes me happy. My life is simply dealing with the fact that i cannot see her all the time, but its literally waiting, knowing that anything that's been going wrong when she wasn't around will all of a sudden DISAPPEAR when we get to spend that next day/hour/minute/phone call/early morning text message together. Anything, just together.

Just studied for my vocab quiz tomorrow...i think i should do alright. It is amazing to me how much easier it is to remember things i find even remotely interesting as opposed to boring ass shit. Go figure

i love you mary clare.




pHiLLy, out."
"eventtime","2005-01-20 02:08:00"
"current_moodid","131"
"url","http://civicjss.livejournal.com/1580.html"
"userid","2937"
"itemid","5"
"event","SSd2ZSB0b3RhbGx5IGZpZ3VyZWQgb3V0IGhvdyB0byBzcGVlZCB1cCB0aW1lLg0KSSB0aGluayBhYm91dCB3aGVuIGknbGwgYmUgc2VlaW5nIHlvdSBhZ2Fpbi4NCk5vdyBpZiBpIGNvdWxkIG9ubHkgbWFzdGVyIGhvdyB0byBzbG93IGl0IGRvd24gd2hlbiB3ZSdyZSB0b2dldGhlci4uLg0KDQoNCg0KDQpIZXJlcyBteSBwYXBlci4uLmxlbW1lIGtub3cgd2hhdCB5b3UgdGhpbms6DQoNCglJdCBpcyBhbiBvbmdvaW5nIHNpdHVhdGlvbiByZXNlbWJsaW5nIHRoYXQgb2YgYSBEYXZpZCB2ZXJzdXMgR29saWF0aCB0YWxlLCBob3dldmVyIHRoaXMgc3RvcnkgaXMgYmFzZWQgb24gY3VycmVudCBkYXkgaGFwcGVuaW5ncywgbWFueSBvZiB0aG9zZSByaWdodCBpbiBvdXIgb3duIGJhY2t5YXJkcy4gQSBzZXJpb3VzIGRlY2xpbmUgb2YgdGhlIGFydHMgKG11c2ljLCBwYWludGluZywgY3JlYXRpdmUgd3JpdGluZywgZXRjLikgaGFzIGJlZW4gdGhlIHByb2dub3NpcyBmb3IgdG9kYXnigJlzIHNvY2lldHkuICBUaGVzZSBhcnRzIGRlcml2ZSBmcm9tIHBlb3BsZS4gIE5vdCBvbmx5IGFyZSB0aGV5IGEgcHJvZHVjdCBvZiB0aGVzZSBpbmRpdmlkdWFscywgdGhleSByZXByZXNlbnQgYW4gZW1vdGlvbiBvciBzZXR0aW5nIG9yIHN0b3J5IGluIHRoYXQgd2UgY2FuIG9ubHkgdW5kZXJzdGFuZCB0aG9yb3VnaCBleHBlcmllbmNpbmcgdGhlaXIgd29ya3MuICBVbmZvcnR1bmF0ZWx5IGNvbW1lcmNpYWxpc20sIHdoaWNoIGhhcyBpdHMgYnJpZ2h0IHBvaW50cywgaXMgdmVyeSByYXBpZGx5IG1ha2luZyBhcnQgYSBidXNpbmVzcyByYXRoZXIgdGhhbiBhbiBleHBlcmllbmNlLg0KCUJpZyBidXNpbmVzcyBpcyBub3QgY29tcGxldGVseSB0byBibGFtZS4gQXMgdGhlIGNoYXB0ZXIgc3RhdGVzLCDigJx0aGUgZGVtYW5kIGJ5IHN0dWRlbnRzIChzY2hvbGFycynigJ0gZm9yIGEgaHVtYW5pdGllcyBkZWdyZWUgaGFzIGZhbGxlbiBzaWduaWZpY2FudGx5LiAgSXQgaXMgdHJ1ZSB0aGF0IG1vc3QgYXJlIGRyaXZlbiB3aXRoIHRoZSBob3BlcyBvZiBzdWNjZXNzIGFuZCBwcm9zcGVyaXR5LCByYXRoZXIgdGhhbiB0byBkZXZvdGUgb25lcyBsaWZlIHRvIHNwcmVhZGluZyBuZXcgbGl0ZXJhdHVyZSwgYXJ0LCBhbmQgbXVzaWMuIEkgY2FuIHNwZWFrIGFzIGEgY29tbXVuaWNhdGlvbnMgc3R1ZGVudCB0aGF0IGl0IGlzIG15IGdvYWwgdG8gZmluZCB0aGF0IOKAmGhhcHB5IG1lZGl1beKAmSB3aGVyZSBsaWZlIGFjaGlldmVtZW50IGFuZCBvdmVyYWxsIGhhcHBpbmVzcyBtZWV0Lg0KCVRoZSB0ZXh0IG1ha2VzIGEgcml2ZXRpbmcgcG9pbnQgYnkgdHVybmluZyB0aGUgdGFibGVzIGFuZCBtYWtpbmcgbWUgYXMgdGhlIHJlYWRlciByZWFsaXplIGhvdyBhY2Nlc3NpYmxlIHRoZSBhcnRzIGhhdmUgbm93IGJlY29tZS4gIEluIHBhc3QgZ2VuZXJhdGlvbnMsIHRoZSBhcnQgc2VlbWVkIHRvIGZsb3cgaW50byBsaWZlIGFzIGlmIGl0IHdlcmUgdGhlIGluayBmcm9tIHdvcmxkbHkgcGVuLiAgVGhlcmUgd2VyZSBncm91cHMgb2YgbXVzaWNpYW5zLCB3cml0ZXJzLCBhbmQgYXJ0aXN0cyBhbGlrZSB0aGF0IHNlZW1lZCB0byBwcm92aWRlIHRoZSB3b3JsZCB3aXRoIGFsbCBuZWNlc3NhcnkgY3VsdHVyZS4gIEJ1dCB3aGF0IGFib3V0IHRoYXQgY2hpbGQgd2hvLCBpbiB0b2RheeKAmXMgdGVjaG5vbG9naWNhbCBlcmEsIGNhbiBhY2Nlc3MgYW55IHBpZWNlIG9mIG11c2ljIG9yIGFydCBhdCB0aGUgY2xpY2sgb2YgYSBmZXcgc2ltcGxlIGJ1dHRvbnMuICBUaGUgaW50ZXJuZXQgYW5kIGFsbCBpdOKAmXMgbmV0d29yay1wb3dlcmVkIGdsb3J5IGhhcyBlbmFibGVkIGV2ZXJ5IG1hbiwgd29tYW4sIGFuZCBjaGlsZCB0byBleHBlcmllbmNlIGFydCBpbiBhbGwgaXRzIHJpY2ggZm9ybXMgZnJvbSB0aGVpciBvd24gaG9tZXMuICBZZXQsIHdlIGNvbnRpbnVlIHRvIGNvbXBsYWluIHRoYXQgYXJ0IHByb2R1Y3Rpb24gYW5kIGZyZWUgZXhwcmVzc2lvbiBvZiBpZGVhcyBoYXMgbmVhcmx5IGNvbWUgdG8gYSBoYWx0Lg0KCUFsbW9zdCBhbnkgcGVyc29uIGNhbiByZWFsaXplIHRoYXQgYXJ0IGlzIGEgcHJvZHVjdCBhZG1pcmVkIG1vcmUgZnJvbSB0aGUgb3V0c2lkZS4gIEJ5IHRoYXQsIEkgbWVhbiB0aGF0IHNvbWV0aGluZyB0aGF0IGlzIHByb2R1Y2VkIG91dHNpZGUgb2YgeW91ciBub3JtYWwgY2lyY2xlIChpbiB0aGlzIGNhc2UgZXhhbXBsZXMgZnJvbSBvdGhlciBnZW5lcmF0aW9ucykgaXMgcmV3YXJkZWQgd2l0aCBtb3JlIGF0dGVudGlvbiB0aGFuIHNvbWV0aGluZyB0aGF0IGlzIGV4cGVyaW1lbnRhbCBvciBldmVuIOKAmGN1cnJlbnTigJkuICBJdCBpcyBiZXN0IHNhaWQgYnkgZWNvbm9taXN0IFR5bGVyIENvd2FuLCDigJxJdCBpcyBoYXJkIHRvIHJlY29nbml6ZSBuYXNjZW50IGFydCBmb3JtcyB3aGVuIHRoZXkgYXJlIG9uIHRoZSByaXNlLCBhbmQgYnkgdGhlIHRpbWUgdGhleSBhcmUgYXBwcmVjaWF0ZWQgdGhlaXIgYmVzdCBkYXlzIGFyZSBiZWhpbmQgdGhlbS7igJ0gDQoNCg0KcEhpTEx5LCBvdXQu"
"eventtime","2005-01-12 03:40:00"
"current_moodid","31"
