"names","values"
"itemid","144"
"event","Okay, I've changed journals.  But my original journal (this one) shall still be here, like a monolith of... space wasting.  My new journal's name is cheshire_jew (thanks, Sydni)."
"eventtime","2005-10-07 21:52:00"
"current_moodid","60"
"url","http://commie-pirate.livejournal.com/37019.html"
"userid","3062"
"itemid","143"
"event","<table border='0' cellpadding='5' cellspacing='0' width='600'><tr><td><img src='http://images.quizfarm.com/1127582750sqoperative.jpg'></td><td> You scored as <b>The Operative</b>. You are dedicated to your job and very good at what you do.  You've done some very bad things, but they had to be done.  You don't expect to go to heaven, but that is a sacrifice you've made for a better future for all.<br><br><table border='0' width='300' cellspacing='0' cellpadding='0'><tr><td><p><font face='Arial' size='1'>The Operative</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='69' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>69%</font></td></tr><tr><td><p><font face='Arial' size='1'>Zoe Alleyne Washburne</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='63' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>63%</font></td></tr><tr><td><p><font face='Arial' size='1'>Simon Tam</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='56' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>56%</font></td></tr><tr><td><p><font face='Arial' size='1'>River Tam</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='50' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>50%</font></td></tr><tr><td><p><font face='Arial' size='1'>Inara Serra</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='44' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>44%</font></td></tr><tr><td><p><font face='Arial' size='1'>Kaylee Frye</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='38' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>38%</font></td></tr><tr><td><p><font face='Arial' size='1'>Jayne Cobb</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='38' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>38%</font></td></tr><tr><td><p><font face='Arial' size='1'>Shepherd Derrial Book</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='31' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>31%</font></td></tr><tr><td><p><font face='Arial' size='1'>Capt. Mal Reynolds</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='31' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>31%</font></td></tr><tr><td><p><font face='Arial' size='1'>Hoban &#039;Wash&#039; Washburne</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='19' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>19%</font></td></tr></td></tr></table><br><a href='http://quizfarm.com/test.php?q_id=79387'>Which Serenity character are you?</a><br><font face='Arial' size='1'>created with <a href='http://quizfarm.com'>QuizFarm.com</a></font></table>"
"eventtime","2005-10-07 11:33:00"
"current_moodid","26"
"url","http://commie-pirate.livejournal.com/36848.html"
"userid","3062"
"itemid","142"
"event","Marvel Nemesis: Rise of the Imperfects is fucking awesome.  AWESOME!!!  Awesome..."
"eventtime","2005-10-04 18:52:00"
"current_moodid","13"
"url","http://commie-pirate.livejournal.com/36517.html"
"userid","3062"
"itemid","141"
"event","I saw Serenity.

It was AWESOME!!!

Everyone really needs to see it, even if you haven't seen the television series.  It's almost just as good as a standalone movie dealy."
"eventtime","2005-09-30 22:26:00"
"current_moodid","26"
"url","http://commie-pirate.livejournal.com/36149.html"
"userid","3062"
"itemid","140"
