"names","values"
"itemid","148"
"event","Don't hate me.
I got a new Livejournal.
This is my 3rd ever since junior high.

Obnoxious? Maybe. However..
I feel like I'm on the road to making a new life for myself, with a whole new outlook and a whole new attitude. I'm leaving everything behind except my heart and the good memories. Goodbye old world. Goodbye old me.

<lj user=""seoule"">
ADD ME please?

xM."
"eventtime","2008-05-19 15:40:00"
"url","http://comprise.livejournal.com/38119.html"
"userid","3067"
"itemid","2"
"event","<BR><BR><center><font size=6>FRIENDS ONLY</font><br><BR><a href=""http://comprise.livejournal.com/541.html?mode=reply"">comment to be added.</a><BR>
[how do i know you?]</center>"
"eventtime","2007-01-15 23:44:00"
"url","http://comprise.livejournal.com/541.html"
"userid","3067"
