"names","values"
"itemid","37"
"event","<table border=1 bordercolor=black cellspacing=0 width=250px><tr><td align=center bgcolor=black><font style='font-family: Arial; font-size: 14pt; color: red;'>~cool kisschick~<BR>Look out for the </font></td></tr><tr><Td align=center bgcolor='#FF0000'><font style='font-family: webdings; font-size: 64pt; color: black;'>m</font><BR><font style='font-family: Arial; font-size: 32pt; color: black;'>HOLE</font></td></tr></table><BR><form method=""POST"" action=""http://www.go-quiz.com/warning-label/warning-label.php"">Username:<input name=""uname""><input type=submit value=""Get your warning label""><BR>
</form>From <a href=""http://www.go-quiz.com"">Go-Quiz.com</a>"
"eventtime","2006-01-28 13:03:00"
"current_moodid","52"
"url","http://cool-kisschick.livejournal.com/9501.html"
"userid","3105"
"itemid","35"
"event","<table><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/0783225717.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/0783229445.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/6302526728.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/6305668698.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000022TSW.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000031EFY.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00004CW8Q.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000056PMV.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005JH9J.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005JH9K.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005JLBW.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005ML6Y.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005RDSY.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005UQZ1.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000068MBW.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00006FI31.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00006HAXV.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B0000ARSSI.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B0002PYSUQ.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B0006A9TBK.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B0006HBZEW.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000765HTQ.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B0002MB7QW.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005JMYF.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00003CXJ4.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005NKSH.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005JM02.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000068TOX.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00029RTB2.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005BIU6.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00004YNIU.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005BIU7.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00009W5F2.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000063JDH.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B0007YXREA.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/6304843259.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000BT970Y.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005LKHW.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00005RHFE.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B0000DCGT3.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000BKJ75I.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00004TJMW.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000BBOUCC.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B0007UM8WG.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00000K19E.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B0002VEWA6.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000AY74OG.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B00008IASL.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/B000022TT0.01.THUMBZZZ.jpg"" border=""0""></a></td><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/6305388458.01.THUMBZZZ.jpg"" border=""0""></a></td><tr><td align=""center"" valign=""middle""><a href=""http://www.hotfreelayouts.com/movies.php?vid=8296995""><img src=""http://images.amazon.com/images/P/6305077584.01.THUMBZZZ.jpg"" border=""0""></a></td></tr></table><a href=""http://www.hotfreelayouts.com/movies.php"">Create your own Movie List @ HotFreeLayouts!</a>"
"eventtime","2006-01-27 04:55:00"
"current_moodid","106"
"url","http://cool-kisschick.livejournal.com/8971.html"
"userid","3105"
"itemid","33"
"event","<h1>LJ Interests meme results</h1>
<ol>
<li><b> channel v</b>:<br>Kick Ass channel on foxtel ... Andrew G is cute and is a local boy!</li><li><b> drums</b>:<br>drums cuz of andy</li><li><b> epilepsy</b>:<br>I have it so why not</li><li><b> fat pizza</b>:<br>funny ass show on sbs</li><li><b> internet</b>:<br>why not</li><li><b> kiss</b>:<br>the best band in the world and i think gene simmons is a freakin god while Andy thinks the whole idea of kiss is stupid and they should've died years ago</li><li><b> led zepplin</b>:<br>not a bad band ... a few songs r ok</li><li><b> matthew johns</b>:<br>watch the NRL footy show and need i say anymore and the reg reagan dvd's</li><li><b> music</b>:<br>duh</li><li><b> nrl footy show</b>:<br>it rocks</li>
</ol>
<p>Enter your LJ user name, and 10 interests will be selected from your  interest list.</p>
<form method=""post"" action=""http://www.memento-mori.ca/cgi-bin/lj-int-quiz.pl"" enctype=""application/x-www-form-urlencoded"">
<p><input name=""user"" size=""20"" maxlength=""40"" type=""text""> <input name=""submit"" value=""submit"" type=""submit""></p><input name=""mode"" value=""intlist"" type=""hidden""></form>"
"eventtime","2005-11-01 06:38:00"
"current_moodid","15"
"url","http://cool-kisschick.livejournal.com/8596.html"
"userid","3105"
"itemid","32"
"event","<img src=""http://images.quizilla.com/J/Jai16/1099783764_icsdreams2.jpg"" border=""0"" alt=""Dreams""><br>J:<p align=""center"">Your Beauty lies
in Dreams. Day-dreamer, creative and forever lost<br>in thoughts. You're a
dreamer, wanting more in your life than you have<br>now. Though you a lot of your
dreams never seem to leave your own mind. You've<br>created your own little world
inside that head of yours and you're most beautiful<br>when your mind is in
the clouds with sparkles in your eyes. You'd rather<br>be asleep than awake and
people find it hard to have long conversations with<br>you as you mind often
wanders and you aren't a big fan of reality. You<br>are long and almost child-like
probably with a great love for Fantasy or Science<br>Fiction. You're very creative
and most likely love to write wonderful stories or<br>draw and even sing, anything
creative that you can use that vast imagination of<br>yours. You're a bit of a
puzzle to people love to wonder as to what is going<br>in your mind.</p>

<p align=""center""><b>Some Things
That Represent You:</b></p>

<p align=""center""><b>Element:</b>
Water, Wind <b>Animal:</b> Eagle <b>Color:</b><br>Purples, Blues,
Pinks, Misty Colors <b>Song:</b> Imaginary by<br>Evanescence <b>Expression:</b> Blank Stare</p>

<p align=""center""><b>Gemstone:</b>
Rose Quartz <b>Mythological Creature:</b> Unicorn,<br>Fairy <b>Planet:</b> Saturn <b>Hair Color:</b><br>Strawberry
Blonde <b>Eye Color:</b> Violet</p>

<p align=""center""><b>Quote:</b>
""I lie inside myself for hours and watch my<br>purple skies fly over me.""</p>
<br><br><a href=""http://quizilla.com/users/Jai16/quizzes/Where%20Does%20Your%20Beauty%20Lie%3F%20..%3A%3AOriginal%20Pictures%20Are%20Back!%20Detailed%20Results%3A%3A../""> <font size=""-1"">Where Does Your Beauty Lie? ..::Original Pictures Are Back! Detailed Results::..</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2005-04-12 00:58:00"
"current_moodid","101"
"url","http://cool-kisschick.livejournal.com/8213.html"
"userid","3105"
"itemid","31"
"event","<p><table width=""300"" border=""1"" align=""center"" cellpadding=""0"" cellspacing=""0"" bordercolor=""#000000"" bgcolor=""#000000"">            <tr><td width=""359"" bgcolor=""#CCCCCC""><a href=""http://www.kylereilly.com/tests/lj/"" target=""_blank""><img src=""http://kylereilly.com/tests/lj/lj_top.jpg"" width=""300"" height=""100"" border=""0""></a><br><table width=""298"" height=""101"" border=""0"" cellpadding=""0"" cellspacing=""0""><tr><td width=""112"" bgcolor=""#000000""><img src=""http://kylereilly.com/tests/lj/goat.gif"" width=""110"" height=""101""></td><td width=""186"" bgcolor=""#000000""><table width=""98%"" height=""98%"" border=""0"" cellpadding=""0"" cellspacing=""0""><tr><td><div align=""center""><font color=""#FF0000"" size=""+1"">I 
                                    am <font size=""+2""><strong>24.2%</strong></font></font></div></td>                           </tr><tr><td><div align=""center""><strong><font color=""#00FF00"">LJ 
                                    ADDICT!</font></strong></div></td></tr><tr><td><div align=""center""><font color=""#CC99FF""><strong>Can 
                                    You Beat Me? </strong></font></div></td></tr></table><div align=""center""><font color=""#CC99FF""></font></div></td></tr></table><div align=""center""> <a href=""http://www.kylereilly.com/tests/lj/results/?id=7020492"" target=""_blank"">View 
                        Info In Detail</a><strong><br><a href=""http://www.kylereilly.com/tests/lj/"" target=""_blank"">Take the 
                        LJ Addict Quiz Today</a></strong><br><font size=""-1"">After All, <a href=""http://www.livejournal.com/userinfo.bml?user=cool_kisschick""><img src=""http://www.kylereilly.com/tests/lj/userinfo.gif"" border=""0""></a><a href=""http://www.livejournal.com/users/cool_kisschick"">cool_kisschick</a> did.</font></div></td></tr></table><p></p>"
"eventtime","2005-04-12 00:47:00"
"current_moodid","101"
"url","http://cool-kisschick.livejournal.com/7986.html"
"userid","3105"
"itemid","30"
