"names","values"
"itemid","75"
"event","okk well its really early and i have noo clue why im up... so ill update


thursday i went to the city with my mom my brother joe annella and his mom. we walked around for a while trying to find tickets to a show and then we endede up seeing RENT again. mike and joe were like ow ow when the girls ass was showing i was like omg i dont no them. soo then at inter mission we thought the guys were just going out to smoke... well it turns out that they went into the bar next door. marie was soooo pissed. but they were drinking with the guy that plays angel in the play after he/she died. i was like lucky. so idk my brother was in a good mood and decided to buy me a signed playbill a signed poster and a picture with the guys that play mark and roger. ok well when we were walking back to the train my brother and joe were singing and rapping in the middle of the street. i was like ahhhhhh!!!! ok so we didnt get back to whiteplains till like 12:30 so then i came home and went to bed. 

friday i hung out with erin!!! ahh i hadnt seen her in like forever!!! we were gunna go out but then we were driving past blockbuster and we decided to have a movie night!!! we rented wimbolton, napolian dynomite and lader 49. when we got home and were ready to watch wimbolton... the wrong movie was in the case. so we were bummed. o well we watched napolian dynomite... gosh haha i <33 that movie... then we didnt wanna watch ladder 49. 

saturday i went to long island to rossavelt feild mall. i was spost to meet shanna there but she couldnt go. instead i spent the whole day shopping with my mom. the best thing about it was that she bought me everything that i wanted. sry i no that sounds spoiled. we spent like 2 hours in hollister. i bought like the whole store. i bought like 10 lacoste shirts, 5 juicy outfits. wow 6 pairs of sneakers and 7 pairs of flip flops. the funny thing is that when we were leaving my mom says well come back here for camp shopping and if you want more spring stuff. i was wow i lovee you!!! well i got home and decided to go on the hollister web site and i got 2 more pairs of flip flops 1 more pair of jeans and 5 more shirts. then i was talking to amanda and we bought bought stuff at urban outfitters. wow i did some major shopping. it was fun.


well today im going to my grandmas house in nj. it should be ok. i dont no how long i cant stand my cousin. all she does is talk. o well.... ill update tommorow prob"
"eventtime","2005-03-20 09:21:00"
"url","http://craziibabe18425.livejournal.com/19269.html"
"userid","3221"
"itemid","74"
"event","well i couldnt sleep so i decided to take the thing from jamies LJ!!! 


01] Reply with your name and I will write something about you.

[02] I will then tell what song[s] remind me of you.

[03] Next, I will tell you who you remind me of, celebrity/animated or otherwise.

[04] Last, I will try to name a single word that best describes you.

[05] Put this in your journal if you want to."
"eventtime","2005-03-15 01:22:00"
"url","http://craziibabe18425.livejournal.com/19019.html"
"userid","3221"
"itemid","73"
