"names","values"
"itemid","87"
"event","Ok so its been a reaaaaaaaaaally long time since i wrote in here. But with the new job and all I have been busy. I like it tho, its fun... I get along with my coworkers and most are around my age so it easy to talk to them. I guess cause Im on a computer all day that when i get home i dont want to type anymore lol. Cause right now my fingers are tired, and not liking this haha. But My bday is well....in like 20 mins it will be a day away (its 11:42) so that exciting, although i dont feel as excited as i should.&nbsp; Im going to be 21 soon, but yea the excitement has just gone away. Especially after so many of my friends already turning 21, and yea, its just all feels lame to me.&nbsp; I have to work on my birthday which sucks, but i had to do it last year too cause i went outta town the week after. But since i just started this job i couldnt ask for the day off, and im not gonna just call in cause i need the money. But i have thursday and friday off so I will hopefully try to go out those nights. My mother has been a real bitch about me using the car for anything BUT going to work. So i dunno whats going to happen. I wish i knew someone who had a car for sale, a reliable one. It would be so much easier then going to a dealership.

So my plans are as follows.....Monday night after work Im gonna meet up with a few friends...maybe, tuesday morning i have to go to the stupid DMV to renew my license, then to work and then maybe getting together with whoever can make it. Thursday Im off so prolly sleep most of the day and then like 8 or 9pm going to Margaritaville for some dinner, or appetizers or something and a little drinking, maybe dancing who knows, and then whatever after that depending on who is there and how late they can stay out. (Tabby you and Brian are still invited to come if you can make it. I had to pick Thursday tho cause I work Saturday nights, and a few others have Thursdays off as well (like diana and amber) so...just let me know) Then Friday umm...i dunno, but i want to go out just not to late cause i gotta work Saturday :(...and its pay day!!! :D so thats always good.

I guess thats it for now.&nbsp; Im not sure how many people are gonna be there Thursday, its looking like not too many and that sucks, but because of school and work schedules blah!"
"eventtime","2007-08-26 23:40:00"
"current_moodid","92"
"url","http://cuddleluvr.livejournal.com/22300.html"
"userid","3342"
"itemid","86"
"event","Wow, it has been awhile hasnt it? I guess there are reasons for that. Today was...well not good, i dropped my phone in the little pool we got for Cocoa, now it doesnt work. Tomorrow i have to go to the sprint storeand waste prolly about an hour there just for them to tell me they cant do anything about it. Might have to buy a new one which they will prolly screw me over with.

Before I go to get my phone looked at tho Im going up to Centennial Toyota with my mom to look at getting a car. I hope hope hope they have what I want and that I can afford it. OOh also Im switching over to basically stock at JCP so I will be working 2am to 10am and i will getting about 40 hours a week. so my paychecks will be much bigger, considering i only get 18 hours a week now.



Im going to Boston in September. YAY!!!&nbsp; Going to a baseball game of course.&nbsp; Everything is all paid for, plane tickets, game tickets. Im so happy for the Red Sox right now. They are doing excellent. These past 2 weekends they played against the Yankees, and they won 5 out of 6 games. That is fucking awesome. I hope they can keep things going well for them. Yankees right now are at the bottom of the list. I know they will come back and start winning games, but I just hope that the Red Sox continue to win too.


So my ex is back in my life. I havent talked to him in 2 years, and now all of a sudden there he is.&nbsp; He wants to get back together but Im not sure how I feel about that. Im kinda excited and nervous too. Who knows, I told him i need some time to think about things. I think tho that once my phone is fixed and if Im on the way to getting my new car things will look up again. Then maybe I will give him another chance and our relationship will be better then it was last time."
"eventtime","2007-04-29 23:25:00"
"current_moodid","31"
"url","http://cuddleluvr.livejournal.com/22057.html"
"userid","3342"
"itemid","85"
"event","HOW DO YOU DECIDE WHO TO MARRY? (written by kids)

You got to find somebody who likes the same stuff. Like, if you like sports, she should like it that you like sports, and she should keep the chips and dip coming.
-- Alan, age 10

No person really decides before they grow up who they're going to marry. God decides it all way before, and you get to find out later who you're stuck with, by then life has beat you down and peed on you.
-- Kristen, age 10

WHAT IS THE RIGHT AGE TO GET MARRIED?
Twenty-three is the best age because you know the person FOREVER by then,and when it fails, you're young enough to make the mistake twice.
-- Camille, age 10

HOW CAN A STRANGER TELL IF TWO PEOPLE ARE MARRIED?
You might have to guess, based on whether they have frowns on their faces.
-- Derrick, age 8

WHAT DO YOU THINK YOUR MOM AND DAD HAVE IN COMMON?
Both don't want any more kids,they said the taste was bad and the meat was stringy.
-- Lori, age 8

WHAT DO MOST PEOPLE DO ON A DATE?
Dates are for having fun, and people should use them to get to know each other. Even boys have something to say if you listen long enough, usually its something clever like gosh you're pretty, or nice boobs.
-- Lynnette, age 8 (isn't she a treasure)

On the first date, they just tell each other lies and then the man puts cab fare on the table and says kick rocks.
-- Martin, age 10

WHAT WOULD YOU DO ON A FIRST DATE THAT WAS TURNING SOUR?
I'd run home and play dead. The next day I would plant some yay inhis house and narc him out to the feds.
-- Craig, age 9

WHEN IS IT OKAY TO KISS SOMEONE?
When they're rich, or they give you a roofy.
-- Pam, age 7

The law says you have to be eighteen, so I wouldn't want to mess with that.
- - Curt, age 7

The rule goes like this: If you kiss someone, then you should marry them and have kids with them. It's the right thing to do, unless they test positive or smell not so fresh.
-- Howard, age 8

IS IT BETTER TO BE SINGLE OR MARRIED?
It's better for girls to be single but not for boys. Boys need to be slinging the love.
-- Anita, age 9 (bless you child)

HOW WOULD THE WORLD BE DIFFERENT IF PEOPLE DIDN'T GET MARRIED?
There sure would be a lot of kids to explain, wouldn't there, not to mention the abundance of pimp style?
-- Kelvin, age 8

And the #1 Favorite is........
HOW WOULD YOU MAKE A MARRIAGE WORK?
Tell your wife that she looks pretty, even if she looks like a truck, because lying always makes the situation better, doesn't it?
-- Ricky, age 10"
"eventtime","2007-04-10 05:35:00"
"current_moodid","72"
"url","http://cuddleluvr.livejournal.com/21863.html"
"userid","3342"
"itemid","84"
"event","IF YOUR LIFE WAS A MOVIE, WHAT WOULD THE SOUNDTRACK BE?
So, here's how it works:

1. Open your library (iTunes, Winamp, Media Player, iPod, etc)
2. Put it on shuffle
3. Press play
4. For every question, type the song that's playing
5. When you go to a new question, press the next button
6. Don't lie


opening credits;
You Give Love A Bad Name - Atreyu

waking up;
The Boys of Summmer - The Ataris

first day of high school;
Work It - Missy Elliott

falling in love;
Readyfuels - Anberlin

fight song;
Planning A Prison Break - The Receiving End of Sirens

breaking up;
Everything is Alright - Motion City Soundtrack

prom;
Dear Jamie....Sincerely Me - Hellogoodbye

life;
So Fly - NB Ryders

mental breakdown;
Because of You - Kelly Clarkson

driving;
Make Damn Sure - Taking Back Sunday

flashback;
Chicago Is So Two Years Ago - Fall Out Boy

getting back together;
Backstabber - Jonezetta

wedding;
When I Come Around - Green Day

birth of child;
Every Morning - Sugar Ray

final battle;
For The Love of Fiction - Remembering Never

death song;
Caress Me Down - Sublime

funeral song;
The Minstrel's Prayer - Cartel

end credits;
Hey There Delilah - Plain White T's"
"eventtime","2007-04-09 05:35:00"
"current_moodid","44"
"url","http://cuddleluvr.livejournal.com/21728.html"
"userid","3342"
"itemid","83"
"event","Yay!!! Im going to Boston!!! I cant wait. Hopefully we can get those tickets to the game against the A's. That would be awesome. I want to book the flight now but i have to wait to see what game we can get tickets to, and its stressing me out. I wish those people would work and call me.

Listen to this, its funny, well i think so lol.



<object width=""300"" height=""80""><param name=""movie"" value=""http://media.imeem.com/m/ZMGHeVBMo7""></param><param name=""wmode"" value=""transparent""></param><embed src=""http://media.imeem.com/m/ZMGHeVBMo7"" type=""application/x-shockwave-flash"" width=""300"" height=""80"" wmode=""transparent""></embed></object>




Oh ya and i checked on my amazon order and it says 12th-14th i should get it. Which means it hasnt shipped yet. Or they just shipped it."
"eventtime","2007-04-09 05:12:00"
"current_moodid","99"
"url","http://cuddleluvr.livejournal.com/21329.html"
"userid","3342"
"itemid","82"
