"names","values"
"itemid","16"
"event","Well bloody hell. You all think you are rather funny don't you?  Cheers. Honestly, I have my hunches as to who sent that blasted gift. I tried to make amends. So you can't say I didn't try.  I don't know what's enough. I just don't care anymore.

Anyways. Other than that. My valentines day went quite well, as my plans were to avoid all of the nonsense all together.

;Private;
Bulstrode. No doubt. I don't think Harry's <I>that</i> immature, though I wouldn't be surprised if it was that Weasle. I tried make amends with her. I have been nothing but polite but she's one viscious bird if I do say so.

As for Valentines day..Is it wrong that I missed Potter? I think so. I'm sure he was just fine though. Staying in my dormitory the whole time was probably smart..running into him would have been nothing short of disastrous."
"eventtime","2005-02-18 22:35:00"
"current_moodid","3"
"url","http://cunning-malfoy.livejournal.com/4230.html"
"userid","3348"
"itemid","15"
"event","Some people are making it quite easy to do exactly as my father told me to. Turn off my emotions. I didn't realise how they bloody controlled me until now. Who gives a bloody wank if one of my..well someone I thought was my friend laughs along while someone irritates me for no good reason. I really shouldn't care honestly. It'll only hold me back for what i'm meant to do.

<i>Hexed Private</i>

I do think my father is right. About turning off the emotions, except it's not so easy now is it? It's more easy for me to turn my back on Potter if things get a bit difficult isn't it? I honestly think he's glad to be rid of me, which for my sake, I suppose that's not so bad, is it?

I suppose if he wanted, he could break me. But distance can avoid all of that."
"eventtime","2005-02-10 18:01:00"
"current_moodid","47"
"url","http://cunning-malfoy.livejournal.com/4041.html"
"userid","3348"
"itemid","14"
"event","After long, almost excruciating talks and lessons from my father over the holiday, I think I have some sense now. I am ready to be social again as he's shown me the error of some of my ways. 

I knew my place in the family before but I think it's been instilled deeper within my mind. I am important and have important things to be doing. I've been involved with nonsense for far too long.

He expects my marks to be up within the month, and that shouldn't be too hard. I'm ready to concentrate on what i'm here for. I fear I did let my potions marks drop too far, but I think Professor Snape will give me a chance to improve."
"eventtime","2005-02-03 02:29:00"
"current_moodid","126"
"url","http://cunning-malfoy.livejournal.com/3831.html"
"userid","3348"
"itemid","13"
