"names","values"
"itemid","106"
"event","<a href='http://www.smileycentral.com/?partner=ZSzeb008' target='_blank'><img src='http://smileys.smileycentral.com/cat/3/3_14_1.gif' alt='Smiley Hedge' border=0></a>Anne Marie makes really yummy cupcakes... im going to go have another<a href='http://www.smileycentral.com/?partner=ZSzeb008' target='_blank'><img src='http://smileys.smileycentral.com/cat/23/23_146_21.gif' alt='Im Mad For It' border=0></a>



<a href='http://www.smileycentral.com/?partner=ZSzeb008' target='_blank'><img src='http://smileys.smileycentral.com/cat/10/10_1_20.gif' alt='Wakka Wakka' border=0></a>HOLY SHIT I GOT THE CLASS I WANTED AT FAU!<a href='http://www.smileycentral.com/?partner=ZSzeb008' target='_blank'><img src='http://smileys.smileycentral.com/cat/10/10_1_20.gif' alt='Wakka Wakka' border=0></a>"
"eventtime","2004-08-19 11:50:00"
"current_moodid","18"
"url","http://dacarebear.livejournal.com/27246.html"
"userid","3442"
"itemid","105"
"event","<p align=left>my birthdays tomorrow. not excited all of a sudden, in fact i'm feeling really depressed, the same way i felt last year and the year before. i don't know why, other than the fact that everyone forgets my birthday... every year... I just want one person to remember and suprise me and be thankful that i was born... that probably came off as being conceited and stuff, but look at it through my point of view. I have low self-esteem and a fluctuating mood I have no control over... o yea plus I'm extremely sensitive and have emotions that tend to go on overdrive... You <i>think</i> I can contol but that my friend you are mistaken. Now I sign off and go sing happy birthday to my self as i cry myself to sleep. 

<p align=center><i>Happy birthday to me
Happy birthday to me
Happy birthday to me-e
Happy birthday to me...</i>

<p align=left>happy birthday, emo kid."
"eventtime","2004-08-17 21:35:00"
"current_moodid","9"
"url","http://dacarebear.livejournal.com/27056.html"
"userid","3442"
"itemid","104"
"event","1. School starts wednesday and i still haven't done my 4 outlines for AP english... much less read the 4th book.

2. My birthday is in 9 days. Probably won't do anything because I have no friends."
"eventtime","2004-08-09 12:39:00"
"current_moodid","129"
"url","http://dacarebear.livejournal.com/26785.html"
"userid","3442"
"itemid","103"
"event","<b><font size=7?>TONY, I MISS YOU. WHERE ARE YOUUUUUUUUUUUUUU</font></b>"
"eventtime","2004-08-09 12:31:00"
"url","http://dacarebear.livejournal.com/26564.html"
"userid","3442"
"itemid","102"
"event","my eyes are starting to feel better. the blister in my right eye isn't so bad anymore. so that my friends, is a very good thing. 

i feel like i have dropped off the face of the planet. i'm simply falling... and falling... and falling... and falling... and falling...and falling...............

I leave for New York soon... thursday to be exact. Im excited. Mentally. Not physically. 










is this real anymore?"
"eventtime","2004-07-31 21:48:00"
"current_moodid","63"
"url","http://dacarebear.livejournal.com/26292.html"
"userid","3442"
"itemid","101"
"event","i have pink eye in both eyes:( it hurts."
"eventtime","2004-07-30 17:37:00"
"current_moodid","83"
"url","http://dacarebear.livejournal.com/26018.html"
"userid","3442"
"itemid","100"
"event","This is a record for me i have watched 7 movies in a week. they are: anchorman, i robot, mona lisa smile, 50 first dates, secret window, kill bill vol 1, starsky and hutch. all but anchorman are awesome movies. Tomorrow i'm going to watch the butterfly effect with rick possibly, he told me to save it for him, so while i wait for him to call me tomorrow im going to return mona lisa smile and 50 first dates and get 2 more movies to watch. w00t. I'm trying to catch up on all the movies I never saw. My mom got me unlimited movies for a month so im going to see as many as I can. Its been awesome having rick home, but he leaves thursday morning:( The good thing about that is I won't have anymore bite marks on me... I guess he won't either;) We are a violent pair... Joe, ricks brother always finds us in contorted posistions (joe calls it weird kamasutra) where we are laughing, slapping, hitting, and notoriously biting each other. good times, good times. Im going to miss that, so if I come up and bite you, im sorry but i cannot help it. I bite. I'm teething, and unfortunatly it is going to last a long time. I always have to have something in my mouth ( eww and not in that way sicko) right now it is my lip, which might i have is bleeding b/c i keep biting and sucking on it... ooooooooops. my bad. anyway, im bored. i'll update sooon. oh yeah, i have my senior pix tomorrow... they are going to be horrible. my school pix always are. whens brittany going to be back?!?! Camille we gotta make out t-shirts! ok. peace out."
"eventtime","2004-07-26 22:39:00"
"current_moodid","5"
"url","http://dacarebear.livejournal.com/25696.html"
"userid","3442"
"itemid","99"
"event","I'm home! Yay! Back to air conditioning, warm water, my own cozy bed, my dogs, my friends, my family, standard key board, and well... normality. Now I just need to unpack... that could take awhile... I have a lot of crap packed. And i have a cold... stupid tica colds... grr.
Happy 17th Birthday to my Sara/3 <3 And Happy early 17th Birthday to Sarah/3 <3 And Happy one month early b-day to myself... thats right... my birthday is one month from today... aug. 18th. i'll turn 17. kinda weird considering I look like im 12... maybe i'll turn 13 this year... 
Can some one show me how to put pictures on livejournal?? I have so many from Costa Rica.... 
ok well i'm gonna go start unpacking. and rix coming over soon. w0ot. 
<3, Cari"
"eventtime","2004-07-18 09:04:00"
"current_moodid","132"
"url","http://dacarebear.livejournal.com/25453.html"
"userid","3442"
"itemid","98"
"event","RG8gdSBldmVuIG5vdGljZSBpwrRtIGdvbmU/"
"eventtime","2004-07-05 15:06:00"
"url","http://dacarebear.livejournal.com/25247.html"
"userid","3442"
"itemid","97"
"event","hey guys... i;ve been in costa rica for 4 days... i don't have time to write anything but... i miss u all... and thank you for those who made my last day special. um... yea so i'll see you guys july 17th. have a good summer if i don't talk to you. 
hasta luego, si dios quiere
<3, Cari
I'm donna take my ciesta... i've been up since 6 am."
"eventtime","2004-06-23 05:15:00"
"current_moodid","14"
"url","http://dacarebear.livejournal.com/25021.html"
"userid","3442"
"itemid","96"
"event","I've been haning with Tony all week... he's really cool and I enjoy his company. Last night I went to the movies with my bro to see the Phish concert live. it was soooo awesome.... there were people dancing and singing all over the theatre and people were smoking pot in the theatre it was so much fun! all in all it was a great experience. I started and almost finished packing today because I leave tomorrow morning for Costa Rica for a month, i'm pretty excited yet nervous.... i'll be staying with a family i've never met and the school i'm going to down there doesn't start until monday so i'll be stuck alone with the family for almost 3 days... and on top of that, i'm not sure how comfortable i am with the figgin language, hence the fact i'm down there. any who, i'm gonna go party it up and what not. i would like to write u all a letter (via e-mail or a hand written letter) so if u give me ur address (home or e-mail) i'll try to write u... or get to an internet cafe to update my journal. well, I'll see you all in a month! take care, i hope all goes well. I'll miss you all!!!!<a href='http://www.smileycentral.com/?partner=ZSzeb008' target='_blank'><img src='http://smileys.smileycentral.com/cat/23/23_28_101.gif' alt='Bye Bye' border=0></a> <a href='http://www.smileycentral.com/?partner=ZSzeb008' target='_blank'><img src='http://smileys.smileycentral.com/cat/23/23_28_101s.gif' alt='' border=0></a>"
"eventtime","2004-06-18 20:28:00"
"current_moodid","59"
"url","http://dacarebear.livejournal.com/24661.html"
"userid","3442"
"itemid","95"
"event","Summer rocks."
"eventtime","2004-06-15 18:49:00"
"current_moodid","106"
"url","http://dacarebear.livejournal.com/24327.html"
"userid","3442"
"itemid","94"
"event","I feel awesome.. .  .   .    .     .      .       .        ."
"eventtime","2004-06-12 23:53:00"
"current_moodid","16"
"url","http://dacarebear.livejournal.com/24236.html"
"userid","3442"
"itemid","93"
"event","So I'm back...5 days later. My cousin, Tripp, is 4 weeks old, and is the most precious thing I've ever seen. He truly is, I'm not even saying that because he's my cousin. I babysat him a lot which was fun. I nicknamed him Squirt b/c he does that a lot... u feed him, u birp him then...SQUIRT... he spits up... kinda funny actually. any way... where my uncle lives is in the Martin Luther King District... an almost all black neighborhood in which 4 houses down from theirs is a crack house and a few blocks away is the red light district (for those of u who don't know what that is... its where all the black prostitute or ""dem hoes"" stand waiting for a customer...) I found the most awesome store on the face of the planet. It is my Mecca. Its called Loose Lucy's, its a hippie shop with really awesome clothes. I got a bunch of stuff. My Uncle is the announcer for the Charleston River Dog, a minor league baseball team with a lot of hot guys that are relatively younge. At one of the games I picked out my favorite players (hehehe) which were numbers 7,8, and 9. The next day at the game number 8 was up in the booth where my Uncle was sitting before the game getting his stuff in order and number 8 goes to my uncle and I quote says ""Who was that hot little thing with that lady you were talking to last night"" when my unlce told me that i was like ""YOU BLEW IT!"" this kid was only 18 and worth a couple million... damn... o well... im over it. My mom and I were talking about my horrible comp cards (for modeling) that are now like 3 or 4 years old with my aunt... a friend of hers is a model. my aunt took one of my cards to her and her friend wants to take my card with her when she moves to atlanta, ga and give it to her agency which does work in charleston, sc, atlanta, ga, and all over california! i'm so excited! Cari's going nation wide! on the way home today my mom and i stopped at an outlet mall. we went to the ""music 4 less"" store and i finally got the new hanson cd... which might i add is quite good... and i got an older one for 4.99... awesomeness... ok... thats all for now."
"eventtime","2004-06-10 19:51:00"
"url","http://dacarebear.livejournal.com/23934.html"
"userid","3442"
"itemid","92"
"event","I am not this kinda monkey! I'd like to <i>have</i> this monkey... but i am <i>not</i> a geeky monkey!:<img src=""http://images.quizilla.com/1033686701_eekymonkey.gif"" border=""0"" alt=""""><br>Geeky Monkey
<br><br><a href=""http://quizilla.com/users/SerpentInTheValley/quizzes/What%20kind%20of%20Monkey%20are%20you%3F/""> <font size=""-1"">What kind of Monkey are you?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2004-06-02 22:17:00"
"url","http://dacarebear.livejournal.com/23676.html"
"userid","3442"
"itemid","91"
"event","So yesterday (tuesday) i had my popped blood vessel removed finally... now theres a purple spot there... the color of an eggplant... i look like nelly b/c i have a bandaide on it. so i had my lil shindig 2day. of course not everyone that said they were coming showed up. i'll be honest it pissed me off. to the 9 of u that actually came: thanks! i had a blast. we swam (well... adam and i did) ate pizza and other stuff... played halo (well... matt and harrison (my brothers) played against adam (dragon) and humberto (stumpy)) that was really funny actually... I eventually found my ddr cd and so we hooked up our (adam and I's) ddr (dance dance revolution) mats. it was soooooo funny. camille is so cute! she looks like a lil raptor when she dances... her dances look like a combination between an irish jig and a disco. her right arm always springs up into the air... don't worry we have it on tape. im so exhausted from all the dancing. Adam - i kicked your ass and u know it!! anyway... i had an awesome time and were doing it again some time before i leave for costa rica (billy its Coh-sta Rica not Cost-a Rica!) Rick called, he was being all pissy... grrr... so i told him i'd call him 2morrow b/c he was puting me in a bad rude and that i was being rude to the people who were at my house, that made him a lil pissier. argh. Anyway... i need to put away the ddr mat before my brother spazzez again. l8r dayz."
"eventtime","2004-06-02 21:49:00"
"current_moodid","14"
"url","http://dacarebear.livejournal.com/23329.html"
"userid","3442"
"itemid","89"
"event","<U>Who</U> - EVERYBODY
<U>What</U> - PICNIC/ BASEBALL-SOCCER-FOOTBALL GAME/ SWIMMING AND MORE
<U>When</U> - WEDNESDAY (6/02) AT 4:30-WHENEVER
<U>Where</U> - MY HOUSE
<U>Why</U> - B/C I SAID SO

<I>CALL ME TO LEMME KNOW YOUR COMING SO I CAN CALL YOU IN THE GATE...</I><B> 213-1677</B>"
"eventtime","2004-05-31 21:08:00"
"url","http://dacarebear.livejournal.com/22800.html"
"userid","3442"
"itemid","90"
"event","<U>Who</U> - EVERYBODY
<U>What</U> - PICNIC/ BASEBALL-SOCCER-FOOTBALL GAME/ SWIMMING AND MORE
<U>When</U> - WEDNESDAY (6/02) AT 4:30-WHENEVER
<U>Where</U> - MY HOUSE
<U>Why</U> - B/C I SAID SO

<I>CALL ME TO LEMME KNOW YOUR COMING SO I CAN CALL YOU IN THE GATE...</I><B> 213-1677</B>

oh and if u need a ride... thats no excuse not to come... i drive... ur mom and dad drive... ur friend drives... so be there."
"eventtime","2004-05-31 21:08:00"
"url","http://dacarebear.livejournal.com/23197.html"
"userid","3442"
"itemid","88"
"event","Sunday: Went to the beach near my brother's in Delray and then to his bbq. i wanted to go to the RIB show at surf cafe... but i couldn't:( I hear they rocked so w00t for them:)

Monday: today.... I went to the mall with my mom. she bought me clothes for the first time in while... i got 2 new bathing suits (these bathing suites make me look like i have boobs!! and they aren't even padded!!) that made me happy lol. And I got 4 pairs of shorts (for costa rica... its really hot there... and i don't really have a lot of shorts) and i got a new belly button ring and a new ring for my tragus. then... I went over to paul and joel's house where we danced (or tried to dance lol paul) played the organ, played the guitar and drums, and tought sara <3 the bass (b-a-s-e... phonetics...not to be confused with the fish) C C C C B B B B A A A A A A A A get ready get ready for meeeeeEEEEEEEEEEEEeeeeeeeeeee YEA! It was a lot of fun at their house. 

For the past few days I have been addicted to Sim Tower... some of you are aware of this lol. I've made to 5 stars!! (the max is 5 stars...) and i have like $15 million and 12,000 people. All I need is 3,000 more people to be in my building and then i'll be considered a tower:)I've already had 2 or 3 fires, multiple bomb threats and one bomb blow up... i have a cathedral at the top of my building on the 100th floor. my building is awesome. anywho... i'm sleepy and its only 8:58... once someone teaches me how to put pix in these entries i'll put pix in... okie? okie. CIAO!"
"eventtime","2004-05-31 20:40:00"
"current_moodid","49"
"url","http://dacarebear.livejournal.com/22650.html"
"userid","3442"
"itemid","87"
