"names","values"
"itemid","4"
"event","- Word of the Day:
hole

- Quote of the Day:
""I've never seen anybody catch a frisbee in their vagina before.""
~Kathleen

- Fortune of the Day:
It doesn't make sense that people will rant about their emotional instablilty online, but they
won't talk about them with people. I'm of the opinion that some people are going to have problems."
"eventtime","2004-05-06 11:59:00"
"url","http://daily-report27.livejournal.com/1122.html"
"userid","3458"
"itemid","3"
"event","- Word of the Day:
acseththorize

- Quote of the Day:
""Wouldn't it suck to be a gay jewish black man? You'd be
the beginning of every joke.""
~Nate

- Fortune of the Day:
Well Ali, if you weren't hovering around death all
day, then maybe you'd get a funny quote once in a while."
"eventtime","2004-05-05 15:08:00"
"url","http://daily-report27.livejournal.com/1012.html"
"userid","3458"
"itemid","2"
"event","- Word of the Day:
decorized

- Quote of the Day:
""Christy likes it on all fours.""
~Steckle

- Fortune of the Day:
I bet mine's longer than yours (this is on a hat my dad has. the hat has a very large visor)."
"eventtime","2004-05-04 17:23:00"
"url","http://daily-report27.livejournal.com/734.html"
"userid","3458"
"itemid","1"
"event","- Word of the Day:
black panthers

 - Quote of the Day:
""What is something that boils your kettle?""
     ~Mike Corkery

 - Fortune of the Day:
Only you can prevent forest fires."
"eventtime","2004-05-03 16:29:00"
"url","http://daily-report27.livejournal.com/314.html"
"userid","3458"
