"names","values"
"itemid","42"
"event","Ok so I haven't been around in a while, I've been working....sue me.... Anyway, so the new job: It's been going great. I'm going to quit my other one to stay here though. So back to why my subject is what it is....Ignorant people. This girl I work with @ Pacific Sunwear came into Bohemian when I was working the other night, and we're really good friends ya know? She looks at me and doesn't say a word or make an acknowledgement of me until I say hi and wave at her a few minutes later. When I did that she gave me this wave and an eat shit and die look. Friends don't just randomly give you that look. So I really didn't think anything of it, but I walked up to her a few more minutes later and asked her what was wrong and this is waht she said: ""Because you got a fucking job here and I'm 4 months older than you."" Makes sense right? not to me....it was probably the stupidest reason to ever be pissed off. It's not like I was trying to screw her over and steal a job she wanted. I didn't even fill out an application, they told me they wanted to hire me. I don't decide who get's hired there. I certainly didn't hire myself. So that is my complaint of the week. People are ignorant, and childish. I just don't understand how a good friend can make such a big deal out of something that small? oh well what can you do? It doesn't matter because I know for a fact that she won't ever get hired there, and I got that fact re-enforced by several others. I have driving school tomorrow so I'm going to bed."
"eventtime","2003-07-25 22:35:00"
"current_moodid","1"
"url","http://darkdiamond0718.livejournal.com/10878.html"
"userid","3572"
"itemid","41"
"event","Well it's been the same old kinda day. Slept in for awhile, got up and went to the ""joe thuggs"" for a little bit. I did get another job today, which is good and bad I guess. More money and less time. Give and take a little, no pain no gain, can't have your cake and eat it too. Or however all those philosophies go. So my boyfriend is out of town and I'm bored and lonely :(, and I'm trying to behave, but I think I can handle it. So it's almost Wednesday so I'm going to bed. I'm out kids."
"eventtime","2003-07-23 00:53:00"
"current_moodid","44"
"url","http://darkdiamond0718.livejournal.com/10637.html"
"userid","3572"
"itemid","40"
"event","<img src=""http://images.quizilla.com/V/vinacross/1041991326_fPerfectGF.gif"" border=""0"" alt=""You're Perfect ^^""><br>-Perfect- You're the perfect girlfriend. Which<br>means you're rare or that you cheated :P You're<br>the kind of chick that can hang out with your<br>boyfriend's friends and be silly. You don't<br>care about presents or about going to fancy<br>placed. Hell, just hang out. You're just happy<br>being around your boyfriend.
<br><br><a href=""http://quizilla.com/users/vinacross/quizzes/What%20Kind%20of%20Girlfriend%20Are%20You%3F/""> <font size=""-1"">What Kind of Girlfriend Are You?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>

<img src=""http://images.quizilla.com/1031622633_CMyDocumentsMyPicturesteleportation.JPG"" border=""0"" alt=""""><br>You Have the Power of Teleportation!
<br><br><a href=""http://quizilla.com/users/Legowen/quizzes/What's%20Your%20Magic%20Power%3F/""> <font size=""-1"">What's Your Magic Power?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2003-07-16 23:52:00"
"url","http://darkdiamond0718.livejournal.com/10304.html"
"userid","3572"
"itemid","39"
"event","<img src=""http://images.quizilla.com/F/frozenebony/1048039013_pRACHELSB1.jpg"" border=""0"" alt=""Gangsta Bitch!""><br>You're Gangsta Bitch Barbie.  You're tough and you<br>like it rough, and of course you like to pop a<br>cap in any wiggers ass.
<br><br><a href=""http://quizilla.com/users/frozenebony/quizzes/If%20You%20Were%20A%20Barbie%2C%20Which%20Messed%20Up%20Version%20Would%20You%20Be%3F/""> <font size=""-1"">If You Were A Barbie, Which Messed Up Version Would You Be?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2003-07-16 23:39:00"
"url","http://darkdiamond0718.livejournal.com/10007.html"
"userid","3572"
"itemid","38"
"event","Yeah so today nothing really exciting happened. I got up went to work, came home and saw my friends. We did try to find an old abandoned insane asylum, but we all chickened out and didn't go...not b/c it was scary... because we didn't want any cops to pull up. (My friend got pulled over earlier today before that....) My birthday is Friday, and I'm so excited! big ole18...woop woop....yeah....whatever.... Anywhoo...I had fun with my guy last night, and I was sad that I didn't have a car to go and see him tonight, but oh well. I guess I'm going to go to bed now because I actually don't have to get up and go anywhere tomorrow that's too important."
"eventtime","2003-07-16 23:30:00"
"current_moodid","66"
"url","http://darkdiamond0718.livejournal.com/9749.html"
"userid","3572"
"itemid","37"
"event","Yay! I am so excited because my birthday is on friday!!! I'm not excited that I work most of the week on the other hand, so hopefully my birthday will be a good birthday. You know how you usually stay in touch with someone, and you and that person have been friends for a long time ( we're talking years) and even though they moved away you managed to still talk, but when they come back and you actually see each other it's cool..........THEN when you call them to see what's up after that they never answer? Yeah that really pisses me off. And when they do answer their phone...I'm going to chew them out for being a dickhole. Oh well what can you do about people? I have a feeling I'm going to be super bitch until friday because of work.....yay.....aren't you excited? Everyone gets to deal with me. Anywhoo....I will be around later! Going to work!"
"eventtime","2003-07-14 11:56:00"
"current_moodid","14"
"url","http://darkdiamond0718.livejournal.com/9605.html"
"userid","3572"
"itemid","36"
"event","<img src=""http://images.quizilla.com/A/Ally5162/1058136290_sementdorm.gif"" border=""0"" alt=""byberry""><br>There was an escape from the local Mental Hospital.<br>Unfortunately, it was your clone, but nobody<br>believed you, so you were tackled, tranquilized<br>and locked away in solitary confinement.  You<br>now converse regularly with your shadow, see<br>pink elephants and believe they are out to get<br>you.  No, you aren't dead, but you certainly<br>seem to think so!
<br><br><a href=""http://quizilla.com/users/Ally5162/quizzes/In%20what%20strange%20and%20unusual%20method%20are%20you%20going%20to%20Die%3F/""> <font size=""-1"">In what strange and unusual method are you going to Die?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2003-07-13 18:10:00"
"url","http://darkdiamond0718.livejournal.com/9369.html"
"userid","3572"
"itemid","35"
"event","Ok you know how you want to tell someone something, but it's one of those cases where it's too early but at the same time it's too late? Ok maybe you don't but I do. So here's the thing. There's something I want to tell someone and I probably should have earlier, BUT....I didn't thinking that time would help me out and things happened and I don't know and yeah. Anywhoo..... I've spent all afternoon cleaning out my desk and it was horribly messy!"
"eventtime","2003-07-13 14:05:00"
"current_moodid","47"
