"names","values"
"itemid","1486"
"event","I literally just cried when I saw my GPA dropped from a 3.94 to a 3.89.







What the hell is wrong with me...?"
"eventtime","2008-07-06 21:04:00"
"current_moodid","55"
"url","http://dizzycharlotte.livejournal.com/380569.html"
"userid","3982"
"itemid","1483"
"event","I'm finally glad I've found an addiction that's beneficial to my health...& my lifestyle. I'm totally ancy & jittery & I just wanna go running. It's wayyy too hot right now, but if we didn't have family dinner tonight, I would be preparing for a run. Mmmm. I love the feeling of it. & I didn't run for so long because I thought I couldn't. & even though I am not nearly as good as Ran...I impress myself with how much I can do. :)

I would write more...but I have to go through all this junk I found in my car. I felt like a hoarder or something when I went through my glove compartment. Haha. But hopefully I'll be getting a new Prius by January. <3"
"eventtime","2008-06-22 12:28:00"
"current_moodid","91"
"url","http://dizzycharlotte.livejournal.com/379866.html"
"userid","3982"
"itemid","1482"
"event","Last night was just the eptiome of amazing. I was going into it with my doubts...there was definitely potential for drama, and lots of it. But it just shows how much everyone has grown up...and how LONG ago high school was. And how awesome my friends are. :)

Had only one more person showed up, I think it would have been perfect. But I understand his reasons, and I respect it. I just don't think it would have been as bad as he thought. But we will see. I will take what I have been told into consideration and...try. I will try. Because it would be the absolute best to have him as a friend again...Hm.

Anyways, I hope I get to see Sarah & Addie before they go back to LA.

I wish I had taken more pictures last night.

I am rambling. I should probably be getting ready seeing as how Alex & I are supposed to be at Carey's in 10 mintues, & Alex is still taking a nap. Haha.

<3"
"eventtime","2008-05-25 18:47:00"
"url","http://dizzycharlotte.livejournal.com/379584.html"
"userid","3982"
"itemid","1481"
"event","I don't even know. I just wish some things would clear up & out of my head so I would never have to deal with them again.

I just don't get it I guess.

Ugh. & also...I wish I could just get some of this over with myself, instead of having to hear about events through other people. I wish I could speak MY mind...& tell people my opinion. & just work it out myself. But that's all wishful thinking I guess.

Meh."
"eventtime","2008-04-30 22:39:00"
"current_moodid","73"
"url","http://dizzycharlotte.livejournal.com/379316.html"
"userid","3982"
"itemid","1480"
"event","Dirty Scottsdale is fun until one of your friends ends up on it...& then it sucks. Lame asses. :(

On another note...Alex just deafened me while watching the Suns game. He's peeing himself over Shaq.

Too much to do... :("
"eventtime","2008-02-20 20:02:00"
"current_moodid","3"
"url","http://dizzycharlotte.livejournal.com/378891.html"
"userid","3982"
"itemid","1477"
"event","I went out to Half Moon last night with Ran to visit Meg while she was training to 'have a few drinks'....this then turned into Jessica having 1 moizo mai tai (also referred to as the 'bartenders nightmare'), half of Ran's Banana Peel, & 2 Long Island Iced Teas.

I have never barfed so much in my life. Haha. Oh my GOD, I was miserable. & this morning I got out of bed & puked up nothing but bile...mm. delicious. I felt like complete shit until around 10:30 & then it started to get better. God, you would think I would have learned my lession by NOW. Haha.

I'm so lucky, though, because Alex took such good care of me. He held my hair when I was throwing up & he undressed me to take a shower & dressed me & put me to bed...brought me water & advil. :D I'm so effin lucky it's not even funny. I don't know what karma jackpot I hit, but I'm so glad I did :)

I LOVE Christmas!!!! Ahhhhh I just need to get a few more presents & I'll be done. I really want to go to Glendale Glitters or Zoolights. I'm so excited that it's so close but sad too because it will be here & gone in no time. & then I have to wait a whole year for it to come back! but when I think about that time next year I get giddy because I'll be graduating...& be 3 months away from getting married!!!!! :D

Ah ok. I'm going to wait for my hubby-to-be to get home. <3"
"eventtime","2007-12-19 16:52:00"
"url","http://dizzycharlotte.livejournal.com/378169.html"
"userid","3982"
"itemid","1475"
"event","I got sent home from work for puking my guts out. Bah. I'm SO hungry but I'm scared that if I eat I will puke it all up. & the only thing that sounds good is mac & cheese. But I don't know if I'll get nauseous when I eat it because just thinking of eating right now is upsetting my tummy.

Bah. Ugh. Poop. I feel like crap.

I wish I could sleep all day. I'm SO not looking forward to Spanish class at 6."
"eventtime","2007-12-05 13:14:00"
"url","http://dizzycharlotte.livejournal.com/377816.html"
"userid","3982"
"itemid","1474"
"event","Who eats cheezits as a full fledge meal?

Oh yes. Me Me Me. Mm.

Good thing I'm starting a diet next week. I'm bound and determined to lose 15 pounds or die trying.

Ugh. Finals week. :("
"eventtime","2007-11-29 13:19:00"
"current_moodid","28"
"url","http://dizzycharlotte.livejournal.com/377539.html"
"userid","3982"
"itemid","1473"
"event","Alex & I put up our Christmas tree last night. It's GORGEOUS & it was so cute putting up our first Christmas tree together. :) I love our little apartment in all it's holiday glory. We spent all our money on Christmas decorations this weekend, but it was well worth it to start out our collection. 

I REALLY wanted to start hiking this weekend again but Alex woke up this morning at 4 AM in horrible pain because his throat is sore...I think he might have strep or his tonsils are infected. Ick. Awesome that his insurance doesn't kick in until December 1st, so we have to wait a while until he can see a doctor. I just need to take care of him until then.

I should be studying. Bah.

This Christmas is going to be a poor one so I need to come up with cute ideas for cheap, but meaningful presents. Hrm. 

I'm soooo incredibly squishy. Oh my Lord. I'm so glad I found a boy who doesn't care if I blow up like a balloon. :) A giant, pasty, big nosed balloon. Hahaha. Oh well.

Ok. study time?"
"eventtime","2007-11-25 14:54:00"
"current_moodid","49"
"url","http://dizzycharlotte.livejournal.com/377302.html"
"userid","3982"
"itemid","1471"
"event","What's the best way to end my 21st Birthday Weekend???

Oh yes. I got the FLU. 

I had to stay home from school which makes me feel bad because I'm lame like that & I hate to miss school. 

I was going to go to school but Alex told me I was forbidden, seeing as how I had a fever of 100.7 last night. I am feeling a lot better today, I just wish Alley was here with me all day so I wasn't so bored just watching TV. Haha.

But my birthday was AMAZING. I'm seriously a spoiled brat. I got so much...I have the most AMAZING fiance & friends & family. :)

Only thing was that I was oober chubby on my birthday night & you can TOTALLY see it in all the pictures. Haha! But oh well....who do I have to impress? I'm engaged.

But I finally got my tattoo & it was the most pain I've ever been in. Hah....everyone who told me that the ribs don't hurt are INSANE. I cried at one point towards the end but I am proud because I never told him to stop to take a break. Go me!! I just laid there & made horribly ugly faces & started to tear up is all. Haha.

I feel like a giant blob just laying around in my undies with dirty hair. Mm. I bet Alex wants to just jump all over my when he gets home. :)"
"eventtime","2007-11-13 11:04:00"
"current_moodid","82"
"url","http://dizzycharlotte.livejournal.com/376592.html"
"userid","3982"
"itemid","1470"
"event","I'm SO cranky right now. I hate PMSing. I have been in such a good mood today and then all of a sudden, BAM. I'm on the verge of tears. And NOTHING IS WRONG. Why did God create hormones? So useless. (Side note: if Sarah were here, she'd probably list all of the uses of hormones and how they function with the body. I love her)

At least I got an extra $100.00 today for dressing up on Wednesday. I'm going to use it to dye by hair blonde again. Really, I should probably save it for Christmas seeing as how it's only 8 weeks away...but...oh well. I think I deserve a little pampering! 

Ugh. I should clean up a little bit. The apartment is icky. I need to do the dishes and clean our room. Hrm. I just want to sleep. I think something is wrong with me. Alex started watching the game last night at like 9 & I slept through the entire thing, without even waking up. & then I woke up at the end of it & normally I would be awake and full of energy, but no. I just went to bed and slept through the night and woke up this morning tired still. Hah. I need something to keep me awake. Something more effective than caffeine.

I wish Alex would come home soon. :("
"eventtime","2007-11-02 17:49:00"
"current_moodid","49"
"url","http://dizzycharlotte.livejournal.com/376470.html"
"userid","3982"
"itemid","1469"
"event","I'm COMPLETELY un-stressed now. Ah thank God. I got A's on all my tests, so once again, I freak myself out over nothing. Hah. 

I have an interview with a grad student tomorow regarding being a research assistant for a family study lab. Like...I'm such a loser because I'm SO excited to be working in a REAL Psychology experiment...like one that is published and all that. Ah. Even though I'll be a lowly undergraduate resreach assistant, it's going to be great to just be in that environment and working in the field that I'm interested in and get the experience for grad school when I have to do my OWN research. Ah. I really hope my transcripts are impressive enough. I have a 3.85 GPA but some of my classes are a joke. Hah. Like the 2 music classes I took. I wish someone would have told me easly on to take as many psych classes as I could. ASU blows when it comes to the advisors. Ugh. It blows when it comes to a LOT of things. 

Poor Alex has been forced to play Madden while I have been doing homework for the past 2 hours. Aw, poor guy. Being forced to play video games. Hahaha. We celebrated our 6 months of being engaged the day after his birthday...Seriously it was the HUGEST surprise to me. I feel like it's only been a month. Time has just been flying by. 5 months until our wedding is 1 year away. And 1 year to plan a wedding isn't really all that long. Ah. I don't even know where to BEGIN. Holy cow. I'm just so glad that my life is going in the direction I want it to. Last time I went through this thing, I read all these entries about not being sure of things and always being lonely even when I had ""someone"". I've seriously never felt that way with Alex. It hasn't always been easy and we've DEFINITELY had our times when we've wanted to drop kick the shit out of each other, but actually, things have improved since we moved in together, as odd as that is. I love being around him all the time. I live with my best friend! What more could a girl ask for? :D

Speaking of best friends...Jerica's baby shower was great. I can't wait until little Chase Brady is born. :D He's going to be so amazing. I love babies and the fact that one of my good friends is having him...wow. Hah. I just hope they're both healthy and happy. Oh and Patrick too. Hahaha. 

I'm getting loopy I think. I need sleep."
"eventtime","2007-10-29 22:07:00"
"current_moodid","131"
"url","http://dizzycharlotte.livejournal.com/376195.html"
"userid","3982"
"itemid","1468"
"event","I had to get up at 6 AM this morning and go into fork at 7 to do this big project we have...& I was there until 11:30 & feel like I got absolutely NOTHING done. My GOD this project is going to take years at this rate. Bah. But at least I get to make up for the hours I took off to study this week. Hrm.

I so not motivated to do anything. I went out & bought Jerica a butt load of baby stuff for tonight..I love baby clothes! Ah. But now I know that I have to clean the apartment so that Alex can have his 'men' over. Hah. I'm going to be honest, we've let the apartment go a little over the past few weeks. Hah. Our bedroom is a DISASTER. One big pile of clothes, and we have papers and water bottles all over the coffee table, & I have definitely been lagging in the dishes department. Bah. I hate being an adult & having to clean up after myself. :(

I wish I had more money. I feel like I never have enough. But I'm sure that that's how everyone feels. bah.

I'm so tired. I just wanna go back to sleep. :("
"eventtime","2007-10-27 12:41:00"
"current_moodid","49"
"url","http://dizzycharlotte.livejournal.com/375903.html"
"userid","3982"
"itemid","1467"
"event","I'm on the 8th page of my Philosophy study guide and I still have 8 more questions left...and they're all essay questions. Holy hell I've been doing this thing for 5 hours now. Bah. The things I do to get good grades. Hah.

I missed the Steel Train show last night because I had to study for my Personality Theories and Resreach exam & I'm pretty sure I did horribly on it. I studied for an overall amount of about 6 or 7 hours for that test & I still was clueless. But it made me feel better that 2 people in my Effective Thinking class who are also in my Personality class said that they had a really hard time too. Especially because one of them I KNOW is super smart. & the professor throws out questions that a large portion of the students missed so I'm just hoping everyone else is just as dumb as me.

I just need to get through this last exam & I will be stress free. All I'll need to think about is my 21st birthday in 2 & 1/2 weeks. I'm so excited just to celebrate something like that! It'll be nice to be able to order drinks when I'm out with my family now, hah. Maybe now Alex will have to be DD for once. :) Haha. But I'm thinking I'll go out at midnight & have a margarita or something. No power hour, thank you. Haha...I guess I don't really get it. 'Let's go out and get COMPLETELY shit faced the night BEFORE my actual birthday...so I wake up feeling like a complete ass bag in the morning & just shit kick my liver to hell!!!' Mmmm. Sounds like a plan to me! Hah. (No offense to those who have had or will have one)

Anyways...Alex is out at Craig's brother's house right now, 'jamming'. So I'm just studying all by my lonesome, waiting for someone to come home and feed me...maybe rub my back because I am SORE AS HELL. It feels good though...kinda like I'm not AS much of a big fat slob today. Haha. Yesterday when I went to the gym to study, I ""power walked"" on the treadmill for an hour & then did some arms & abs....& I could literally die right now from soreness. Pathetic how long it's been since I've worked out. Alex & I have promised to start going to the gym because we're starting our ""winter layers"" early. Haha. But I'd really love to actually stick with it this time. I need to get into the groove of it so that I'm in perfect shape for my wedding dress :D

Oh bah. I'm procrastinating in finishing my study guide so much. Hah. Back to that I guess."
"eventtime","2007-10-23 19:57:00"
"current_moodid","91"
"url","http://dizzycharlotte.livejournal.com/375609.html"
"userid","3982"
"itemid","1466"
"event","I took a half day off of work to study today because I read so much last night that I fell asleep in my book. Awesome.

So now I'm reading and I'm falling asleep AGAIN. So I'm thinking of going to the gym and walking while I read. Better than sitting here and eating and adding to the winter layer, right? Right!

Ok...Let's hope I have enough energy to get through this week...3 exams. :("
"eventtime","2007-10-22 13:48:00"
"current_moodid","14"
"url","http://dizzycharlotte.livejournal.com/375367.html"
"userid","3982"
"itemid","1465"
"event","I've never been so tired as I have been the last couple of weeks. I didn't think my schedule would be so tiring and exhausting...but I guess I should consider going to bed at a decent time. Hah.

I'm cranky. Bah. I need to get over that.

More wine. Mmm."
"eventtime","2007-10-10 21:47:00"
"current_moodid","49"
"url","http://dizzycharlotte.livejournal.com/375127.html"
"userid","3982"
"itemid","1464"
"event","I'm saving up for a nose job."
"eventtime","2007-10-03 21:58:00"
"current_moodid","74"
"url","http://dizzycharlotte.livejournal.com/374989.html"
"userid","3982"
"itemid","1463"
"event","Being an adult blows. Bah.

i've been so ultra cranky lately because of all the stress. I wish that I didn't take it out on the people I love the most. :(

I'mso tired. No more 7:40 AM classes. & I'm pretty sure my advisor messed up my declaration because my DARS says that my catalog year and major are different than what I KNOW it is. So I need to go talk to the counselor to see if they really changed it from a BS to a BA. & I hope that the fact that I changed from a BS to a BA doesn't affect my chances of getting into grad school because if it does I will be LIVID because my advisor TOLD me to do it. Bah. So many thoughts going on.

& I hate paying bills. Poop.

I just realized why I'm so cranky. Hah. Ohhhh I am the PMS machineeeeee!!!

Crappy friends suck too by the way. I've been so fed up lately I'm about ready to explode. Grrrrr.

I need a nap. & my fiancee. Commmeeee hommmmeeee Alex :("
"eventtime","2007-10-02 17:19:00"
"current_moodid","14"
"url","http://dizzycharlotte.livejournal.com/374660.html"
"userid","3982"
"itemid","1462"
"event","School School School. I hate school. 

:("
"eventtime","2007-10-01 22:48:00"
"current_moodid","28"
"url","http://dizzycharlotte.livejournal.com/374483.html"
"userid","3982"
"itemid","1461"
"event","I need a vacation so bad. I am so sick of school & work & money & chores & stress. I can't WAIT until it's cold outside & Alex & I can take a trip somewhere, all bundled up & have coffee & ice skate. Mmm.

Ugh. Back to work now. :("
"eventtime","2007-10-01 13:26:00"
"current_moodid","28"
"url","http://dizzycharlotte.livejournal.com/374133.html"
"userid","3982"
"itemid","1460"
"event","Alex is mad because I told him to Brett Favre as his quarterback this week on his fantasy football team because Mattt Leinart sucked it big last week & he said he couldn't go against his 'boy'. And now...the Cardinals pulled him from the game & Kurt Warner is in. Hahaha. I feel bad though because Alex is really upset about it. He loves his Cardinals mucho.

Last night I had sushi & I LOVED it. Mm. & I FINALLY saw Disturbia & I loveddd it. I screamed a lot though & I'm sure Sean & Arianne never want to go to a scary movie with me that's shown in public. Hah.

I have lots of homework to do that I don't even want to start. Bah. School blows me.

I started tutoring this week at Echo Mountain & I LOVE it. I'm paired with the cutest girl & even though it's going to be difficult to get her to pay attention for an hour & a half to read...I think it's going to be a lot of fun. I just wish doing ti at Campo Bello would've worked out with my schedule because it's where I went to elementary school & it would've been cool to go back. Oh welllll.

Gotta watch more FOOTBALL!!!!! YEAAAHHHH!!!"
"eventtime","2007-09-23 08:16:00"
"current_moodid","15"
"url","http://dizzycharlotte.livejournal.com/373982.html"
"userid","3982"
"itemid","1459"
"event","I have 3 exams this week & haven't even accomplished HALF of what I need to to be prepared for them. Bah.

Last night, outside of our apartment, Alex, me, Arianne & Sean found another toad. So we caught it & put it in with Phoebe, and he was HUGE compared to her. & Alex & I were a little iffy about it because I was scarred that he would hurt her but Arianne & Sean assured us that they would like each other. So they were just in there, kind of eyeing each other and jumping around & we decided to look up what type of toad he is. So after a while we find out he is a Colorado Toad...and I was looking at what they eat...& they eat other toads!!!! So I started yelling to get him out, the ugly bastard! We threw him out. I felt so bad exposing Phoebe to such danger. Alex & I didn't realize how much we loved her until we almost lost her. Hahaha. We're SO lame...Hah. I can't wait until we can get a dog. 

Hm. I should probably study...too bad it's Sunday & that means FOOTBALL ALL DAY LONGGGG!! Oh yes. Bah.

Sometimes people are lame & it makes me want to smack them in their faces.

Oh my God. If someone could see Alex right now...you would feel bad for me. Seattle just fumbled the ball & I literally think the apartment shook. Hah. This is my life... :)"
"eventtime","2007-09-16 15:51:00"
"current_moodid","28"
"url","http://dizzycharlotte.livejournal.com/373539.html"
"userid","3982"
"itemid","1457"
"event","I was supposed to come home after the orthodontist & read the first 2 chapters of my personality textbook. I read the first page & fell asleep until Alex come home & woke me up.

I swear this schedule of mine is taking it out of me. I've actually been going to bed at 10 PM. Who does that? Hah. But at least it's a 3 day weekend so after tomorrow I get to rest, & I have time to study. 

All I can do right now is watch Degrassi. Even though it's like 3 seasons ago, I can't stop watching. There's always been something about this show that addicts me. It's like the TV screen emits crack when it's on. 

I'm so hungry. I need to make dinner before Alex gets back from practice at 9. What to make...?"
"eventtime","2007-08-30 19:11:00"
"current_moodid","18"
"url","http://dizzycharlotte.livejournal.com/373070.html"
"userid","3982"
"itemid","1456"
"event","Alex is all domestic & cooking me dinner after I worked & went to school all day. I love him. :)

I'm shamefully addicted to Rock of Love. & even more shamefully in love with Jes & Brandi M. Haha. Alex said it's 'kinda hot' that I have a crush on girls. What a boy. But seriously...is that normal? Actually, I don't think I care if it is. They're effin hot!

My Effective Thinking class has a writing assignment due every class. Ugh. Shoot me. I'm so annoyed with school already. Anything that starts at 7:40 AM is automatically on my list of shit.

I have found a new love of cosmic bowling. Mm. I love it!

All I can think about is food. My tummy needs food like every hour. Fat kid forever.

The Pick-Up Artist! I love how disgusting the host is. Hahaha. Poor boys."
"eventtime","2007-08-27 21:09:00"
"current_moodid","18"
"url","http://dizzycharlotte.livejournal.com/372955.html"
"userid","3982"
"itemid","1455"
