"names","values"
"itemid","167"
"event","jonathan is home, and he wants to see people, so jus call him or me if you dont have his number."
"eventtime","2006-07-12 08:29:00"
"url","http://doodily-det.livejournal.com/42797.html"
"userid","4074"
"itemid","166"
"event","<center> ok,so .. this past month has had the most changes that my life has ever gone through. They are good changes. life is crazy.

School is over, thank God. I have been out for about 3 weeks now. and my grades were awesome. so im 99.9% positive that i got into the nursing program. Only  3 of us out of my group of friends, of like 10, know that our grades met the standards for the program. That's how hard this fuckin program is ... it was one crazy year. i feel proud though, that i was one of the few that proved that i can do it.

Jonathan and I borke up over a month ago, and I have been doing pretty good, actually very good, considering we were together for 4 fuckin years. 

I am now seeing this guy Charlie, and he is amazing, and of coarse he is in the Marines, just my luck ... i meet an awesome guy and he is in the military, marines of all. but i fall for him more and more. He's the polar opposite of Jonathan hahaha. I love being around Charlie, he's so much fun.

The other day I was talkin to someone who said something to me that I never thought I would hear, especially from him, he said ""damn sarah, you didn't give anyone a chance to get you"" ... it made my day thats fer sure. but it has been surprising at how many people told me similar things in this past month. i never thought anyone really noticed me."
"eventtime","2006-06-01 17:52:00"
"url","http://doodily-det.livejournal.com/42545.html"
"userid","4074"
"itemid","165"
"event","heya

yea, so if most of you didn't know, me and jonathan have broken up. It's been a week now. we have our reasons. it was a great four years.

school is almost over and I can't wait! Finals are approaching and i have like freshmanitis lol. I just want it to be summer. I'm sick of all the drama here at school. it's all girl, what did i expect? haha

I can't wait till next year, Im almost positive that I will get in the nursing program, so that's exciting. I can't wait till we start clinicals, that should be interesting haha. 

I also can't wait till next year because i will be roomming with someone who isn't insane and is my best friend haha. I love her, her name is Liz.

Yesterday was the last time the OC will EVER film here again!!!!!!!!!!!!!!!!!!!! YAYAYAYAYAYA. haha. it was graduation. it's really fucking annoying when they are here. I wish I was as skinny as Mischa Barton. She had the cutest dress on.

anyways, how is everyone else doing?"
"eventtime","2006-05-02 13:43:00"
"url","http://doodily-det.livejournal.com/42306.html"
"userid","4074"
"itemid","164"
"event","<p>wow, i haven't been on here in forever.<br /><br />It's weird seeing all your posts and thinking about how much my life has change since highschool. I have made so many new friends and have just made a&nbsp;totally different life for myself, and I love it.<br /><br />My life has consisted of school, friends, and jonathan. Both of our lives have changed, and&nbsp;so&nbsp;has our relationship. It is so much stronger. I dont know what i would do without him.&nbsp;<br /><br />School is so hard and so time consuming. I thought this semester was going to be a breeze compared to last semester, but was I wrong. I wish I could go back to last year, but then again I love this year, and dont want to go back. Now that i think about it, i&nbsp;don't want to go back. My friends are so awesome, my relationship with jonathan is so much stronger, and i have just grown up so much this year now that i think back to it.&nbsp;<br /><br />The drama is definately there, but it's not like highschool, thats for sure. like my&nbsp;roommate getting pregnant, then supposedly having a miscarriage, but we all know she went to plan parenthood. ha.&nbsp;<br /><br />I just can't put into words how much this year has changed me and how much fun it has been.<br /></p>"
"eventtime","2006-04-15 00:51:00"
"current_moodid","132"
"url","http://doodily-det.livejournal.com/42163.html"
"userid","4074"
"itemid","163"
"event","im so excited. im flying out to see jonathan tomorrow!!! yay.





i love college."
"eventtime","2006-02-15 17:32:00"
"url","http://doodily-det.livejournal.com/41903.html"
"userid","4074"
"itemid","162"
"event","<P><IMG src=""http://i3.photobucket.com/albums/y51/sexysarah1/hcwh.jpg""></P>
<P>&nbsp;</P>
<P>:]</P>"
"eventtime","2006-02-08 23:38:00"
"url","http://doodily-det.livejournal.com/41688.html"
"userid","4074"
"itemid","161"
"event","IM SO EXCITED! Im goin to be visiting jonathan in 3 weeks.eeeee!!!!!!!!!! gah, i cant wait. You all should go to my myspace and see the pic of us together the weekend he graduated, he is so cute in his uniform! lol. especially in his blues (another uniform which happens to be black lol). i miss him so much. can u beleive that we have been dating for 3 1/2 years?! craziness. 4 years in july. im gunna marry him, i swear. :) well i hope.

anyway, how are you guys? i never talk to anyone, and you never comment back to me .. what the fuck?

well i must get to my crap load of hw.

P.S. CONGRATS LIZ!!!!! Well to you and kyle :) ... isn't it amazing? :)"
"eventtime","2006-01-30 15:28:00"
"url","http://doodily-det.livejournal.com/41262.html"
"userid","4074"
"itemid","160"
"event","hey guys! i haven't been on here in forever. well i do have a life, LOL. 

anyhoo. im loving life right now, even though jonathan lives like 4000 miles away. he now has a cell phone and we can talk on the phone. its so weird, it feels like a luxury now after bootcamp. im gunna go visit him in about 4 weeks, presidents day weekend!!!! i cant wait. His graduation was really fun, and loved hanging out and getting to know his parents better. It was fun. (even though he can't do any PDA in uniform!!!!!, jus like Marching band). he told me that we are going to celebrate valentines day when i get there :). i can't wait!

It's so awesome too because cory is there. hi cory! lol. but jonathan already has close friends and a best friend there in so. carolina (they met in bootcamp). i met a couple of them at his grad. im so proud of him :). 

well im gunna go, cuz im sick of typing lol. and im on my roommates comp.

hope u guys do well on your finals!"
"eventtime","2006-01-23 20:29:00"
"url","http://doodily-det.livejournal.com/41079.html"
"userid","4074"
"itemid","159"
"event","so ... im at the grandparents in hollister right now. my 5 year old cousin is goin nuts, and indie wont stop barking. my cousina are tooo cute. breanna is almost two, i cant believe it, and she is the most precious thing ever; her hair is white blonde. we haven't been up here for xmas in forever, usually its just easter and thanksgiving. i cant wait to see my asian cousins tomorrow. :).

i went to hit golf balls with my grandpa today. it was quite relaxing, yet embarrassing lol. i hadn't hit a golf ball in over a year. i miss playing golf soo much. i got new clubs and everything. for those of you who didn't know, i was on varsity golf my freshman year, i wasn't in marching band. 

well this year is going to be hard. i miss jonathan sooo much. i got another letter from him :).

merry christmas everyone!

i cant wait to see my cousins!!!! yay"
"eventtime","2005-12-24 18:43:00"
"current_moodid","132"
"url","http://doodily-det.livejournal.com/40892.html"
"userid","4074"
"itemid","158"
"event","Here's Jonathan, reporting from bootcamp:

Hey everyone,
Man this sucks. Its like a mix between bnad camp and maximum security prison. No, it's not so bad. I'm getting use to it. I've done pretty well so far, and apparently we have gotten past the worst week (week 2). It's suppose to feel much faster and much less pointless from now on. My days have been filled with inspections (to make sure my underwear and everything are ironed and folded properly), PT, IT (intensive training- punishment), lots of eating, yelling, and cleaning. We clean a lot. A LOT. LOTS.

The food  here is bearable, but the gas it produces is rancid (and it produces a lot). My RDCs are the best in my ship (we are the best division so far thanks to them) and are also the least difficult to deal with. They teach us what we are suppose to do rather than beat us for not doing it, after not being taught, which the other divisions do. Don't get me wrong, our chief can be ruthless when it comes to discipling us.

I heard the Air Force Boot CAMP is easy as hell. I won't go into what they do, but if you decide to join the ""military"" and don't want to stop being a civilian, join the Air Force. If you want to join a real military, join the navy or the marines. Don't do Army. Just my words of advice. Actually I'm hoping that someone will join to keep me company.

Ok, I need some letters. My address is:

(ok so i already gave you guys the address and dont feel like typing it out again. So if you want it, go to my live journal entries)

 (now back to jonathan)  WRITE ME!!!! I wanna know everyone is. Let me know what is going on back at home. Send me some pictures. Marching Band has helped me so much with this whole thing. A lot of the discipline, marching, leadership, and experience with large groups carries over into this. I'm a section leader here, which is much like a section leader in the band. It's pretty cool- I get a collar device (two chevrons and an eagle). Ok, I hope everyone is doing well! Merry Christmas, and Chanika (i had to spell it like he did in the letter LOL), and enjoy Kwanza and what not, and happy new years! TTYL WRITE ME!!!!!!!



-Jonathan


ahhhh ... i miss him sooo much. I look forward to his letters sooo much. I started crying becasue i thought iw asn't going to get one this week, because i got one on thursday last week, and the only days he can write are on sundays. but i was very releaved to see i got one from him. :) HIS MOM BAUGHT ME A PLANE TICKET (ALONG WITH HER'S AND JAMES') TO GO SEE HIS GRADUATION!!!!!!!!!! I was so excited when she told me.



Omg!!! Im so happy. ASOLUTELY NO SCHOOL FOR A WHOLE MONTH!!!!!!!!!!!!!!!!!!!!!!!!!!! but i already miss my friends. :("
"eventtime","2005-12-16 16:20:00"
"current_moodid","42"
"url","http://doodily-det.livejournal.com/40490.html"
"userid","4074"
"itemid","157"
"event","im so head over heels in love, no joke.

:)"
"eventtime","2005-12-10 23:31:00"
"current_moodid","86"
"url","http://doodily-det.livejournal.com/40409.html"
"userid","4074"
"itemid","156"
"event","ok. so here is jonathan's address!!! he would love to hear from you guys. he loves getting letters :).

S.R HINES, J.A.
DIV. 055 SHIP 09
RECRUIT TRAINING COMMAND
3415 SAILOR DRIVE
GREAT LAKES, IL
60088-3515

HE CALLED ME TODAY! omg, i about cried, hearing his voice. So, I am definately going to his graduation and i cant wait! i miss he soooooooooooooooooooooooooooooo very much. 

Its so weird, i can't stop smiling, and all we did was talk for 15 min."
"eventtime","2005-12-09 14:59:00"
"current_moodid","15"
"url","http://doodily-det.livejournal.com/39995.html"
"userid","4074"
"itemid","155"
"event","i just found out that my 7th grade history teacher, mr mitch (sactown), shot and killed himself. never would have thought."
"eventtime","2005-12-08 12:44:00"
"url","http://doodily-det.livejournal.com/39682.html"
"userid","4074"
"itemid","154"
