"names","values"
"itemid","3"
"event","<br><center><b>Locked!</b></center>

<center><br><img alt="""" src=""http://i73.photobucket.com/albums/i214/playingthevictim/icon_protected-1.gif"" /><img alt="""" src=""http://i73.photobucket.com/albums/i214/playingthevictim/icon_protected-1.gif"" /><img alt="""" src=""http://i73.photobucket.com/albums/i214/playingthevictim/icon_protected-1.gif"" /></center>



<p><br><lj-cut text=""more!"">

Add me first!

Comment with:
<br>1.Name
<br>2.Age:
<br>3.Location:
<br>4.Aim msn or yahoo sn:
<br>5.How U found my Lj:

<p><br>EXAMPLE:
<br>1.Tatiana
<br>2.15
<br>3.CO
<br>4.untldsecrets/yahoo sn
<br>5.I made this page...........duh

<p><br>Plan and simple.There is an 100% chance that I will add you I am not picky.But take note that I am a comment whore so I will appreciate if you comment on my entries because most likely I am going to comment on yours and if I dont that just means I had nothing to say but I did read it.</lj-cut>"
"eventtime","2020-02-27 17:15:00"
"current_moodid","92"
"url","http://dopeproduct.livejournal.com/896.html"
"userid","4087"
"itemid","31"
"event","Its about time for me to leave LJ! I dont have time to update or comment so yea I'm gone.If I do return it won't be no time soon and I will have a new name and everything.Bye Ya'll!!



<center><b>&hearts;</b>-------Tatiana</center>"
"eventtime","2007-02-17 16:16:00"
"url","http://dopeproduct.livejournal.com/8191.html"
"userid","4087"
"itemid","29"
"event","Well I made it home safely.There is about to be another big snow storm here.=( Im not excitied about that.I will have a real entry tomorrow with lots of pics.I will also be reading and commenting on eveyone's journal.

<center><b>&hearts;</b>---Tatiana</center>"
"eventtime","2007-01-09 16:51:00"
"current_moodid","113"
"url","http://dopeproduct.livejournal.com/7449.html"
"userid","4087"
