"names","values"
"itemid","51"
"event","SGkgRXZlcnlib2R5LA0KDQpJIGhhdmUgc29tZSB1cGNvbWluZyBzdGFuZC11cCBjb21lZHkgcGVyZm9ybWFuY2VzLCBpZiB5b3XigJlyZSBpbnRlcmVzdGVkLiANCg0KVGhpcyBTYXR1cmRheSwgNC81LzA4LCBJIHdpbGwgYmUgcGVyZm9ybWluZyBhIDUgbWludXRlIHNldCBhdCB0aGUgRm9vbOKAmXMgRmVzdC4gVGhpcyBpcyBhIGZ1bmRyYWlzZXIgZm9yIEVkbXVuZOKAmXMgTWlkZGxlIFNjaG9vbC4gSXQgY29zdHMgJDIwIGFuZCB3aWxsIGJlIGhlbGQgYXQgQ29udG9pcyBBdWRpdG9yaXVtLiBJbiBhZGRpdGlvbiB0byBteXNlbGYsIHRoZXJlIHdpbGwgc29tZSBvdGhlciBjb21pY3MsIHNvbWUgZGFuY2VycywgYW5kIGEgcm9jayBiYW5kIHBlcmZvcm1pbmcuIFRoZSBldmVudCBzdGFydHMgYXQgNyBwbSBhbmQgSSB3aWxsIGJlIHBlcmZvcm1pbmcgYXQgOC4NCg0KVGhpcyBNb25kYXksIDQvNy8wOCwgSSB3aWxsIGJlIHBlcmZvcm1pbmcgYSA1IG1pbnV0ZSBzZXQgYXQgdGhlIEZseW5uU3BhY2UuIFRoaXMgaXMgdGhlIGZpbmFsIHBlcmZvcm1hbmNlIGZvciBhIHN0YW5kLXVwIGNsYXNzIEkgaGF2ZSBiZWVuIHRha2luZy4gVGhlcmUgd2lsbCBiZSByb3VnaGx5IDEzIGNvbWljcyBwZXJmb3JtaW5nIDUgbWludXRlcyBlYWNoLiBUaGUgZXZlbnQgaXMgZnJlZSBhbmQgb3BlbiB0byB0aGUgcHVibGljLiBJdCBiZWdpbnMgYXQgNyBwbSwgYW5kIEkgd2lsbCBiZSBwZXJmb3JtaW5nIGF0IGFwcHJveGltYXRlbHkgNzoxMCBwbS4NCg0KSWYgeW91IGhhdmUgYW55IHF1ZXN0aW9ucywgZmVlbCBmcmVlIHRvIGFzayBtZS4gSSBob3BlIHRvIHNlZSB5b3UgaW4gdGhlIGF1ZGllbmNlIQ0KDQpUaGFua3MsDQpEdXN0aW4="
"eventtime","2008-04-02 16:22:00"
"url","http://dustinopolis.livejournal.com/13133.html"
"userid","4323"
"itemid","50"
"event","My birthday was just over a week ago, and I have to say, 24 is treating me very well. If anyone's looking for an age to be, I highly recommend it.

On a completely different note check out these links, you won't be sorry:
http://flickr.com/photos/boyshapedbox/sets/72157603957925616/
http://344design.typepad.com/photos/timetravel/01epttmmarquee.html

Also, if anyone knows who did a ska/punk cover of this posts song, I'd appreciate it. I found it tagged as Reel Big Fish, but that isn't right. I've also heard Me First & the Gimme Gimmes and Save Ferris mentioned, but I don't think it's either of them either."
"eventtime","2008-03-07 15:26:00"
"current_moodid","15"
"url","http://dustinopolis.livejournal.com/12881.html"
