"names","values"
"itemid","61"
"event","Hello, LJ Folks. This blog is coming straight to you from the Whitcomb Computer Lab located at Hiram College in scenic Hiram, OH.
This will be the last blog I create from Hiram, OH.
Folks, I believe I have made a huge life decision. It's not final, but I think it will be soon. 
I am putting this here as opposed to Facebook because I do not want certain people (roommate, or just people at Hiram) to read this before my decision is final. I don't necessarily need reassurance in my decision, but most people who know me very well (i.e. YOU GUYS) know I have a great aversion to both decision making and change. Which is why this is a huge, huge deal.
I believe I am going to transfer.
I have been completely unhappy with my life at Hiram College since the day it began.
I have not made a best friend, or any ""real"" friends for that matter.
Sure, I have very friendly acquaintances.
But you know what?
I could walk away from this place tomorrow and never, ever look back. And not be overwhelmingly sad, either.
And that's just not the way I want to feel about my school. 
I love school. I love learning. That's why I want to be a teacher. But I have absolutely no attachment to Hiram. As a matter of fact, I don't particularly like Hiram. I would not recommend Hiram.
I am slightly happier at Hiram this year, but it is not for a good reason. The reason is mostly because I have a car and I can escape. Seriously. I'm happier this year because I can get the hell out of here. Not a good way to feel. 
This place is in the freaking MIDDLE OF NOWHERE. Rural like you could not even imagine. I have to drive 25 minutes if I want Taco Bell, alright? I have no idea why in the world I ever thought I would be happy here when I love my conveniences at home so much.
Hiram is for some people. In fact, Hiram is for the vast majority of the 1100 students that attend Hiram. Most of them love it. I feel no ties and no attachment. I want to love where I go and have pride in it. I want to feel like the school I go to is my home and not want to leave there every second of every day.
Frankly, it comes down to happiness. I am not happy here. As a matter of fact, I have been miserable nearly every second I have been at Hiram in my time here. I didn't tell anyone really, but my considerations of transferring started back in March. I applied to other schools back then but decided to give Hiram another chance. It was the wrong choice. 
So where will I end up? I'm leaning heavily towards Kent. If anyone doesn't know, my college decision my senior year came down to Hiram or Kent. Once again, I chose wrong. However, I'm also looking into BW, which would be obviously closer to the small school feel I'm used to, although the small school feel is part of my turnoff to Hiram, I suppose.
I know I have more to say on this issue. Maybe comments can prompt some of what I know I want to get out? Yes well, comments appreciated."
"eventtime","2008-09-28 22:09:00"
"url","http://elbeado88.livejournal.com/15665.html"
"userid","4465"
"itemid","60"
"event","INSTRUCTIONS:
write twelve things,
intended to different people.
never tell which one is to who.

some really obvious. some not so much.


1. i'm sorry you feel we have nothing in common anymore. i'm also sorry you feel it's all my fault. it's not. we both have contributed, both by changing and neglecting to change. you are still someone i love so much and i want to be friends with you forever, but we just need to accept each other as we are.

2. you are still one of the best people to be around. you're so kind, and i wish i hung out with you more. we had our fun times. then we grew apart. (naturally?) you're just fun. i don't give you enough credit.

3. i don't know who i'd be without you and your comic relief. you've kept me from going insane many times. i'd love to go to school w/ you next year, sadly there are other factors =( you are a true friend and i'm glad i know you as well as i do.

4. i miss you. insanely. you're truly the most fun person i have ever met. i love how we can not talk for months and then get together and be BFF again. i just wish there wasn't those periods of months in which we dont talk. hope you're having fun w/ the nuns!

5. i hate how you've changed. you think you're some ghandi-like wonderful human being. you're not. you ditch people who have stuck by you for years because of your own petty little problems. please stop being so fake. i can't stand it.

6. i'm sorry things turned out the way they did, seriously. i still think you are very fun and talented. but your head is too big. you think you're everything. you're not. i really can't deal w/ someone so cocky. it's okay to feel like you're doing well at something, but please realize you are not god's gift to the world. maybe some day things will work out.

7. sometimes i'm a bitch to you. sometimes you annoy me soo bad. but yet, you are my best friend in the entire world. i've never met anyone so genuine and caring. you've been there for me ALWAYS. never once did i have a problem that you wouldnt listen to. im forever thankful for who you are, who you always were, and who im sure you always will be.

8. frankly, i don't care about you anymore. you're the one who's isolated yourself from everyone, and yet you want to turn it around on all of us and say its our faults?? im sorry,no. you're the one who wants to be off in your own little world, never showing up to things people are nice enough to plan and invite you to. your problem at this point, not mine.

9. i wish you didnt always revert back to your old ways. i thought you changed. you really havent. i thought you would have so much more pride for yourself. you dont. please give yourself a chance. you're so much more than you let yourself be.

10. you're an inspiration to me. im sure you dont realize it. its not like we talk all that much. but you are. you did something i'd never be able to do. you overcame your fears and went for your dream. YOU'RE AWESOME.

11. why are you the way you are? you've truly ruined my life. everything i had going for me was torn down by you. i dont get it. you have so many problems you wont own up to. you're going to lead a sad life if you dont change. notice how we ALL left you?? everywhere was better than being w/ you. i hate you for the things you've done. it's all out of spite.

12. i'll always be there. i miss you. i love you. theres so much to say. im sad that all this stuff in my life happened and i cant be there with you. you're always my best friend. always. from babies to adults. my applesauce buddy."
"eventtime","2006-12-31 03:39:00"
"url","http://elbeado88.livejournal.com/15365.html"
"userid","4465"
