"names","values"
"itemid","4"
"event","2day i had not-such-a-good-day. I was sooooo annoyed. There is this Krista Bryans, she is fat, ugly, smelly and the list goes on! She says she wants friends cuz she doesn't have any. she touches and winks at girls!!!! She also raises her eyes brows at girls too!!!! AHHHHHHHH! she was really getting on my mind today. grrrrrrrrrrr...."
"eventtime","2004-06-10 23:35:00"
"current_moodid","1"
"url","http://falling-crystal.livejournal.com/1053.html"
"userid","4924"
"itemid","3"
"event","2day was an ok day.... i was seriously annoyed by Krista Byrans.. a fat, ugly, stinky girl that won't shut her mouth. she has no friends. i dont get it, she says she wants friends but she keeps doing what everyone hates...grrrrrrr......."
"eventtime","2004-06-10 20:00:00"
"url","http://falling-crystal.livejournal.com/977.html"
"userid","4924"
"itemid","2"
"event","Today was tiring... i am a helper in a store named twinflies. i worked ALL day. i havn't even sat for 3 minutes. MY LEGS! i'm too tired to write. bye y'all!"
"eventtime","2004-06-06 22:38:00"
"url","http://falling-crystal.livejournal.com/611.html"
"userid","4924"
"itemid","1"
"event","Today is a very confusing day... i thought i had friends in my class... i think i m wrong. My friend Carmen, we had arguements but i never knew it would turn out as a broken friendship that can't be fixed? Well the other part of today's depressing day. my other friend Bethany said she lost her necklace and her Chapters GiftCard. I said i didn't have it and had no idea where it is... then a lot of ppl came to question me if i had it. as i said no, they had that face that says i do. what a day...."
"eventtime","2004-06-03 16:18:00"
"current_moodid","25"
"url","http://falling-crystal.livejournal.com/433.html"
"userid","4924"
