"names","values"
"itemid","4"
"event","I love my life.
Yes i do. i have the 
best friends, the best times, everything :]]

i love <b>weenie.</b>
she is my best friend.
i cant explain how much i do though.
she honestly completes me. no lie. she is
my other half. i feel i can be my self around her.
we have to many good times, and so many more to come.
we are like bipolar to eachother never meanly just beat 
eachother nd yell its fun. dude i miss her so mucho. but i talk to her like every day. ERR i love her lol. <333


and then there is ;

<b>richie.</b> i love him so mucho. no lie. ireally do.
 he is exactly like me i guess. he is so funny. 
iii love him :]] like i cant express. 
when he calls me i get very happy. 
i miss him right as he leaves. 
i love when we see eachother. his hugs, kiss, and all that. :]] 
hehe. hes suchhaacutie i cant get over it. :]]
i talk to him like everyday 4 times a day lol. 
imma very lucky girl. were are getting married in tacobell :]]] 
i really do love him :] im very happy. 
<3333333333



im like nothing like i am in school. in school im like
quite and junky unless im with my freinds or soemthing
but in general at school imm shy. out of school. nhall.
i guess the best way to get to know me is through the 
phone or aim or in person lol. :]] im a massive nerd. im not lie. i enjoy being funny im hardly ever serious yo.nd people that know me know that lol. im afarid of old people and horses stfu. :] i like to dance nd act mental challenged in public. when cars pass by i throw my self at the window and pretended im being beated or something funny. i dance retarted and sing retarted. i carry an orange dart gun. i laugh all the time. i love prank calls. when i get them and when i recive them. there fun i hate when people dont answer or they hang up. why? you know fun bud. i call people bud once and awhile. i love being with my freinds even if we just sit. i dont get bored when im with my friends never. the simplest things amuse me. i love fall and winter and summer. i love halloween nd all the leaves pumpkins and all that jawnn. im basically skater i guess. i dont dress like a man. i dont carry a purse thou. i rather no i have pockets. i play the cello. nerd i know. idc. i wear straight legs. nd i like them. i dont like homework to mucho. who does? school is fun. i play basketball nd lacrosse. idk why but people dont see me as playing a sport? is it because how i dress? thats stupid. u cant judge people. i love love love concerts. my favorite band is chiodos. i listen to hardcore, punk, rock, screamo, emo, ska, nd all that good jawnnn :]] i love music. i dont think i world would be anything without music. if u look at people. music involunance them. it does. u have punks skaters goths gansters wigers. all becuase of music and fashion. i love music yo. i love cartoons. there fun. i watch pee wees playhouse all the time. i like rockos mondern life south park ahhh real monsters invader zim anddd courage the cowardly dog and that good stuff. my parents are seperated its annoying. my dad just doesnt understand hes two i guess. its annoying. i like going on the computer. my dad does revoluntary reenactments. there fun i love them. i love the smell of vanilla coconut roxy perfum gunpowder nd chlorine. i love the ocean. i love to ski. i love to skateboard. i love my friends. and family. i love ct. vt. nh. nd jersey. also delware. i dont hate anyone. well maybe one person lol. she is so annyoing :] she doesnt quite lol. hmm i love colors and fall and and everything im a very happy person. i never get mad or at least dont show it. i dont start fights. i dont cry. unless im am really hurt. i enjoy dancing in the rain. movies mall concerts fridays striaght legs. skate boarding tv stayinguplate snow comfty junky vacation pictures monster enengry {evenknowicantdrinkthem<3richielol} i say uber mondo sick nasty yo nd all jawnnn like that well ;; boombooombooom im bored lol cant u tell?? hehe well i write mo laterrr

ahh moms coming have to do homework more laterr PCE!"
"eventtime","2006-10-24 18:47:00"
"current_moodid","5"
"url","http://fatzillaa.livejournal.com/1150.html"
"userid","4978"
"itemid","3"
"event","<a href=""http://photobucket.com/"" target=""_blank""><img src=""http://i13.photobucket.com/albums/a287/x3_gardner/weekend118.jpg"" border=""0"" alt=""Photobucket - Video and Image Hosting""></a> 

<a href=""http://photobucket.com/"" target=""_blank""><img src=""http://i13.photobucket.com/albums/a287/x3_gardner/weekend145.jpg"" border=""0"" alt=""Photobucket - Video and Image Hosting""></a>

I got my halloween costume today niggie. more pixs.


correction. i was dorthy <center>
<a href=""http://i13.photobucket.com/albums/a287/x3_gardner/weekend246.jpg"" target=""_blank"">
<img src=""http://i13.photobucket.com/albums/a287/x3_gardner/th_weekend246.jpg""></a>
</center>"
"eventtime","2006-10-24 18:03:00"
"url","http://fatzillaa.livejournal.com/940.html"
"userid","4978"
"itemid","2"
"event","<object width=""325"" height=""250""><param name=""movie"" value=""http://www.youtube.com/v/fle5f6LKTdg""></param><param name=""wmode"" value=""transparent""></param><embed src=""http://www.youtube.com/v/fle5f6LKTdg"" type=""application/x-shockwave-flash"" wmode=""transparent"" width=""325"" height=""350""></embed></object>

Me Richie nd weenie dance to thriller at 3am :]] 






ALSO




<object width=""225"" height=""150""><param name=""movie"" value=""http://www.youtube.com/v/6Xna_mO2qQU""></param><param name=""wmode"" value=""transparent""></param><embed src=""http://www.youtube.com/v/6Xna_mO2qQU"" type=""application/x-shockwave-flash"" wmode=""transparent"" width=""325"" height=""150""></embed></object>

I shoot weenie in drivebyes"
"eventtime","2006-10-21 19:45:00"
"url","http://fatzillaa.livejournal.com/593.html"
"userid","4978"
"itemid","1"
"event","The names Rachel
Call me Rae though 
Or give me a nickname

<br><br><br> 
<br><br><a href=""http://photobucket.com/"" target=""_blank""><img src=""http://i13.photobucket.com/albums/a287/x3_gardner/a-1.jpg"" border=""0"" alt=""Photobucket - Video and Image Hosting""></a>


I have a uber large sense of humor
I drink mountain dew and play ddr
I bust out in dance all the time
But i can't dance for my life
My socks never match
I'm afarid of horses and old folk
I'm in massively in love with chiodos 
My best friends name is weenie
Monster Energy Drinks = <33 
I'm serious at the right time,but hardly ever
I say words like uber mondo sick nasty and that junky






I'm a nerd in public
It doesn't bother meh
I can be shy at times
I love to make people laugh
I listen to rock emo screamo &
hardcore jazz indie all that junky
I care what people think of me
For some reason i <3 cheetah print lol
But I'll dance nd run around in public
I hate being lectured or told im not funny 
You sould i.m me >>> fattzillaa"
"eventtime","2006-10-21 19:28:00"
"current_moodid","15"
"url","http://fatzillaa.livejournal.com/326.html"
"userid","4978"
