"names","values"
"itemid","62"
"event","Well, we had our second session for our preproduction today. We finally finished 'Jessie' and it sounds FUCKING ROCKING. We switched out the acoustic and tapped in electric guitar. It sounds so much better and the drums are phenomenal. After 2 hours and a half of tweaking, editing and cleaning up the track, it came out perfect. I love Don, he is god. We still have 2 more songs to work on with him, it's gonna be a blast since he's literally such a retard, it's never boring around him. (Check him out on myspace: www.Myspace.com/donmcleodmusic)

Speaking of Don, during our session today...I got to talking about The Latency (www.myspace.com/thelatency), who are now coming out with their EP on July first, and they will be touring with Hedley all around BC (Lucky assholes). Then Don goes and says ""You know, since we're on the topic....I was wondering if it'd be ok with you two if I produced you."" And me and Maddy were like ""O.O FUCK YESPLEASE"". So now, Don of Playground productions will be producing us. He said that The Latency started somewhere like this a year ago, and look at where they are now. It's fucking killer. 

One step closer, y'know? Closer to that dream.

Moving on.....

The second song we'll be recording is gonna be about a recovering drug addict. We still haven't decided on the third song, probably something less depressing if possible. We have two serious songs, we need something more upbeat."
"eventtime","2008-05-27 22:44:00"
"current_moodid","87"
"url","http://forgotten-self.livejournal.com/15999.html"
"userid","5270"
"itemid","61"
"event","Been awhile since my last update. Ah, I guess I'll write something.

To start it off, I shall give good news. Last wednesday was a recital for SASS (School Alliance of Student Songwriting). They hold recital at the end of every year, giving the musicians a chance to show their finished work. However, they give out three major prizes as well. The first prize every year is free recording at Mushroom Studios, one of Vancouver's biggest and prestigious studios, and a music video shoot with Amazing factory.

The night started out pretty rough for me and my friend considering that we were apparently not on the list of performers that were to perform. WE signed up, we did it twice, but we forgot to send in our lyrics to Don and Prince. So we weren't written up. Don said that we would have the chance to play if someone didn't show up. We were furious. There were judges from different label companies judging the performances, there were over 300 people watching.Luckily, 5 people didn't show up. We got a spot and played the song we wrote together: Jessie. 

The song was about a young priest, just starting out at a church, falling in love with this prostitute named Jessie who came into the church almost nightly to confess. He hates how he can't do anything to save her and how he can't show his feelings for her due to his religious standing.

I gotta tell you, I felt right at home on the stage, just like always. Everything just totally washed away: Worries, thoughts, hunger, feelings, everything except for the warm warm feeling of loving the stage. People loved the performance. Once we were done, we went backstage and we ran into these boys from the band called ""The Latency"" (check them out by the way: Www.myspace.com/thelatency). They were last years winners and now they have a record deal and will be releasing a debut album soon. They saw me perform last year and they were apparently looking forward to my performance this year. They missed my performance, so when I saw them backstage..they made me play for them, privately. I was like ""HOMGHOMGHOMGHOMGHOMG."" They said they were blown away.

Me and maddy ended up winning first prize at the end of the night. Man, it was so funny. They were handing out the prizes and well..I expected us to be third, maybe second. But when our names weren't announced, I automatically sunk back in my chair and went ""well, better luck next year."" Then I heard Don say ""First prize goes to...""Jessie"" by Audrey and Maddy."" Out of 28 musicians, the judges thought we were outstanding.

Maddy was crying, I was floating on cloud nine. Now, we're going to be recording at an awesome studio, working with THE DRUMMER FROM NICKELBACK, and will be filming a music video. I'm pretty psyched. At the end of that night though, people were coming up to me, asking for autographs, telling me how they saw me last year and that they were blown away even more with my performance this year. It was an amazing feeling. They were shaking my hand, just..wow...I felt like a rockstar. 

Needless to say, it's revived the rockstar in me. I'm determined to keep writing music, and I'm totally motivated. Especially since now I've got a band together. 

Speaking of which, for the past 2 weeks I've been sending e-mails back and forth with this guy named Ashton vale (Check him out on myspace too, he's awesome: www.myspace.com/ashtonvale. He's a musician from a band called the truegoods, coming out with an album soon. He wants to work with me and try to 'sponsor' me, or bring along to all his tours to perform. It's pretty huge.

Other bands have contacted me, wanting me to join, but due to my age..they can't bring me along. But just the idea that they even considered me is fucking awesome. I'm planning to write with a few people that I met at SASS and write with Maddy a bit more. Hopefully this'll go somewhere.

Anyhow, that's pretty much the biggest thing that's happened to me so far this month. I'm still giddy, still all ""OMGICANTBELIEVEWEWON"". I'm such a dork."
"eventtime","2008-05-12 23:27:00"
"current_moodid","120"
"url","http://forgotten-self.livejournal.com/15688.html"
"userid","5270"
"itemid","60"
