"names","values"
"itemid","101"
"event","looking back I can't believe that I thought/wrote/etc. some of that stuff.  Some embarrassing, some pathetic, some sad, some hilariously unfocused C:  

What's happening today?.....

Brandon, I still love you.  I always have."
"eventtime","2009-06-24 12:45:00"
"url","http://free-fairy.livejournal.com/25861.html"
"userid","5340"
"itemid","100"
"event","since the last entry......

-I became sax section leader; we were amazing.
-I was a senior.
-School moved into 4A; band tied for 6th; all other sports excelled.
-learned that I will not become a teacher, fo' sho'.
-christmas -yay!
-got over brian 
-got over brandon
-SURVIVED GOVERNMENT WITH DODIE.
-Got accepted into CofC!!!!!!
-Graduated
-rejoiced

Salkehatchie is coming up again and I'm stoked about that.

Can't wait to go to charleston again!  as in this week!

we'll see what life throws my way soon

-lovelove"
"eventtime","2007-05-28 01:06:00"
"url","http://free-fairy.livejournal.com/25798.html"
"userid","5340"
"itemid","99"
"event","""Juice Box Paper Hat and a line of Pixie Stix"" - PlayRadioPlay

So many surfaces so colorless and bland
I've got so many colors in my new box in my hand
One day I'll think about getting
But today I'm just gonna color the sky

Start with the blue draw circular clouds
Then with the green I add the food for the cows
Next with the red I draw a house too small
For any real real person but that don't matter at all

Brown bird with a triangular beak
Yellow legs with three lines for feet
A green car with circular headlights
Bust out the scissors, gonna bring this drawing to life

Mommy please don't make me go to school
I wanna draw a castle and a dragon in a swimming pool
Yellow starts in the black
Blue moon with a happy face these days it's not right

Juice box paper hat and a line of pixie stix

I wanna be the one there
To draw you pictures and play with your hair
Virginia beach isn't too far away from you
Maybe this summer it won't be for me too



^^^^-translated to German, then French then back to English equals....


Thus, much of surfaces I have if without color and with softness thus much of colors in my news   box in my hand during one day I think of receiving   am however today me right Outward journey to colour the sky with blue clouds of circular of amount   start then with that I add green the food for the cows in more with that draws initially red   too much me a small house a true true person   however those not above all to constitute bird with   an angular invoice of the legs with three lines for feet brown colour yellow a green car with circular headlights the shears make jump outside and go, this drawing with the life to take of Mamma not   me to the school please I will leave would like a lock to draw and Drache in Swimmingpool   begin yellow in with black blue the moon with one   happy face of these days it is the paper hat of box and there a line of eleven stix does not have a presentiment of enough me would like that to be to draw Illustrations and play with your hair Virginia beach of this one is not to you too faraway perhaps It is also not the summer for me 



Pretty weird, eh?"
"eventtime","2006-07-23 01:05:00"
"current_moodid","101"
"url","http://free-fairy.livejournal.com/25506.html"
"userid","5340"
"itemid","98"
"event","Brian = amazing     I really wished that we lived closer to each other, things would be much better.

Caroline and Patrick broke up.  I'm not kidding.  It's forreal.  And so I'm going to the beach with Caroline this next week to care for her and make sure she's okay and stays that way.  

My daddy's in the hospital.  and I don't know what to do."
"eventtime","2006-06-30 17:26:00"
"url","http://free-fairy.livejournal.com/25271.html"
"userid","5340"
"itemid","97"
"event","Thursday:  I got more layers!!!  Omg.  Lynn is truly my hero!  

Friday:  Awesome day!  Brian came to Clover!  And even though we pretty much just drove around for 4 hours, it was great.  I haven't laughed that much in a while.  My cheeks were in some serious pain for the rest of the day!    Now I just have to convince my mom to let me swing down to Summerville for a day.  

Saturday:  FirstBEAT!!!!!!  Rode down to Irmo with Caroline and Patrick (love those kids!).  It was so much fun!  I love hanging out with them - unless it comes to making a decision - haha!  But anyway, Cadets got first.  They had the weirdest show - Volume 2:  Through the Looking Glass(???) - and I didn't much care for it, BUT it was executed wonderfully.  I was rootin for Phantom (2nd or 3rd) or Crown (4th).  I still got a Cadet shirt before the show - still neat.  

Sunday:  Nursery at church.  sleep/eat

My life is unbelievably arid and monotonous.  But I love it.  : )



'we're living in a den of thieves
rummaging for answers in the page
we're living in a den of thieves 
and it's contagious.....
they made a statue of us
they made a statue of us
our noses have begun to rust...' - R. Spektor"
"eventtime","2006-06-26 12:06:00"
"current_moodid","65"
"url","http://free-fairy.livejournal.com/24841.html"
"userid","5340"
"itemid","96"
"event","sleep & I are NOT getting along now-a-days......gah
couldn't sleep until 4 something this morning - grrrr - then woke up at NOON! - ahh!  c'est terrible!

watched Prime - good movie

gym - ran 2.5 miles - discovered that I've lost a total of 9 lbs. not cool

babysat - cleaned their house - didn't get paid - enough said.

came home to good food, a shower, and Will & Grace!  yay!

and now I'm here - wishing I was either at band camp, Biarittz, or Penn Center - either way, it works.  

Yeah - so I'm totally boring - I'm using someone else's playlist tonight.  I'll have my own by tomorrow (hopefully) - we'll see how time is

I might be going to see Crown tomorrow night!!!  yeah!!!  leah, syd, pat maybe and some of his people - yep - good stuff

I get my haircut tomorrow! - Hooray for Lynn & layers!!!!!!!!

yeah - boring & pointless - that's my life!"
"eventtime","2006-06-22 00:10:00"
"current_moodid","14"
"url","http://free-fairy.livejournal.com/24610.html"
"userid","5340"
"itemid","95"
"event","Well, if cookie dough is the cure for loneliness, then cookie dough has become my new best friend.  

I'm constantly tired - but I can never sleep.

I rented Pride & Prejudice today - I wasn't really sure what to expect - But it was good.  I only cried a little - but I'm allowed to express such emotions every once in a while.  Plus, no one was there to witness this event, so we'll just say it never happened.  Anyway, I highly recommend this movie, but the book even more-so.

While I was at Salkehatchie, I lost 7 pounds.  Yep.  whatever.  I'm not really big on losing weight because I don't need to lose any, just tone up a bit.  However, in the 4 days since my return, I have gained at least 4 of them back.  I have become a total fatty.  eww.  gross.  I know.  I'm working on it.  

Salkehatchie was every positive word that I could ever think of.  And I can't wait until next year! (And 5A state!)

I'm bored & lazy & tired, yet I can never sleep - It's not the same anymore....

Playlist:
- Imogen Heap ""Goodnight & Go"" & ""Hide & Seek""
- Matchbook Romance ""Tiger Lily""
- Billy Joel ""Piano Man""
- Billie Holiday ""I'll Be Seeing You""
- Michelle Branch ""Everywhere""
- Avril Lavigne ""Things I'll Never Say""
- Zero 7 ""In the Waiting Line""
- Remy Zero ""Fair""
- Ryan Adams ""Come Pick Me Up""
- The Shins ""Caring is Creepy""
- Beck ""Girl""
- Train ""Meet Virginia""
- The Calling ""Wherever You Will Go""

Yeah most are old/lame - but it's what I'm listening to - so deal : ) - goodnight goodnight!"
"eventtime","2006-06-21 01:32:00"
"current_moodid","40"
