"names","values"
"itemid","219"
"event","<text size = ""7""><center> You know...as I headed on this journey, I thought ""hey, this is going to be fun, this is going to just be easy, this is just going to be an extension of my life back in my hometown."" Boy, was I wrong. Not only did I get lost a lot, but it helped me see the beauty of growing up and getting on with my life.
Not only that, but realizing that life as I know it now will NEVER be the same and everything that I thought I knew is now going to change and everything that I hope to know is now going to be attainable at a cost. Everything is at a cost....the real question is now, is it worth it.
Are my dreams worth the cost I am going to have to pay to get them? Well....in a simple word ""yes"" they are...and yes, I will reach them.
I will have trouble no doubt, but the outcome....will entail sweet victory."
"eventtime","2008-04-17 20:51:00"
"current_moodid","45"
"url","http://funkychick630.livejournal.com/56195.html"
"userid","5445"
"itemid","218"
"event","<font size=""4""><b>...its been awhile, so ill just jump right in. =]<br /><br /><font size=""3"">school starts tomorrow, ill be a senior, yes im a tad nervous, but nonetheless relieved about getting started, but this summer has been awesome! short too, but awesome! <br /><br />God is amazing and He shows Himself in so many ways. After superwow, He showed Himself again and again, and is still doing that today.&nbsp; I have grown so much as a christian and I can honestly say that Jesus is the best thing on the face of the world, although I have not traveled the world, yet! but thats another story.&nbsp; Just to see Him working here is one great thing.&nbsp; The evidence of His love is prevelant here. <br /><br />meanwhile, my interests have been peaked by photography. I really have taken a liking to it and feel that it would be worthwhile to turn into my lifetime career. =] <br /><br />oh, and i also have taken a liking to sushi!!!!! and cottage cheese.<br /><br />ha ha...ok, well&nbsp; thats enough.<br /><br />peace.</font></b></font>"
"eventtime","2007-08-06 20:25:00"
"current_moodid","31"
"url","http://funkychick630.livejournal.com/55866.html"
"userid","5445"
"itemid","217"
"event","Somewhere out there, there is that <b>one </b>person who loves you.&nbsp; <br /><br />and then it just leaves me blank.<br /><br />I was thinking a lot about that tonight.<br /><br />Why rush into anything??<b> ha ha.</b><br /><br />It will just end up into hurt, but hey, why not, wait and then see whether or not it could work.&nbsp; yeah.<br /><br /><br /><br /><br />Well what a happy new year.<br /><br /><br />"
"eventtime","2007-01-03 22:10:00"
"current_moodid","127"
"url","http://funkychick630.livejournal.com/55659.html"
"userid","5445"
"itemid","216"
"event","<p align=""center""><strong><font size=""3"">Well, life is complicated, but then it wouldnt be called life would it?<br /><br />This morning, there was See You At The Pole.&nbsp;&nbsp;<br />They talked about being still and knowing....so that is my answer my big question.&nbsp;&nbsp;<br />I am just going to let God handle the problem and i'm not going to worry about it anymore.<br /><br />Tonight was really good.&nbsp; Matt talked about spending time with God.&nbsp; I need to do more of that.<br /><br />Tomorrow is hat day.<br /><br />Sometimes I think I am to nice....but I can be cold-hearted.<br /><br />This entry really isnt that long, but everything that is on my mind right now I cannot write it down, so it must just stay inside.<br /><br />5th quarter is Friday after the game...ooh, mechinal bull. Gotta love that.<br /><br />Ok, well i'm going to go to bed now..</font></strong></p>
<p align=""center""><strong><font size=""3"">tata<br /><br /></font></strong></p>"
"eventtime","2006-09-27 22:34:00"
"current_moodid","10"
"url","http://funkychick630.livejournal.com/55424.html"
"userid","5445"
"itemid","215"
"event","<div align=""center""><strong><font size=""4"">9 MORE DAYS!!!!!<br /><font size=""3"">until what?, you ask? Well I get to see Josh in 9 more days, and yes, there is a countdown.<br /><br /></font></font></strong><font size=""4""><font size=""3"">Life is going better now, I have seemed to come out of that two day slump that I was in.<br /><br /><font size=""5"">Progress reports came out today, I was 2 points off from having a B in Geometry. =[ But the next test is Monday, so by then I should be able to pull it up, and why am I talking about school?? hum, baffelling.<br /><br /><font size=""3"">Church tonight was good, well actually it was pretty great.&nbsp; No church next because of revival.<br />=]<br /><br /><font size=""6"">What else is there to write about?<br />hum...<br /><br /><font size=""7"">Nope, nothing.<br />=]</font></font></font></font></font></font></div>"
"eventtime","2006-09-13 21:21:00"
"current_moodid","101"
"url","http://funkychick630.livejournal.com/55285.html"
"userid","5445"
"itemid","214"
"event","<div align=""center""><font size=""3"">Ok, so why is it that when life seems to be going so well, something jsut smaks you in the face, its like trying to get back on the bike/horse/whatever analogy that you want to use, but hopefully the whole picking myself back up process wont be that bad.<br /><br />Tonight, my mom and I went to an aerobics class....yeah, it was...well to say in the least, challenging.&nbsp; I'll be sore tomorrow.<br /><br /><font size=""4"">Gah lee, I've been feeling so weird this week, I'm missing Josh like crazy.&nbsp; I talked to him on Monday for like 11 mins and 53 sec. after I got off the phone I thought I was going to be all happy, but the result was just tears, I didnt want that to be the end, ya know?&nbsp; Its a complicated feeling, but there isnt really any use in dwelling the the fact that I never get to see or talk to him. Sometimes, I just feel like he doesnt really like me, because of his actions, if that makes any sense, but then again, he is busy, and he has a life, but then I think, well is he to busy for a girlfriend that he cant like communicate with like once a day?&nbsp; Thats just how I think sometimes, but then I tell myself that its not worth getting all sad over because thats not it.&nbsp; Alrighty well...<br /><br /><font size=""2"">Goodbye.</font><br /></font></font></div>"
"eventtime","2006-09-12 22:16:00"
"current_moodid","4"
"url","http://funkychick630.livejournal.com/54980.html"
"userid","5445"
"itemid","213"
"event","<font size=""4"">I do not know how to spell, just letting ya know.<br /><br /></font>
<div align=""center""><font size=""3"">Today was fun.&nbsp; We wen out on the lake and swam and had a good time.<br /><br /></font>
<div align=""right""><font size=""4"">Tomorrow, school starts back, =[<br /></font>
<div align=""center""><br />Alrighty, well....Nerts is the new game of the year.&nbsp; Last year it was ERS, but now.... not so much.<br /><br /><font size=""1"">How pathetic is this that I have to write about cards in my journal, ha, I have no life. Oh well.<br /><br /><br /><font size=""5"">NOTE: No work for me next weekend!!!! YAY!<br /><font size=""4""><br />Alrighty, well back to my music.<br /></font></font><br /></font></div>
</div>
</div>
<font size=""4""></font>"
"eventtime","2006-09-04 23:23:00"
"current_moodid","59"
"url","http://funkychick630.livejournal.com/54529.html"
"userid","5445"
"itemid","212"
"event","<div align=""center""><font size=""4"">School.....There are no words to describe how I feel about that one.<br /><br /><font size=""5"">Boys. Hum, well they are complicated, I would just love for like one day just to think what they think. Why do they do some of the things they do?&nbsp; I will never know. <br /><br /><font size=""3"">Friday is the 1st football game, with 5th quarter after that.&nbsp; The Vine is tomorrow! I cannot wait!<br />Also happenning this Friday, I GET TO SEE JOSHUA!!!!!!!!!!!!!! I am so pumped, because I havent seen him in about a month and I NEED to see him.<br /><br /><font size=""5"">I am EXTREMELY stressed right now, so yeah, but its all good...no, not really.<br /><br /><font size=""3"">Well, I really dont feel like typing anymore so ta ta.<br /><br />=]</font></font></font></font></font></div>"
"eventtime","2006-08-29 21:13:00"
"current_moodid","40"
"url","http://funkychick630.livejournal.com/54476.html"
"userid","5445"
"itemid","211"
"event","Well, this is more of like just venting/spilling everything inside:

First of all, I shoud be a lot more off the edge, if you will, than I have been the last couple of days. &amp; heopfully no more crazy eating.

Second, why is it that I read into little stupid harmless things??? HUM? well the answer?? because thats what I do, not to mention the freakin past. Ok, well moving right along.

Third, School is the devil, not to say its hard, but thats the thing, IT IS.&nbsp; &amp; I know that I sound like a completely stupid person because like I have decent classes, but whatever.
&nbsp;
Fourth, My mind seems to be in other places lately, not to say bad places, just different ones. 

Fifth, I have to work this weekend..... yay me.

Sixth, THE OFFSPRING comes to a dvd player nearest you. OoOhh, we are going to be crazy people this weekend.

Seventh, MySpace is totally addicting.

Eighth, I shoud be in bed.

Ninth, I hope Ri feels better.

Tenth, GAHHHH!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
ok, that was the venting part.

//bye"
"eventtime","2006-08-17 22:09:00"
"current_moodid","9"
"url","http://funkychick630.livejournal.com/54188.html"
"userid","5445"
"itemid","210"
"event","<div align=""center""><font size=""3"">Well, I just feel like writing tonight, I dont know what about, but I just feel like getting some stuff out.<br /><br /><font size=""4"">First of all school starts in like 2 days. Yes, even though I try to deny it, its still here and no matter how much I want it not to be, it is and I have to accept it.&nbsp; I hate to admit it, but I am kind-of excited, its just a good feeling knowing that I am going to be an upperclassmen for the first time in my life.&nbsp; Last year was great because it was all like oooh domination over the freshmen and now its like oooh domination over the sophmores and the freshmen. Nothing like being power-hungry, eh?<br /><br /><font size=""2"">Second, There is the whole sister thing.&nbsp; I mean dont get me wrong, I love her and I would do anything for her and I tell her a lot of things, we are like best friends and I know her and I have had to be around her all my life, but sometimes, oh man.&nbsp; I just dont get it, I feel like she thinks that I am going to abandon her and i'm like no, are you crazy? I just want to smack her for thinking such thoughts and I...ahhhh.&nbsp; But then again, I wouldnt be able to live without her because she knows me and she still loves me and I know that I can always go to her and she will listen to me(well sometimes) and then usually give me some sort of wisdom back on my situation.&nbsp; Oh, and I HATE it when people think they know my sister better than me, for example, we had a fight a while ago and I knew it was best to just let her cool off, but no someone thought that it would be best for me to go and talk to her and I was like no, thats no a good idea, but they insisted and I did and it made it worse.Yeah, I win on that one.<br /><br /><font size=""5"">Third, I am the happiest girl in the world. Why, you ask?&nbsp; The reason is none other than Joshua. I love him.&nbsp; I know most people are all like, you dont love him, you have only been dating for like 10 days, and I am usually one of those people, but in this situation, I feel as if I really do truely love him, its just one of those things that you cant explain.&nbsp; I dont know how it happened, but I know that it did happen for a reason and I am so happy that it did.&nbsp; Its different being with him, there no over-obsessiveness going on(well maybe on my part, but hey come on now), Every time I see him, I still get nervous that i'm going to say something stupid or that he wont like me, but then i'm like ""well, hes liked me so far, so why not just be yourself"" and then, usually its all good. That is when I do get to see him. Oh gosh, I am rambelling on and on and I cannot spell worth anything.<br /><br /><font size=""4"">Fourth, I love Maria.&nbsp; I have never been this close to anyone thats not related to me, but we are one person, so ya know.&nbsp; I would have never made it through high school without her right there.&nbsp; She stuck with me through all the STUPID crap that I have dragged her through, and good lord, she is tough.&nbsp; Oh the good times weve had, Oh yes, Mr Millsaps I still remember him and the rendouvxes weve had, yes yes, good times. Oh, and Kashi trail mix bars, yes and staying up till ten and sleeping on my computer and taking crazy pictures and sleeping outside and doing fun crazy stuff and I love her!<br /><br /><font size=""2"">Well, I would be suprised if anyone was still reading this because its like the longest entry that I prob have ever like typed, but ya know, sometimes you just need to get your feelings out and thats ok.<br /><br /><font size=""1"">Ok, Fifth, Why do people have to be stupid?&nbsp; I know that i'm not the brightest one at times, but really come on.&nbsp; Some people just give off that stupid vibe and your like good lord, whats the deal man.&nbsp; It rather drives me insane, ya know?<br /><br /><font size=""3"">Well, Jons party was fun.&nbsp; Maybe I need to work on my soccer skills a tad, but I wasnt really trying for the record, and oh yes,&nbsp; Ri discovered that sitting on my car was like perfect for stargazing, so i'm going to keep that one in mind.&nbsp; <br /><br /><font size=""6"">If you want something so badly then why dont you just go for it???? I'd like to ask that question to some people, gah, it makes me mad, but whatever.<br /><br /><font size=""4"">Well, I have work tomorrow and its already like midnight, whooo. I;m going to get some sleep, well at least try to.&nbsp; Ok, well peace out.<br /><br />\\goodnight.<br /></font></font></font></font></font></font></font><br /><br /></font><br /></font></font></div>"
"eventtime","2006-08-04 23:36:00"
"current_moodid","31"
"url","http://funkychick630.livejournal.com/53998.html"
"userid","5445"
"itemid","209"
"event","<div align=""center""><font size=""3"">Today be<strong> Monday </strong>and Refuge was also tonight, ah, it was Eric and Annissa's last Refuge. I'm gonna miss them alot, they are awesome people.<br /><br /><font size=""2""><strong>Dare </strong>I say, <strike>school</strike> starts in exactly one week. =[ =[ Gah, summer is almost over, but at least it will still be nice outside, even if I have to spend most of inside.<br /><br /><font size=""5"">YaY! Wednesday I get to see <strong>Joshua!</strong> Thats only like two more days &amp; I cant wait. ah, I love him so much, he is the most awesomest person I will ever meet &amp; he makes me smile, alot. <br /><br /><font size=""3"">I got to see Ri today, that was a blast going over there and pigging out on bad food, but I suppose now that our time for eating bad is over and its back to reality I go.<br /><br /><font size=""4"">I bought a new cd tonight, its called the best new music, its with like new artists and such. hum...quite interesting indeed.<br /><br /><font size=""6"">Random Picture Time:::<br /><img width=""650"" height=""488"" border=""8"" src=""http://img.photobucket.com/albums/v343/sarahbl/Other%20Photos/SarRi053.jpg"" alt="""" /><br /><font size=""1"">Ooh, its BEAUTIFUL! Tis be Ri and Me just laying on my floor, dont we look quite lovely! =]<br /><br />\\<font size=""3"">GOODBYE!</font><br /></font></font></font></font></font></font></font></div>"
"eventtime","2006-07-31 22:41:00"
"current_moodid","125"
"url","http://funkychick630.livejournal.com/53749.html"
"userid","5445"
"itemid","208"
"event","<div align=""center""><font size=""7"">Yay, its offical!!!!! Now tis be Sarah &amp; Josh, no more singleness for me!!!<br /><br /><font size=""4"">I get to see the lovely Josh today.&nbsp; I cannot wait. =]<br /><br /><font size=""3"">We are cleaning and getting the guest room ready, so fun fun. <br /><br /><font size=""2"">Hum..I bought some coffee yesterday and made some. It was Swiss Chocolate Almond.<br /><br /><font size=""4"">Well, I really dont think there is anything else to say, so tata.</font></font></font></font></font></div>"
"eventtime","2006-07-27 11:45:00"
"current_moodid","125"
"url","http://funkychick630.livejournal.com/53412.html"
"userid","5445"
"itemid","207"
"event","<div align=""center""><font size=""4"">Yay! First day of my job went very good, it was rather easy, but it was also very slow. Lunch was good, I went to eat with my parents, yum.&nbsp; <br /><br /><font size=""3"">I am extremely tired right now, so I really dont know what to say, but yeah.<br /><br /><font size=""1"">I just dont get some people, its like they just hold grudges and then try to get you back whenever and however they can, gah lee, its like they have nothing better to do with their lives then to try to make yours bad.&nbsp; But, yeah its all good I suppose. Its just on of those live and learn and forget about them things.<br /><br /><font size=""2"">Oh ok, here is a random picture:<br /><img width=""400"" height=""300"" align=""middle"" src=""http://img.photobucket.com/albums/v343/sarahbl/Other%20Photos/1005.jpg"" alt="""" /><br />Ooohh, Yes, tis the of the Antartic Duct Tape Team symbols, gotta love it. =]<br /><br /><font size=""7"">=]</font></font></font></font></font></div>"
"eventtime","2006-07-22 18:09:00"
"current_moodid","14"
"url","http://funkychick630.livejournal.com/53128.html"
"userid","5445"
"itemid","205"
"event","<font size=""5"">Wow, there is most def something to be said about amazing people, one of which I am currently ""talking"" to, yes, me, can you believe?&nbsp; I know, right? He is truely supurb, fantastic, and everything else sweet that you can think of. <br /><br /></font>
<div align=""center""><font size=""3"">Well, church was really enjoyable, choir was good too, but its going to be a sad thing me not getting to go to DollyWood, but hey it will be ok, why? because I have a job, yes me, a job.&nbsp; Who would have ever thought? <br /><br /><font size=""7"">Life Is Truely Awesome &amp; thats all I have to say about it.<br /><br /><font size=""1"">so anways, I like chaning the size of the font, ya know, keep it real. Hum...well Im going to go doing something right now, so....<br /><br /><br /><font size=""4"">Peace</font></font></font></font></div>
<font size=""5""></font>"
"eventtime","2006-07-19 22:42:00"
"current_moodid","13"
"url","http://funkychick630.livejournal.com/52724.html"
"userid","5445"
"itemid","204"
"event","<div align=""center""><font size=""3"">Well, today, I got up and then went back to sleep and then mom and I went and got some paint and then we were painting the guest room, but then I decided to clean the kitchen to be nice and I am going on and on about what I di in one long long sentence and everything and yeah and there are way to many ands in this sentence and yeah.<br /><br />There is church tonight, yay! &amp; then there is choir practice.&nbsp; <br /><br />I have a JOB!!!! Go figure, right. But hey, its like seven dollars an hour, so thats not bad for beginning.&nbsp; But I will only be working on the weekends and only like till five, so no big deal. <br /><br />Ok, well tis almost five and there is nothing really to do here. I am so hot right now(like tempreature wise).&nbsp; <br /><br />&lt;3</font></div>"
"eventtime","2006-07-19 16:48:00"
"current_moodid","92"
"url","http://funkychick630.livejournal.com/52415.html"
"userid","5445"
"itemid","203"
"event","<div align=""center""><strike><font size=""3"">T</font></strike><font size=""3"">oday is Tueday. I suppose its going to be sunny or so I hope. I woke up at eight, and so far thats a record. yep. <br /><br /><font size=""2"">Hum...So, Josh and I are ""talking"" now.&nbsp; I never thought that I could actually get someone like that, not in a bad way, but in a way like, WOW!&nbsp; Its awesome, hes awesome, life is awesome! <br /><br /><font size=""1"">I think i', going to paint today, because thats what I feel like doing, so yeah.&nbsp; Yeah, im bored out of my mind right now.<br /><br /><font size=""5"">school starts in like three weeks. =[ =[ =[ =[ i hate the thought of it. This summer has so kicked last summers butt. <br /><br /><font size=""6"">Maria C Daves is my best friend!!!!<br /><br /><font size=""7"">=]</font><br /></font></font><br /></font></font></font></div>"
"eventtime","2006-07-18 10:28:00"
"current_moodid","99"
"url","http://funkychick630.livejournal.com/52155.html"
"userid","5445"
"itemid","202"
"event","<div align=""center""><strong>SuperWOW was awesome!!! Thats all I can say, I learned so so much &amp; I loved it.&nbsp; God showed me alot in the week I was there. I had been praying about what I should do about something and God answered it. It was awesome. Our team got 2nd place in the basketball tournament, not bad if you ask me.&nbsp; The air on the buses broke =[ so we had to ride the whole way back sweating like animals, yes, that sucked! <br /><br />Today, I went to church and then I came home and then I went back, yes I know, I lead an exciting life. Now, I am just sitting here doing nothing, so yeah. I think I might go outside and stargaze, thats always fun.<br /><br />Hum..Theres tons of things on my mind, but I dont know where to even begin to try to express them, its a weird feeling. <br /><br />We have to re-paint some of the house this week, wow, that i going to be a blast.&nbsp; Well, this is enough, I am going to go do something. <br /><br />TaTa <br /><br />=]</strong></div>"
"eventtime","2006-07-16 21:25:00"
"current_moodid","114"
"url","http://funkychick630.livejournal.com/51932.html"
"userid","5445"
"itemid","201"
"event","<div align=""center"">Tis Friday night &amp; I am sitting here watching NUMB3RS, not that I wasnt invited to so anything, I just got home from a family dinner and I didnt feel like going back out, so there ya go.<br /><br />I went to the doctor today, they took a blood sample, I am supopsed to get the results on Monday, but I will be gone at SuperWow, which I am totally not complaining because I want to go and its gonna be so much fun.<br /><br />Ri is home, yay. I am going to go see her tomorrow and we are going to watch the world cup third place: Portgual against Germany.&nbsp; That should be a good game, but Sundays game will be better.<br /><br />Tomorrow, I am going to the gym and then to Ris and then i'm helping mom and then to the drive-in.&nbsp; I dont know why I wrote all that I am going to do tomorrow, I just wanted to, so yeah.<br /><br />Hum....I had some coffee tonight, but somehow I am kind-of tired...blah blah.<br /><br />I need to wash my car eh... Oh yeah, I finally got my website built, there is alot of work to still do, but for the main part its a start. Its http://sarahblewis.co.nr &amp; its pretty wicked if you ask me, but I am prob just biast because I built the thing.<br /><br />Welp, this is an interesting tv show, this is the first time that I have watched it.<br /><br />&gt;Much Love, <br />&nbsp; bye bye</div>"
"eventtime","2006-07-07 22:38:00"
"current_moodid","114"
"url","http://funkychick630.livejournal.com/51561.html"
"userid","5445"
"itemid","199"
