"names","values"
"itemid","151"
"event","Alright so it's a month later.  I'm not even sure if anyone reads this anymore.  school starts in a couple of weeks.  Summer has gone by so fast.  I'm anxious to get my schedule for this year though.  I'm somewhat excited to be a junior.  One year closer to college, and sooner or later i'll be able to drive legally.  I can not wait!!!  I had so much to write a few minutes ago..... yea but that was then. 

I've been going to my moms work a lot.  It's so much fun.  I get to see my little Randy look alike.  I love malik.  Omg he's soooo friggin adorable.  I'm so upset he won't be there next summer.  :( tear

Two of my aunts are having surgery this week.  One tomorrow, and one on thursday.  It's going to be crazy, considering i'm at the barn from tomorrow until probably....the 28.  Which kind of sucks because it's me and umm me 24/7.  Maybe Tommy and Joel will come and work.  At least Joel entertains me.

The 27 I have my Finals for riding.  I'm soo excitied.  But i have to have a lesson with Paul which is scary.  I've been going to him since i was about 7 and he still intimates me.  Oh well.

adios.  sorry for whom ever read this and was bored. lol"
"eventtime","2005-08-16 21:16:00"
"current_moodid","60"
"url","http://gbabez18.livejournal.com/38856.html"
"userid","5538"
"itemid","150"
"event","Haven't been all that busy this summer. I've been to the beach once. Six flags. Which was fun fun fun. Had an expirence that i never want to have again at the mall with jenna and her lil buddy who i hate to death. Ben is just getting better. He's been lame for 3 weeks and we couldn't find anything wrong. So he's going to get his coffin bone injected and hopefully we will be riding soon. Katie has been working a lot and went away so i haven't talk to her much. I've mostly been hanging out with Taylia. Julie once in a while but thats about it. Everyone seems to be pretty busy, or disappeared...

Fourth of July was ok.  I had fun with Julie. It wasn't as good as last year. Our poor picnic table was ruined :( lol but we met a kid name Dave from Alabama. He was kewl. Except he didn't start to talk to us until the fireworks. But thats ok. Hopefully we'll see him next year. 

i'm heading to bed sooner or later. I'm having a wonderful conversation with Matty so it's going to take me a while to leave...lata"
"eventtime","2005-07-05 22:44:00"
"current_moodid","129"
"url","http://gbabez18.livejournal.com/38603.html"
"userid","5538"
"itemid","149"
"event","WOw It's been a lil while huh? Well school is over finally!! Exams went ok i think. I actully think i passed math. Which would be amazing. 

The relay for life was great. I had such a good time. Hemery rocks my socks! love ya girls!!!!

Tomorrow i'm going to six flags. I'm soo happy. Next week i start work. ewww lol. But hey i need the money. Thursday i'm heading to the beach with mi tia and probably tay. sooo much fun.


all for now. Later gators"
"eventtime","2005-06-20 22:57:00"
"current_moodid","106"
"url","http://gbabez18.livejournal.com/38355.html"
"userid","5538"
"itemid","148"
"event","I guess it's been a lil while...

one week left of school then exams the next.  Seniors left today :( tear. Its not going to be the same next year.

Katie's graduation is tomorrow and her party is sunday!! i'm soo excitied. I can't believe she's going to J&W next year. It's gunna be so much fun now that she lives closer to me. Maybe we'll be able to hang out more. hehe She'll have to still come see me tho. I still won't be able to drive until..well permit wise i can, but i won't have my license until next may or so... Gahh it sucks balls. i can't wait until next year tho. I'm excitied about prom already. I just wanna get dressed up for the hell of it. which reminds me that Pilgrims senior prom is tonight. la la la

I don't want to go to school next week. grr. It's not the same without him. I didn't even get a hug. hmm o well. more later. i have to finish wrappin kates gift."
"eventtime","2005-06-03 19:13:00"
"current_moodid","129"
"url","http://gbabez18.livejournal.com/38142.html"
"userid","5538"
"itemid","147"
"event","New Email:
    GBabeZ1119@yahoo.com"
"eventtime","2005-05-16 18:24:00"
"url","http://gbabez18.livejournal.com/37718.html"
"userid","5538"
"itemid","146"
"event","South Shore tomorrow. Hopefully it doesn't pour like last time. 

I tried checking my email but someone changed it. WTF now i have to make a new one, if i can't fix it. this sucks ass. oh well. it will most likely be GBabez18@yahoo.com. idk i will inform everyone later on...now i have to go get ice cream. grr"
"eventtime","2005-05-14 19:57:00"
"current_moodid","24"
"url","http://gbabez18.livejournal.com/37480.html"
"userid","5538"
"itemid","145"
"event","Can't update in comp. apps. anymore.  They blocked it. Oh well. Not much left of school. 15 days for the seniors :( I'm going to miss them.  Won't be as much fun next year. At least i'll have my friends. Hopefully.  With the way things are going..i'm not sure.  I've become really close with Tay, ash, and jenna. You guys have helped me with so much stuff. I'm not sure how i could have gotten through some of it. Other people too.  Don't be offended if i didn't put ur name in here.  I love ya just as much. I hate the feeling when a beautiful friendship starts fading.

Julie G- I love you soo much. I will always be here for u, even if i'm not the person u confind in anymore. I'm not sure what happened to us.  We're not close like we used to be. I wish i knew why. I want to fix it. You've become friends with idk..better people and i'm not fitting in with them. I never wanted you to change, but you have. It's not that i don't like it. and even if i didn't my opinion is not important. I'm sorry for everything i have done. I'm sorry for annoying you. I'm sorry. I'm going to try to be a better person somehow. You know u can tell me when i'm annoying. And i don't wanna hear that ur too nice to do that. lol I love you so much. i hope u know that.

Alex- I don't know what happened. I don't really want to know anymore. I know what ticked u off now. I don't know why u automatically assumed bc of what i said i wanted to break pat and erin up. The thought never crossed my mind. I'm sorry that u thought that. I don't' know why you didn't say anything to me. We're friends(well idk what u consider us now)and i tried to be there for you when u let me be.  We became closer then we were, or at least i thought we did. Sometimes you say things that hurt my feelings, and i know you don't mean to do it, or realize that you do, i should probably have said soemthing when it happened but i didn't want u to be mad at me. Doesn't matter anymore.ily any


now that u've read that stuff that will probably cause another problem in some way. i'm going to stop while i'm ahead..."
"eventtime","2005-05-12 18:27:00"
"current_moodid","10"
"url","http://gbabez18.livejournal.com/37208.html"
"userid","5538"
"itemid","144"
"event","In Computer Apps. again. At least this time Jenna is here!! lol...ya we have nothing to do and a long time until lunch.  Vacation was okay.  Everyone thought i died. I had a dream that a man was trying to kill me tho. =( I was at the barn all week and didn't come home until..sunday night around 930ish.  I had gone to The Almans to eat passover dinner.  That was fun. There is like more food then at thanksgiving.  I didn't think i was going to eat for a week.  I haven't talk to him in a while..i saw him twice today. That made my day, considering i haven't seen him in 2 weeks.  Nor have i talk to him.  He's a busy boy.  What can i say. o well.  I don't know why i still like him.  It's been two years.. and nothing really which is kind of understandable.  Whatever. 

Oh i must tell everyone about tay tay and ashley when they came to the barn with me a couple of weeks ago.  It was hilarous.  We went to ride and Ben was a space cadet..so i walked with  him..then ashley just went off on her own.  My uncle thinks they're hilarous.  Ashley didn't know his name so she said ""Your funny mister. whats ur name?""  and then she was calling him Uncle bobby joe...i guess u had to be there.

I def. have a thing for mikes.  Cept this one is a tiny bit to old for me.  ek not a lot older but he's been outta high school for 6 years. lol..w.e it's nothing he's just a sweet heart and wicked cute.  He was with tommy at the barn helping him build the doors.  Well he was helping until i came out.  tehehe I'm just really stuck with one mike.  Even though i don't think i should be. 

o well...


7 more weeks of school left."
"eventtime","2005-04-26 11:43:00"
"current_moodid","61"
"url","http://gbabez18.livejournal.com/37039.html"
"userid","5538"
"itemid","143"
"event","i should start using spell check. haha"
"eventtime","2005-04-08 12:44:00"
"url","http://gbabez18.livejournal.com/36841.html"
"userid","5538"
"itemid","142"
"event","Aight back from lunch.  Steve has this lunch now.  I think he's in Health...oh well i could care less.  He's been acting weird lately.  He doesn't talk to karin and I. Well me. and she says that he doesn't talk to her either.  So i have no idea what up with him.  Maybe we did something wrong that we don't know about.  He wouldn't tell us anyway.  It seems like he's trying to aviod us or something.  OH WELL i don't care.


I have english next.  I hate that class.  Yesterday Chris and I were writing a note back and forth...yea that was interesting lol.  Julie and I sat in there having no idea what to do.  I bull shitted my way throught it.  It's prob all wrong but i don't care.  


Bio was funnie today.  And history was boring as always.  I think Tvenstrup is teachin again.  I hope i get better grades with him....ek i'm bored.  Only 10 mins left.  I think i'm gunna go play a game.



lata homies. haha"
"eventtime","2005-04-08 12:36:00"
"current_moodid","24"
"url","http://gbabez18.livejournal.com/36555.html"
"userid","5538"
"itemid","141"
