"names","values"
"itemid","138"
"event","<div style=""float: right; margin-left: 10px; margin-bottom: 10px;""> <a href=""http://www.flickr.com/photos/gerrard/509461767/"" title=""photo sharing""><img src=""http://farm1.static.flickr.com/201/509461767_e9be1074ce_m.jpg"" alt="""" style=""border: solid 2px #000000;"" /></a> <br /> <span style=""font-size: 0.9em; margin-top: 0px;"">  <a href=""http://www.flickr.com/photos/gerrard/509461767/"">Gondala Traffic Jam</a>  <br />  Originally uploaded by <a href=""http://www.flickr.com/people/gerrard/"">gerrard88</a>. </span></div>So I've uploaded photos from my trips to Vienna, Austria and then the following week to Venice, Italy. Vienna was to visit my friend Caroline and her twin sister. I met Caro in NZ and we stayed in touch. She came to visit me in Prague and so I visted her in Austria. <br /><br />The following week Chop and I met up with some of his American friends in Venice. Had a great time, riding on the water, drinking the brew and getting covered in Pigeons.<br /><br />Enjoy.<br clear=""all"" />"
"eventtime","2007-05-23 05:54:00"
"url","http://gerrard88.livejournal.com/35419.html"
"userid","5589"
"itemid","137"
"event","I'm off to Vienna for the Long weekend. We've been working night shifts so I'm pretty whacked. Get to sleep in which is good. Taking the train down on Saturday morning. I'm also thinking I might go to Budapest next weekend. Work is going well and it looks like I'll be finishing up in June. Then onto an exciting new project. I'll post more when I have details.

Apparently Angelina Jolie is in town at the moment. I spotted Rachel Weisz wandering round the streets of Prague the other weekend. She had baby and husband in tow. 

I've also booked my wonderful mum a ticket to come visit me in Prague for her 60th birthday. She'll be here for a couple of weeks and I wanted to share Praha with her. I think the last time she was in Europe was when I was a baby. So it's been a while."
"eventtime","2007-04-26 18:50:00"
"url","http://gerrard88.livejournal.com/35097.html"
"userid","5589"
"itemid","136"
"event","Somewhere outside my window in the Spring Time in Prague I can hear 'The Final Countdown' blaring out of someone's radio... Now I know I'm back in Europe.."
"eventtime","2007-04-19 11:54:00"
"url","http://gerrard88.livejournal.com/35027.html"
"userid","5589"
"itemid","135"
"event","So on the day after Easter there's a Czech tradition of whacking girls on the bum with a stick. Basically you have to have a special stick and if you see a girl you whack her on the butt with it. She then has to say 'Thank you' and give you either an Egg or a Shot of Alcohol. It means she will be young and beautiful forever.

http://www.myczechrepublic.com/czech_culture/czech_holidays/easter/

Someone ran up behind a kiwi friend of mine and whacked her on the arse (after looking at the other guy she was with to see if it was OK.) Apparently the expression on her face was priceless. Consequently there are not a lot girls on the streets of Prague on Monday... apart from confused pissed off tourists. ;)"
"eventtime","2007-04-12 21:40:00"
"url","http://gerrard88.livejournal.com/34563.html"
"userid","5589"
"itemid","134"
"event","<b>The Big Wazowski</b>

Quite possibly one of the funniest Mash-Ups I have seen in a while. A mix between the Big Leboski and Monsters INC.

Note: Not suitable for younger viewers.

<object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/382X0Wbo3Ko""></param><param name=""wmode"" value=""transparent""></param><embed src=""http://www.youtube.com/v/382X0Wbo3Ko"" type=""application/x-shockwave-flash"" wmode=""transparent"" width=""425"" height=""350""></embed></object>"
"eventtime","2007-04-09 14:12:00"
"url","http://gerrard88.livejournal.com/34314.html"
"userid","5589"
"itemid","133"
