"names","values"
"itemid","51"
"event","Well as my tittle says i have been way buisy and havn't writen for a long time. not much going on here though. i am going to school working on a show, and working as a manager. i ahve been busiy with everything bbut i am still with cory, and my grades are staying up.infact i am trying to find out if i am goign to go to grad school or not, or if i want to go and work in the real world. i have great oppertunites to do a lot of things and i am trying ot decided what is best fo rme. i dont really want to leave washington but sometimes you have to grow up and do things. i jsut dont knwo waht i want to do! i odnt want to grow up. i jsut dont.  but i geuss ig et to figure it out. i just found out today when iw as at the seahawks game with my brother, mom and cory which they won by the way. that i will be able to go back to mac miller and work in there hr office. there i make a good amount of money which is nice. i want to buy a couch purse. this winter. but taht is really all iw ant. well i dont want to write anymore so ia m not going to.
have a good one
Ashlee"
"eventtime","2007-11-18 21:22:00"
"url","http://greengyrl.livejournal.com/13292.html"
"userid","5893"
"itemid","50"
"event","So today in monday three days i will have no more wisdom teeth i am getting all four taken out! i am freaked out about recovering because they are grown around the nerve and impacted. They are the second most expensive suergry you can have so that means it is going to suck and hurt! 
Did i mention instead of having ten days to recover i only have four. Because i got hired as a manager in Barto hall. Which is a good thing but i dont want to have to move in two and half days after getting wisdom teeth out. Oh well i geuss i am excited once i feel a ton better i have drugs to make the pain not hurt and it will be great. 

The scared part is defently being a manager and living with a roomate. i am excited becuase it is what i wanted is to eb a manager.

Over all life is good i had an end of the year frisbee party on saterday and nothing got broken and only a few people got drunk but over all a great time.

I thought i woudl update that i am doing okay and still alive and still doing well! 

HOpe life stays good and not stressful because of my job, classes, and the little thing called life!
 
Lots of Love,
Ashlee R. Conner"
"eventtime","2007-08-20 17:44:00"
"url","http://greengyrl.livejournal.com/12975.html"
"userid","5893"
"itemid","49"
"event","So yesterday i was very upset that i hadn't talked to cory at all which by the way isn't always that strange but he normaly would call me by the end of the day to tell me that work went well that he was home, or that he was heading over to Willie's last night nothing. i finnaly got a hold of him when i was getting ready for bed at like 10 he told me that he was going to have to call me back. probly around 11 when i was almost asleep he called me back to tell me that his dad wasnt' doing well. basicly COry had been at the hospitale since after work making sure that his dad was fine. he said it wasn't a heart attacke which is good but they didn't knwo what was wrong which was bad.  it makes me so sad and scared because cory is the type to try to do things alone and i am afriad that he is going to push himself aqay from me becuase of his dad. his dad thinks that he spends to much time with WIllie and I when in realtity he spends teh most time with Willie.  his dad doesn't really like taht cory sees me instead of working wich makes it even harder to see me becasue he tells me that he is going to work and then he never does wich makes me upset. I am just so confused  i dont knwo waht to do i feel like i am not supporting him in a way tha ti like to be supported so i feel like i am not being a good girl friend. i dont understand what is really happeneing and id ont think cory knows either. i want to go and see him and hug him and tell him everything is fine and that i am there for him if he needs it. i dont understand what is wrong with me i care abotu Chris i really do but i know taht he doesn't like me soi am the last person i am sure that he wants Cory seeing.  who knows what will happen i am sure everything si fune tghough that CHris will be okay and so will Cory.  i wish i understod though i really do it isn't like me to bnto relaly know what i feel. I do know ifeel afraid, confused, hurt, and numb. i dont knwo why though wich is the hard part. the hardest part is that i knwo there is nothign i can do, absolutly nothing to make it better. i can tell cory is hurting i just dont knwo what to do ihate it i mean i know that all i can do is tell him that i am here for him and to remind him to just ask but he is so thick headed that i dont think that he would. I am afraid for Chris i dont knwo what is going to happen with him and i dont want himt o be to seriuosly hurt because that will end up hurting cory. 
Cory has already gone through way too much in his life i dont want him to have to deal with his dad getting sick. i geuss i am afraid of him dieing i dont know why i think it is because he had a shortness of breath and lost feeling to his arms.  i am just so confused what to think like i care becasue cory cares but ther is nothign i can do to make thigns better.  
My parents are goign out of town this weekend and i wanted Cory to come over for some of it and hang out with me.  he told me that he was going to ellensburg to pay bills. i asked if i oculd come along and brign my dog but he didn't know. i dont think he wants me to come very bad. i am just hoping that thigns will work out with his dad, and with me. i am selfish and i feel like i am not important to h im sometimes. i know that i am but right now i don't feel like i am.  He has a lot on his mind now so i need to just give him his space and try to be there how ever that is for him.
Well i am just sitting at work waiting for the receptinist to come in. i wish i just understood the world around me but i dont. Growing up is hard but we all get to do it. take care everyone
Love ya,
Ashlee R. Conner"
"eventtime","2007-07-10 07:46:00"
"current_moodid","65"
"url","http://greengyrl.livejournal.com/12772.html"
"userid","5893"
"itemid","48"
"event","Well my live journal friends i miss you all in such diffrent ways. so i thought i would give you guys the update. I am working at MacDonald-Miller where my mom works i am doing HR work there so basicly i am there bitch! but i am making 15 an hour so i dont really care to much. 
I have been hanging out with Anna a lot this summer wich has been a ton of fun. I have gone to one mariner game with Cory which was a blast as well.
Anouther fun new thing for me is that i have been playing ultimate frisbee on a team!!! it has been so much fun i have learned a lot already i am pretty much one of the only people who dont play at school and i have gotten a lot better. i am starting to understand stack and how to defend and throw the disk far enough.  i am kinda sore from playing but when i streach i can touch my toes!! granted that isn't that special but it is for me. 
Cory and i are good we are coming up on our year and half on the 27 of July which also happens to be my old bosses wedding. so i am excited that i was invited. 
Nothing really to exciting on my front i wish i could tell you that there was something but life is pretty much the same old same old. Work, Work, some play and of course shoping.
Liz if you are reading this i miss you a ton i want you to come home so i can hang out with you and catch up because i knwo for one you hate the phone and two you are in Germany.
Tim i left you a message saying that i missed you but here you go here as well.
Mandii i hope that your trip to Arizona is safe and you make it there with no problems
Luke we need to go bowling sooner then later because i would love to know how you have been doing i mean you are going to be a Senior this year already it is crazy!
Well hope everyone is well
Ashlee"
"eventtime","2007-07-06 19:21:00"
"current_moodid","15"
"url","http://greengyrl.livejournal.com/12312.html"
"userid","5893"
"itemid","44"
"event","Well it was happy till i got back to school you know it is always such a blast driving over the pass when it is snowing and you start to slide so you and your boyfriend decided to pull over try to put on your chains can't so you ask for help the guy does it no problem and then you guys are back on your way your left tire is making a  stragne loud noise that just doesn't sound right so you calll your boyfriend you guys pull over everything looks fine so you start up and you hear honking and then you role down your window to some nice person telling you taht your chain has fallen off so instead of fixing it you contiue to drive with one chain.  then the other tire starts to do the same thing you stop agian and then decided know what you are over the hard part of the pass so you and your boyfriend are going to take off his chains and your one. you can't seem to get it off so you call over your BF who doesn't really want to try casue it is cold it gets stuck but after much much strogle your boyfriend wins and you are back off agian on the ""open"" road tha tyou dont go more then 30 miles per hour till cle elem and even then you only go 50. you finnaly get to school pull infront of the hall you live in start unpacking and realize some shit resident had switched all the on duty picuters and moved yours on the other board who does that? i mean what are you 10? come on it is just frustrating because you whould think that people whole want to know who was on duty not just wopnder who the name was now they whould know who they were specially if they were just wondering around the hall. oh well.

Well enough bitching i had a great break worked at VS and spent way to much money there..opps. well it was fun they want me to come back during the summer which makes me want to figure out even more what i am doing do i want to stay and take classes do i want to be a manager for hte summer? or do i just want to go to BCC and live for free and get to see all my fam i havn't been home for a summer yet since college so who knows.

Cory and i are great we are coming up on one year who can believe that? i can but it doesn't seem like that long or that short i dont really know waht it feels like... but it has been fun and worth it.  i can't wait cause for chrsitmas my fam gave him and i seahawks tickets so tha twas fun Lorn (my bro) my mom cory and i all went it was a blast.  even though Cory and Lorn had never met so it was good that they got  along we all know lorn can be an  intresting guy but it all worked out in the end. it was fun over all so Coryu and i are good and still going stronge. we spent new years eve togeather and that was nice it was my first kiss on new years and it was with someone i love so that is good.  

Well back at school start classes on wed and i am way buisy this quearter but i am secreatly excited but really nervus about it Blankity blank, Ernest and 14 credits to deal with this querater oh yea nad being an RA and getting all of those things done but tommrow we are talking about our schedral and then i will be able to plan all my programs i am excited!!! well i should stop now i am tired but i hope this is a good update of where i am and what i am up to take care 
Happy new year!!!!
Love
Ashlee"
"eventtime","2007-01-01 19:51:00"
"url","http://greengyrl.livejournal.com/11444.html"
"userid","5893"
"itemid","43"
"event","hmmm what to do i am at home bored but not. i am sitting in my living room watching friends with my mom eating soup waititng for the dumb matrus people to come and bring a mattres.  tommrow i start my new job at Victoria Secreate i am way excited i can't wait discont on BRA's. but i am back in issy not really doing to much waiting for my friends to come home and just leave agian.  My boyfriend is in U-P which is good but i miss him it is werid i just saw him but i still miss him.  but i will get to see him soom hopefuly.  next quarter is going to suck but i hope i get through it decently i got a 3.0 this quarter not as great as last but it will go up after next quarter. I need to do my manager app for next year and see how that all works out.  i dont really have anything supper exciting going on really.  well that is it for now
Ashlee"
"eventtime","2006-12-12 20:17:00"
"url","http://greengyrl.livejournal.com/11048.html"
"userid","5893"
"itemid","42"
