"names","values"
"itemid","50"
"event","all guys want is your pants and everything in them. next thing you know they're wearing your pants and rampaging towards the next skinny jean."
"eventtime","2008-01-18 01:07:00"
"url","http://guccitoomes.livejournal.com/12894.html"
"userid","5965"
"itemid","45"
"event","i don't understand some of the things that go through my head.
i don't know what they mean. if anything at all but my stupid dreams.

tonight was beautiful and perfect and i wouldn't expect anything more, i shouldn't act on these fake desires. because i don't know what my real ones are right now.

i enjoy capturing moments and feelings and trying so hard to savor them only to relive them. but they soon pass. 

its ok, this is life, this is what it is, I shouldn't expect anything more.
i don't know what this means."
"eventtime","2007-10-02 01:40:00"
"url","http://guccitoomes.livejournal.com/11739.html"
"userid","5965"
"itemid","44"
"event","she lifts her skirt up to her knees
walks through the garden rows with her bare feet laughing
I never learned to count my blessings
I choose instead to dwell in my disasters
I walk on down the hill through grass grown tall and brown
and still it's hard somehow to let go of my pain
on past the busted back of that old and rusted cadillac
that sinks into this field collecting rain
will I always feel this way?
so empty, so estranged...
of these cutthroat busted sunsets, these cold and
damp white mornings I have grown weary
if through my cracked and dusty dime-store lips
I spoke these words out loud would no one hear me?
lay your blouse across the chair, let fall the flowers from your hair and kiss me with that country mouth so plain
outside the rain is tapping on the leaves
to me it sounds like they're applauding us the quiet love we make
will I always feel this way?
so empty, so estranged...
well I looked my demons in the eyes, laid bare my chest, said do your best to destroy me
you see, I been to hell and back so many times
I must admit you kind of bore me
there's a lot of things that can kill a man
there's a lot ways to die, yes and some already dead that walk beside me
there's a lot of things I don't understand, why so many people lie,
it's the hurt I hide that fuels the fire inside me

will I always feel this way?
so empty, so estranged...

Empty-Ray LaMontagne



he sings to me.
i shouldn't be up this late."
"eventtime","2007-10-01 02:16:00"
"url","http://guccitoomes.livejournal.com/11329.html"
"userid","5965"
"itemid","42"
"event","glorious breeze so majestic flow through these strands that are entangled and bound by their roots. windows close. open. close. relive dreams of youth and that which is no longer present.  yet recognize today bottle it up and place it on your storage shelves. nothing will ever be the same, thankfully the expiration date is not near. beauty in the corrupt and the poison which haunts you. let go of the uncertainty that plagues your desire for unconciousness. if for only a moment. realism to only satisfy your unselfishness. A leap is ahead, as well as possible failure. and i don't know what to do. but let go-slip away-this only lasts for so long."
"eventtime","2007-10-01 01:45:00"
"url","http://guccitoomes.livejournal.com/10839.html"
"userid","5965"
"itemid","41"
