"names","values"
"itemid","109"
"event","<P>So college is goin well right now, despite some of the drama that is still going on, things are deffinatly better then they were b4! I went home for the weekend and realized that Carroll College Parties SUCK ASS!!!! you have to walk like a million miles from the campus, and then when you get to the party theres nobody there, and its just boring and it sucks....GAY! </P>
<P>Saturday was a good day, Worked til 4, then got a new cell phone, and hung out with Tony too....its so nice to be able to be friends with him now, you have no idea how much better that makes me feel and how much that brings up spirits up. Now i really have someone to talk to, and someone to tell me i'm being stupid and someone I know will tell me the truth. Thank you for visitin me in Tuesday, and thank you for the good night on Satuday Tony. It made my life at the moment a whole lot better. Now that things are mended with him...just gotta work on Brandon...HAHAHA NOT!!~ He's a duche bag and can rot in hell for all&nbsp;I care. Him and his new girlfriend can be happy I dont really care too much anymore, I've got better things to worry about, and better things to do with my time rather then worring bout Brandon...he's not really my type anyways, I dont know why I really fell for him anyway..can someone tell me????? Yeah he was nice and all but I dunno it just doenst seem like I shoulda made that choice during the summer...but I'm good right now being single and doin what I want...I'm having a blast....thank god I'm back up at school...this weekend wasnt too great...</P>
<P>As for Chris...things are just weird with that, I hardly talk to him now, and I dunno..i.ts kinda odd..since I'm friends with all the guys on his floor and I'm over there to visit Andrew a lot..well at least last week I was.....Well I'm off to write a paper, just wanted to make a lil update on my life right now, and say a few things that have been on my mind...</P>"
"eventtime","2004-09-27 14:26:00"
"current_moodid","92"
"url","http://gymnastgrl4life.livejournal.com/27960.html"
"userid","5988"
"itemid","108"
"event","This weekend ROCKED, Friday night...drank a lil bit on my floor with Kim, Mel, Kim's Boyfriend Joel, Courtney, and some other people I dont know...then we went out to someones house, there really wasnt anything goin on there, so we left...and went over to South Scott and hung out with the boys...drank some more..and stuff, Chris got soooooo wasted on Friday night he could hardly stand, it was kinda amuzing, but I felt bad for him, so I tried to take care of him, but he didn't cooperate very well..lol he just wanted to drink more...finally we got him to calm down, and then he slept in my room with Me, on my futon....

Saturday~ kinda a boring day, CHris and I slept til like 2....then I just kinda chilled and picked up the room a bit, and just chilled...Then saturday night...ooo hehe that was great :) I loved every minute of it! Great!!! Went to dinner with Mel and Taylor, we went to Stoners (a pizza place over in the Scotts), Then headed up to the 5th floor to drink with the boys and 2 new girls that I met. We had a lot of fun, at 1st things were slow and we just chilled up there...then after we started to drink, it got better...Mel went out with a friend of hers and I hung out with the guys and Meghan and Angie. We went to a house party but it kinda sucked, there were soooooo many people there and the beer was almost tapped when we got there so we left. We went back up to the 5th Floor and hung out some more, Chris got off work at like 11:15 and started to drink, but by that time I was totally tanked...lol IT was great...but yeah, just hung out for a while, then at like 2 we ordered a Pizza from Papa Johns and we stuck around to eat taht and then Mel and I finally got back to our room at like...umm 3:30...Late night but it was great :) 

Sunday~ my parents came up for a few hours, they took me and Jenny to Applebees, it was delicious! Something other then college food was good! :) Then I just hung out for a while til Mel got back from work, and then we ewnt to studied and did our laundry..so all my clothes are clean :) yay!! That was my day...pretty boring I know!

Today~ umm I dunno, classes were fine, and I did my math homework in Chris's room now he's in class from 4:10-5:10. Then after that I dunno we might go to dinner, but I dunno...I had asked Brandon earlier to go to dinner, but he never got back to me..so I'm not too sure whats goin on..I'm waitin! Then tonight...its a lay low night..Packer Game and such :)"
"eventtime","2004-09-13 16:10:00"
"current_moodid","126"
"url","http://gymnastgrl4life.livejournal.com/27858.html"
"userid","5988"
"itemid","107"
"event","At first things were rocky, I wasn't all that happy and Brandon was being gay...but NOW..

My Roommate is amazing, I love her to death! She's from Oshkosh so its all good cuz she can introduce me to people and everything. I'm so happy here now. I've met a lot of people thru Mel...and things are goin well :) I've been hangin out A LOT with Mel's friend from high school...his name is Chris, he's a freshman too..Pre Pharmacy...ooo SMART boy :) The guys on his floor are the coolest guys ever! Theres Andrew, Bobby, Paul, Paul, Ryan, Chris, Beau, Joe and others. I've been hangin out over in South Scott a lot lately. The 5th Floor is great! I love it there. I've been off campus a lot lately too, Chris has a car so we go out at night and just hang out. Yesterday I went to his friend Travis's house and we drank a lil bit, and had a good time, then we came back to the dorms and ordered pizza..that Mel and I didn't get to eat. :( O well..I'm goin to lunch with Chris today...He's so cool, we get along so well...it reminds me of hangin out with Tony and the guys...The car talk and everything, I fit in with Chris and his friends REALLY well cuz I talk bout cars with them, and stuff like that...

I played need for speed underground on X-Box the other day in Chris's room, he let me PIMP out the Eclipse...I was so happy :) He said he'll keep it cuz its fuckin awesome! AHH I LOVE IT HERE! At first I wasn't too fond of being up here...but things are SOO  much better now, I've met people in my classes too, they're goin great by the way...I'm just really happy now...

Tonight~~ I guess I'm goin out with Chris and Andrew to hang out in Oshkosh somewhere, then I gotta call Jill and let her know what we're up to, so maybe she'll come hang out with us :) I guess the scotts are pretty cool to live in, the rooms suck but the people on the floors are awesome, and everyone has so much fun..unlike my dorm...I think I've spent more time the last few days in the Scott's not my own room..lol :) mel and i love to hang out with the boys, we all get along so well! lol

I'll write more later, after tonight is done..when I know how fucked I got and then I can talk bout the Oshkosh Parties :) YAY!!!! Have a good day!"
"eventtime","2004-09-10 09:36:00"
"current_moodid","59"
"url","http://gymnastgrl4life.livejournal.com/27432.html"
"userid","5988"
"itemid","106"
"event","<P>So...it's DEFFINATLY time to get outa here, I need to start over new, I need to get things off my mind, I need to meet new people like all my other friends have done so far. Life SUCKS around here the last few days, and I'm just ready to leave and get on with the next part of my life.&nbsp; </P>
<P>I know I'm gunna miss my mom and dad, but I really need to get out on my own, and learn how to live without them by my side all the time. Brandon thinks I'm too spoiled..well we'll see how long that lasts!! Without mom and dad by my side I'm really NOT gunna be spoiled anymore. Maybe I'll grow up enough to be able to have&nbsp;a ""college"" relationship rather then a ""high school"" one...or so Brandon puts it. </P>
<P>I admit I'm not the most mature person on the planet...and I'm not gunna deny that at all....but I know that the SECOND my parents leave, things will change, and I'm going to be a different person, and it sucks to know that Brandon didnt stick around long enough to see anything happen to me....I guess he'll stick around to be friends, but I dont know how well that will work out..cuz I care bout him so much and its not the easiest thing to just become friends with someone you care about...I love him...i HONESTLY think that I do...and I told him that..but he doesnt feel the same..so ONCE again..I'm always the one to get hurt, and it SUCKS bad! So theres&nbsp;a part of me that wishes I wasn't going to the same school as Brandon so it would be easier to forget..but then theres a part of me thats SO HAPPY that I am...he says he wants to be there for me, and be there for whatever I need. He said..if I'm in a situation I dont want to be in...that I should call him and he'll bail me out, or if somethings wrong..he wants to be the one I call. SO we'll see how well that goes..I dunno...<EM><STRONG>I HAT E LIFE..I REALLY DO!!! </STRONG></EM>I need to get outa here!</P>"
"eventtime","2004-09-01 22:47:00"
