"names","values"
"itemid","19"
"event","I wish you missed me like you missed everyone else, and wanted to be with me like you do everyone else, and I really wish oyu wanted to go with me..."
"eventtime","2005-04-13 10:26:00"
"url","http://havok-screams.livejournal.com/5101.html"
"userid","6123"
"itemid","18"
"event","I wish for once, that Breann could be a genuine person...I mean, you say you want to be with me, you say you need me, but all you care about is other people, how pretty other people are, how fun other people are, well I dont need that shit. You say you can't trust me, I dont even hang out with other girls! Your the one with the abundance of friends from the opposite sex, so don't tell me that I can't be trusted. I never cheated on you, GET OVER IT!!! I dont know what i want out of anything right now, but from the shit your giving me, Im not sure if its you. On another note, I am sad, because John Horne is expelled, and now I am completely alone at school, because a number of my friends, not going to say any names, decided they dont want to be friends anymore, even after nights of crying together because I was going to move away. I geus people change, too bad. I really do miss hanging out with you... and despite what you or anyone else may think I still love you man, take it or leave it. You know their are times when i truthfully dont know what to do about anything, and this is one of those times. Nothing makes sense to me, nothing seems like anyone is telling me the truth. God, I sound so emo. So, Im living in my own apartment now, well, I have a roomate, But he's never there, He goes to IUK, and then spends the rest of the day with his girlfriend. I feel like no one wants me for anything anymore, not a boyfriend, not a friend...nothing at all, yay. Nothing will work between us, so why try?"
"eventtime","2005-04-13 09:48:00"
"current_moodid","92"
"url","http://havok-screams.livejournal.com/4636.html"
"userid","6123"
"itemid","17"
"event","now i know you dont need me, now i know you dont really want me, i know now that you only want me to hurt, and i know now that you would never have time for with all your new friends and all...now what i really want to know now is why is it worth my pain to make you happy?"
"eventtime","2005-04-12 09:57:00"
"url","http://havok-screams.livejournal.com/4524.html"
"userid","6123"
"itemid","16"
"event","so i havent wrote in this thing in forever, and i think its about time i do, i dont have much to say or much time to say it, but life is confusing, and i dont know what to do about anything...if only i knew everything..."
"eventtime","2005-03-22 13:35:00"
"current_moodid","108"
"url","http://havok-screams.livejournal.com/4175.html"
"userid","6123"
"itemid","15"
"event","So last night was great, I had some good fun, from what I can remember, cant wait to do that all over again...weehoo!"
"eventtime","2004-12-24 12:56:00"
"url","http://havok-screams.livejournal.com/3973.html"
"userid","6123"
"itemid","14"
"event","<P><IMG alt="""" src=""http://www.imagestation.com/picture/sraid67/pb994ba9c6f54276c3d0101a0d76ea67c/fbc95538.jpg"" border=0></P>"
"eventtime","2004-12-11 20:10:00"
"current_moodid","56"
"url","http://havok-screams.livejournal.com/3667.html"
"userid","6123"
"itemid","13"
"event","SO i havent written anything in here in forever...so blah...my belly hurts...and im hungry...the x-mas dance is tommorow, I cant wait, it will be fun..john's date is going to be big and ugly, hahahaha. breann is weird....very weird. she made me cheesecake the other day, it was yummy, and then there was the mucky-muck, hahahha. So, hmmmmm what to type? Breann bought me a new AFI shirt....and an A7X one yay! oh, and a pimp stereo, with cool ass cd door that opens like its a spaceship! My mom smoked my last cigarette last night b/c she thought it was her pack...oh well i need to quit anyways, well, the bell is about to ring. toodles

                      



I love you...                



                                             Poisoned hearts will never change


ok im done  :)"
"eventtime","2004-12-10 11:04:00"
"url","http://havok-screams.livejournal.com/3450.html"
"userid","6123"
"itemid","12"
"event","this sucks...breann broke up with me...again, dont know what to do about it this time...some say i should let her go...but she wrote me a note...she has never written me a note before...i dont know if i should read it or not...i dont know if i want to take her back...if i do, are we going to be like this forever...her dumping me b/c she doesnt want to talk about something? i dont know what to do......


Im bleeding fast, So pull this knife you put through me..."
"eventtime","2004-11-04 09:49:00"
"current_moodid","6"
"url","http://havok-screams.livejournal.com/3300.html"
"userid","6123"
"itemid","11"
"event","I hate this life...this relationship, why is it like this...why cant she just want me instead of matt? why do the ppl i love either not love me or end up dying...or in the process of dying...all i want is to be happy...and you think i dont love you as much as i did...i think oyur wrong, i think its you who doesnt like me as much as you used to...if you still like matt, you need to break up with me. Not tell me oyu dont like him b/c you were arguing with him about me...if you love him to be around so much, then leave me and be with him, instead of making me suffer with the thought in my head that i cant keep you happy, i mean i thought you would be happy after we havent argued for like a week...not that it matters, i dont make you as happy matt does...you fight for him to talk to you, yet wont even say a word to me....why do you do this....why hurt me? Do i really deserve it...what did i do? Im sorry? This hurts way too much...just do something, make a decision, one or the other...me or matt, im sorry but thats the way it has to be.

 i love you                

   Im Bleeding Fast, So Pull This Knife You Put Through Me..."
"eventtime","2004-11-03 10:42:00"
"current_moodid","25"
"url","http://havok-screams.livejournal.com/2979.html"
"userid","6123"
"itemid","10"
"event","Havent written in here in forever just wanted to say some stuff.....some stuff....AHAHAHAHAHHA...iloveyouchad  .. love your slave debbera amway......interesting...so that was debbera stealing the keyboard...so back to what i was saying..oh yeah nothing to say, breann broke up with me but now were back together....who knows...who knows...i love her though..."
"eventtime","2004-10-13 13:33:00"
"current_moodid","108"
"url","http://havok-screams.livejournal.com/2622.html"
"userid","6123"
"itemid","9"
"event","Right now i want to die...and everyone keeps asking me ""whats wrong?"" and GOD DO I HATE THAT!!! I hate when ppl show me sympathy it makes me more depressed but for the few ppl who read this who aren't breann: Im depressed b/c Breann was all pissy with me this morning and i let her know and i tried talking to her at lunch and she just told me she didnt want me there...yeah so there you go make what you will of it but to me she acts like she doesnt want to go out with me and she seems to be wasting her time if that is so. And all this telling me that she doesnt care...she needs to make up her mind b/c in a recent entry in her journal she says she reallys does when she says that, and i really dont know what to think. But i seriously think she is tired of me...and im tired of her treating me like this when i do  nothing to deserve it. ARGH!!


I LOVE YOU BREANN!!!"
"eventtime","2004-09-30 13:22:00"
"current_moodid","9"
"url","http://havok-screams.livejournal.com/2372.html"
"userid","6123"
"itemid","8"
"event","Hello there, ok so for some reason i was saying that in my head with a british accent...silly me! so i dont really have anything to type about that would be very interesting i did absolutely nothing yesterday...and all im gonna do today is rent a game and be lazy all weekend by doing nothing but playing it. Maybe i will have someone comeover to keep me company until breann can come over on sunday...but i wont see her all weekend b/c of her baby sitting...oh well ill get over it b/c i talk to her on the phone all weekend. welp im gonna go bye bye


I love you 


P.S> your really sexy today ;)"
"eventtime","2004-09-24 13:12:00"
"current_moodid","15"
"url","http://havok-screams.livejournal.com/2267.html"
"userid","6123"
"itemid","7"
"event","http://www.afireinside.net/index_main.html     <----- go there!  

  Howdy all!   Soooo..what to talk about today....im in a good mood, and I gave Breann a hickey on her cheek on accident last night. Its quite amusing. Its kinda warm in here...I got my first college letter yesterday, i was kinda excited, and i kinda want to go there, but there are other colleges offering the same fields i want to look into. I need to get my AFI ""art of drowning"" CD out of Paul's truck.....I NEED SOME AFI!!! My grandma is stupid she annoys the hell out of me...I want to move out of her apartment. I watched kill bill vol. 2 with Breann last night it was good. I liked it alot...but i like all tarantino films...theyrrrrrrrre great! (that was dumb) lol. So im bored and this ISTEP keeps me from seeing Breann at lunch but i think i get to see her today at lunch, and maybe I will see her today after school I hope, but if it is nice, I will go riding with Terry maybe. I havent hung out with Psy in ahwile maybe i will go down there, but he is always at Samantha's house...Im going to dress like a THUG tommorrow and Breann is going to kill me, lol, its gonna be great. I need a stereo...the only way i can listen to music in my room is on my PS2 but then I cant listen while playing games...speaking of games...i cant wait to get my xbox for x-mas....maybe Breann will get me Fable for my xbox...(hint hint)  but she wont tell me what she wants....(hint hint) if she gets me Fable earlier then christmas I will just play it at my moms which means I will be down there alot and will go see her alot...hmmmm, lol. I really love Breann alot...regrdless of what my Gramma says...ill kill her if she does anything to get between me and Breann...I'm so funkin' bored right now...well...not much to type anymore...adios all...oh and its spelled hasta la vista Breann...:)



I love you Babie! (ahahahahahhahaha)"
"eventtime","2004-09-23 08:06:00"
"current_moodid","29"
"url","http://havok-screams.livejournal.com/1881.html"
"userid","6123"
"itemid","6"
"event","well im in 3rd hour and i have already done my work but everyone else is working...i hope my lovely breann can come over today, i miss spending time with her...i hope my stuff comes from PA today Brian was supposed to have sent it friday...if its not here im gonna call him and tell him i will feed him to Corey Feldman...MWUAHAHAHHA...corey feldman..lol....if breann doesnt quit making excuses (j/p) i will feed her to corey feldman...haha! so for some reason i have ""Clerks"" on the mind...weird...well im going to go now...bye bye all...I love you Breann   :P"
"eventtime","2004-09-22 13:22:00"
"current_moodid","108"
"url","http://havok-screams.livejournal.com/1680.html"
"userid","6123"
"itemid","5"
"event","blah...i had fun last night with breann even though she was angered when i ""de-socked"" her and ponytailed her hair...she should wear it like that, it looks pretty....well icant type much b/c im in school and we are about to go back to our class....well not much to talk about...( i hope you shaved last night ) *wink wink*  I love my breann, and dont want to break up with her at all....:)"
"eventtime","2004-09-20 10:41:00"
"url","http://havok-screams.livejournal.com/1401.html"
"userid","6123"
"itemid","4"
"event","SO i just read something that my love typed to me and it made me happy...i love her, but im not beautiful...and i hope we can avoid fighting, i love you soo much babie (lol) ok nothing more to talk about...i love you breann"
"eventtime","2004-09-11 00:07:00"
"current_moodid","15"
"url","http://havok-screams.livejournal.com/1224.html"
"userid","6123"
"itemid","3"
"event","i saw a star beneath the stairs glowing through the melting walls. who will be the first to begin their fall? or will we become one? am i the star beneath the stairs? am i a ghost upon the stage? am i your anything? i saw a star beneath the stairs glowing bright before descent and in the morning there is nothing left but what's inside of me. and i don't want to die tonight; will you believe in me? and i don't want to fall into the light. will you wish upon? will you walk upon me? i don't want to die tonight. will you.     Thats AFI...""morningstar""
     I hate crying...it helps though...i love you so much, and i couldnt bear not having you, you are my reason for carrying on. I have never been so happy to hear someone randomly tell me they loved me since i last heard my dad say it. back then (this is all crow) i used to think things like that were trivial, but now i know...nothing is trivial. I cant take all this fighting, we have to do something about it. I would give up anything for you. Im sorry for saying things about you still liking brandon, i need to grow up too...I wish you would open up to me, it would make things so much easier...im sorry if any of this upsets you....I love you with all my heart and soul."
"eventtime","2004-09-10 19:36:00"
"url","http://havok-screams.livejournal.com/833.html"
"userid","6123"
"itemid","2"
"event","hello there...i love breann...we argue alot less now, but she has a problem with saying ""i love you"" and i dont know why...we got to cuddle all night in our undies last friday, it was great...she makes me so happy...its great to be truly in love...so im obsessed with davey havok, and breann is obsessed with david bowie i find that funny for some reason. SO, im friends with Terry Flores now...he's a really funny guy...lets see...breann's mom wants me (thats so gross) well not much more to say."
"eventtime","2004-09-09 17:12:00"
"current_moodid","132"
"url","http://havok-screams.livejournal.com/690.html"
"userid","6123"
"itemid","1"
