"names","values"
"itemid","164"
"event","I haven't posted in awhile because I didn't want my journal to become a bitching forum. Well, the bitch is back. The worst day ever = today. Aside from fighting with my mom and car troubles...I can't seem to figure out why I'm so easily written off. So, tonight, I was blown off only to catch that in the act, big surprise there and then COMPLETELY blown off for tall, skinny, pale and unattractive. Oh, what a night, it just keeps getting better and better. Every fucking time I think I could maybe find happiness in just a relationship with someone, it just completely goes fucking south. A wave hello, a nod goodbye. That's all I got from you, so thanks for the dagger in the gut. It just kills me sometimes that I apparently am devoid of any desirable feature in any aspect of my life. I'm not one to just hook up for no reason...I like to think that potential is there. Cue the pulling of the rug. I feel so helpless. I feel like I'm spinning out of control. I can't take control of anything and I don't know what it is that keeps me from achieving anything of worth. Oh, wait, I do. I'm a fucking failure. A social experiment gone completely awry. I used to be happy. What happened?"
"eventtime","2004-11-11 01:17:00"
"url","http://heading-for-nyc.livejournal.com/42189.html"
"userid","6158"
"itemid","163"
"event","I just was listening to the new broadway cast recording of Little Shop of Horrors and I was reminded that Kerry Butler needs to never try to be Ellen Green."
"eventtime","2004-09-14 00:15:00"
"url","http://heading-for-nyc.livejournal.com/41765.html"
"userid","6158"
"itemid","162"
"event","It's been awhile. I guess I haven't had much to say. So...Two jobs this summer. One for a day, the other: 2 months. Now, I wish maybe I'd stayed at the cafe, but something tells me that's just me being stupid. I got a call from AE today after two months saying, ""We have your application here, do you want to come in for a group interview?"" Well, now I'm going in for that next monday. Let's hope I get that job because I need one real quick. I dunno...my life is just real boring right now. I don't know really what to do with myself. I mean, I'm gonna start classes soon and that's good, but everyone will be gone, except me the kid that fucked up at big boy school and has to stay at home. I hate it. Why couldn't I just have settled down and done right? Hopefully, I can get my mom to let me go somewhere second sememster, if she doesn't, I'll have to move out because, I cannot live here for the entire year. Don't get me wrong, I like living here and it's pretty cool most of the time, but my siblings get on my last goddamn nerve. My mom sometimes can get real hellacious on me and I can't stand her. All I know is I can't stay here. Why can't I do anything right?"
"eventtime","2004-08-10 03:26:00"
"url","http://heading-for-nyc.livejournal.com/41653.html"
"userid","6158"
"itemid","161"
"event","I am so fucking sick of work. Yesterday I got a talk from my store manager because I'm acting ""different."" Sorry. I'm fucking tired. She knew about my show and that during tech week I would be going 9 til 11 with no breaks in between and apparently, she doesn't realize how much energy a show takes, especially a musical with 5 performances in 4 nights, I was pretty much exhausted. Oh, well. I fucking hate my job. I need to get another one. Real quick. It's like this. That job means nothing to me but a paycheck. Heaven forbid I'm stuck in a retail job for the rest of my life. So, basically this week has sucked with the exception of Saturday night when Brenden, Adam and I went to Adam's friend Alex's house. That was good times. So, I go back to work today at 5...I wanna find a job by friday so I can quit immediately. Anyway, my mom leaves this friday...so, I'll have the casa to myself which hopefully means some drunk shenanigans. Ah, well. Talk to you all later."
"eventtime","2004-07-27 15:30:00"
"url","http://heading-for-nyc.livejournal.com/41231.html"
"userid","6158"
"itemid","160"
"event","<table style='font-family : Arial, Verdana, Helvetica, sans-serif; border-collapse: collapse; border: 1px solid black;' cellspacing='0' cellpadding='2' align='center'><form action='http://memegen.net/viewmeme.pl?un=phobia&meme=1074669322' method='POST'><tr><th colspan=2  bgcolor='#000000'><font color='#DDDD88'>Would anyone want to bang you? by phobia</font></th></tr><tr><td bgcolor='#333333' style='border: 1px solid black;'><span style='color: #FFFFFF;'>Name:</span></td><td bgcolor='#DDDDAA' style='border: 1px solid black;'><span style='color: #000000;'><input type='text' name='Name:' value='casey' size='20'></span></td></tr><tr><td bgcolor='#333333' style='border: 1px solid black;'><span style='color: #FFFFFF;'>Favorite Food:</span></td><td bgcolor='#DDDDAA' style='border: 1px solid black;'><span style='color: #000000;'><input type='text' name='Favorite Food:' value='general tso&apos;s chicken' size='20'></span></td></tr><tr><td bgcolor='#333333' style='border: 1px solid black;'><span style='color: #FFFFFF;'>Wants to Bang you:</span></td><td bgcolor='#DDDDAA' style='border: 1px solid black;'><span style='color: #000000;'><img src='http://www.officiallylucy.com/images/Marilyn%20Monroe.jpg'></span></td></tr><tr><td bgcolor='#333333' style='border: 1px solid black;'><span style='color: #FFFFFF;'>This many times:</span></td><td bgcolor='#DDDDAA' style='border: 1px solid black;'><span style='color: #000000;'>22</span></td></tr><input type='hidden' name='un' value='phobia'><input type='hidden' name='meme' value='1074669322'><tr><td colspan=2 align='center' bgcolor='#000000'><input type='submit' value='Fill Out Your Answers and Try it!'></td></tr><tr><td colspan=2 align='center' bgcolor='#000000'><font size='-1' color='#FFFFFF'><a href='http://memegen.deskslave.org/'><font color='#DDDD88'>Quiz created with MemeGen</font></a>!</font></td></tr></form></table>"
"eventtime","2004-07-21 20:25:00"
"url","http://heading-for-nyc.livejournal.com/41003.html"
"userid","6158"
"itemid","159"
"event","In the oast few days I have decied that Gone With the Wind is my new favorite movie. Just thought I'd let you know."
"eventtime","2004-07-21 20:18:00"
"url","http://heading-for-nyc.livejournal.com/40894.html"
"userid","6158"
"itemid","158"
"event","OK, I just had the best the best time with fireworks. I also accidentally set off a bottle rocket in Theresa's car. oops. I also shot roman candles at Nicole and Annmarie. I got a catholic to say shit. I rule.

That's all."
"eventtime","2004-07-14 01:15:00"
"url","http://heading-for-nyc.livejournal.com/40687.html"
"userid","6158"
"itemid","157"
"event","Ok, I'm in a show. It's called HONK! These are the times. Go.

$10 for adults and $8 in kids.

Thursday, July 15 @ 7:30
Friday, July 16 @ 7:30
Saturday July 17 @ 2:30 and 7:30
Sunday, July 18 @ 2:30


Oh, if you wanna go call me. I'll give you directions and such."
"eventtime","2004-07-13 00:54:00"
"url","http://heading-for-nyc.livejournal.com/40355.html"
"userid","6158"
"itemid","156"
