"names","values"
"itemid","2"
"event","<div style=""text-align: center;""><font size=""4""><img src=""http://i207.photobucket.com/albums/bb305/icyacadia/banner.jpg"" alt=""banner"" /><br />Don't forget to include where you heard of this journal from in your comment. Thanks.</font></div>"
"eventtime","2017-12-05 17:33:00"
"current_moodid","56"
"url","http://iceorraindrop.livejournal.com/625.html"
"userid","6699"
"itemid","78"
"event","Protagonists and Allies:<br />Amanda is a twenty-five year old system administrator and investigator for ASR. Her tropes, using the ones from <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/HomePage"">this site</a>, are <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/GadgeteerGenius"">gadgeteer genius</a> with a bit of <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/HeroicBystander"">heroic bystander</a> when the chips are down. She's actually a very minor character despite being the one picked to play in <div class=""ljuser""><a href=""http://community.livejournal.com/polychromatic/profile""><img width=""16"" height=""16"" src=""http://stat.livejournal.com/img/community.gif"" alt=""[info]"" style=""border: 0pt none ; vertical-align: bottom; padding-right: 1px;"" /></a><a href=""http://community.livejournal.com/polychromatic/""><b>polychromatic</b></a></div>.<br /><br />Lucian was a thirty-three year old field agent for ASR, and died during an investigation. His tropes were <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/ParttimeHero"">part-time hero</a> and <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/BunnyEarsLawyer"">bunny ears lawyer</a>. His issues went overlooked both because of his heroic tendencies, and that the issues were harmless and didn't create to much of a setback.<br /><br />Robert Mathews was a fifty-two year old military colonel, and died of complications of a heart attack. His tropes were <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/ReasonableAuthorityFigure"">reasonable authority figure</a>- the reasonableness was what cost him the rank of general, actually-&nbsp; and <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/TheQuietOne"">the quiet one</a>.<br /><br />Alexis was a twenty-eight year old field medic for ASR, and died due to being struck by a stray round while tending a patient during a battle. Her tropes were <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/CoolBigSis"">cool big sis</a> and a <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/TomatoInTheMirror"">tomato in the mirror</a>- an unknowing clone of a doctor with the same name who died in a car accident who took the woman's place; she never discovered that.<br /><br />Charles is a thirty-four year old scientist who did freelance work when research grants weren't panning out. His tropes are <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/AloofBigBrother"">aloof big brother</a> and <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/TheProfessor"">the professor</a>- though he does snap and become a <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/MadScientist"">mad scientist</a> after a certain series of events despite not becoming evil just insane.<br /><br />Villains: <br />Madison was a twenty-nine year old former field agent who went insane gradually during the first third of the story before defecting and becoming one of the main antagonists of the second third of the story; pre-insanity, he was almost a completely different person, though always slightly unstable. Eventually, he is killed by Lucian, but the hero dies later in the investigation from wounds obtained during the fight. His tropes were <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/KnightTemplar"">knight templar</a> and a twisted example of the <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/WarriorPoet"">warrior poet</a>.<br /><br />[Full sketches will come later]"
"eventtime","2008-03-10 00:44:00"
"current_moodid","59"
"url","http://iceorraindrop.livejournal.com/20144.html"
"userid","6699"
"itemid","17"
"event","<div align=""center""><font size=""6""><font color=""#0000ff""><u>Public Service Announcement:</u><br /><font size=""5"" color=""#000000"">Black jelly beans taste like DEATH, please exercise caution when buying jelly beans to avoid this particular flavor. Your tastebuds, and comrades will thank you. That is all.</font></font></font></div>"
"eventtime","2007-09-01 15:44:00"
"current_moodid","92"
"url","http://iceorraindrop.livejournal.com/4574.html"
"userid","6699"
"itemid","8"
