"names","values"
"itemid","21"
"event","Hello everyone marissa i love you yes me and her are talking right now bitches for life woot wootsuchh a tragedyx: jackienicholesantamariaismyLover. wow isnt she gorgeous well thats it im kind of tierd chak out my myspace umm yeah ok bye now <33"
"eventtime","2005-03-13 00:47:00"
"current_moodid","90"
"url","http://imaloserr4real.livejournal.com/5629.html"
"userid","6877"
"itemid","20"
"event","Hey guys,

 Whats new?ummm nothing much here just got 3 new cds pretty pretty cool well im not doing anyhting so i guess illd o this crap hehehe ok gtg l8ter<333"
"eventtime","2005-02-26 22:08:00"
"current_moodid","107"
"url","http://imaloserr4real.livejournal.com/5353.html"
"userid","6877"
"itemid","19"
"event","Hello fellow people who are reading this,

  today has been a pretty boring day cleaing yeahh i guess umm not much going on besides im listening to a thorn for every heart and mabey going to the mall tonight withh the lovely marissia<3333 yess well thats it for now just drinkin some drink ok bye now<3"
"eventtime","2005-02-23 17:14:00"
"current_moodid","68"
"url","http://imaloserr4real.livejournal.com/5020.html"
"userid","6877"
"itemid","18"
"event","Hello today has been a great day actually i heared somethings that people said """""""" but not going to say names cause im not involved but i just wanted to say that i think talking shit about people just because ther not on ur side is low just wanted t clarify that and say that i lvoe you marissa with all my heart <33 jackie"
"eventtime","2005-02-20 20:49:00"
"current_moodid","2"
"url","http://imaloserr4real.livejournal.com/4770.html"
"userid","6877"
"itemid","17"
"event","Hello dearys.
 christina is here yes and were about to light a fire cause were fricking cold jees yeahhhh well look at my myspace jacksm0530@aol.com
thats pretty much oh chelsea is amazing so is sandra and marissa and christina ok bye loves <33
Jacquelin"
"eventtime","2005-02-19 19:56:00"
"current_moodid","115"
"url","http://imaloserr4real.livejournal.com/4424.html"
"userid","6877"
"itemid","16"
"event","hello,

 marissa thank you soo much for the new journel backround i love you. Yes anyways today was a pretty good me and tracy,3 were laughing about the stupidest things in homeroom yeah but thats not importat ok i got my report card i got 2 d's and the rest are c's ummm yehahh well thats pretty much for my day and now im just online fixing my umm profile ok l8ter

<3 jacquelin"
"eventtime","2005-02-09 16:05:00"
"current_moodid","47"
"url","http://imaloserr4real.livejournal.com/4251.html"
"userid","6877"
"itemid","15"
"event","heyy people it`s Marissa here ! i re-decorated jackie`s journal for her, and i hope she likes it <3 ! * shh it`s a surprise! *  lol well i`m gonna get going, i love you <blink> SOOO</blink> much jackie <blink>x3</blink>
bff * 
 <img src=""http://g.myspace.com/00054/90/14/54144109_m.jpg"">
<33 love always, Marissa 
 <img src=""http://images.google.com/images?q=tbn:36ajtSKGqiwJ:showcase.netins.net/web/rfarm/newsletter/valentine.jpg"">"
"eventtime","2005-02-02 22:39:00"
"url","http://imaloserr4real.livejournal.com/4028.html"
"userid","6877"
"itemid","14"
"event","hello
     feelin pretty cool riht now just sittin here listening to fsf very nice and talking to the beautiful marissia and megan hale YES!! welll thats pretty much it bye bye bye

<3333"
"eventtime","2005-01-30 21:35:00"
"current_moodid","32"
"url","http://imaloserr4real.livejournal.com/3692.html"
"userid","6877"
"itemid","13"
"event","Hello 

how are you people that are reading this i think i am swell but a little confused about a person i dunno but whatever now i am looking at pictures of tony lavato so i have to go to the movies now see you l8ter bye

um heart


jackie"
