"names","values"
"itemid","41"
"event","<div class=""entry-item"">k, so uploaded some pics of my man - grins - &amp; me/my kids, too. Album's entitled &quot;Italian stallion&quot; (I can honestly say it's true about my Tony, LOL)&nbsp;if anyone's interested.</div><br />"
"eventtime","2011-08-08 10:40:00"
"current_moodid","72"
"url","http://imbloodyenglish.livejournal.com/10589.html"
"userid","6885"
"itemid","40"
"event","Haven't been on&nbsp;LJ for ages, so I logged in... low-n-behold, I'm wondering how the hell my user pic/icon got switched to my fiance's picture?&nbsp; Not that I mind, LOL, I just don't remember doing it myself.

Yeah... got my divorce, kicked his ass&nbsp;in court, woo hoo!&nbsp;&nbsp;6 months before I got it, my first ever boyfriend (from high school) found me on FB and woo'd me back into his life.&nbsp; And here I said &quot;never again&quot;... it's that damnable Italian charm I tell you!"
"eventtime","2011-08-05 09:18:00"
"current_moodid","125"
"url","http://imbloodyenglish.livejournal.com/10427.html"
"userid","6885"
"itemid","39"
