"names","values"
"itemid","8"
"event","<P><FONT color=#6666cc size=4><STRONG><U>Current State of The Union</U></STRONG></FONT></P>
<P><STRONG><FONT color=#cc66cc>&nbsp;&nbsp;&nbsp;&nbsp;<U>IN&nbsp;</U>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</FONT><U><FONT color=#cc66cc><FONT color=#ff0000>OUT</FONT><BR></FONT></U></STRONG><FONT color=#cc66cc>Off 5th&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <FONT color=#ff0000>Saks&nbsp;<BR></FONT>Burberry&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<FONT color=#ff0000>&nbsp;Old Navy&nbsp;<BR></FONT></FONT><FONT color=#cc66cc>being calm and cool&nbsp;&nbsp;<FONT color=#ff0000>having a&nbsp;spazz&nbsp;&nbsp;</FONT>&nbsp;&nbsp; </FONT></P>
<P><STRONG></STRONG>&nbsp;</P>
<P><STRONG></STRONG>&nbsp;</P>
<P><STRONG><IMG src=""http://www.horton-szar.net/clipart/Assets/images/wedding-loveword.gif""></P>
<P><STRONG><IMG style=""WIDTH: 78px; HEIGHT: 100px"" height=119 src=""http://www.wedmart.com/gifts/images/sliders/F.jpg"" width=106>&nbsp;Felicty</STRONG></P></STRONG>"
"eventtime","2005-07-28 18:13:00"
"current_moodid","92"
"url","http://imxcrippled.livejournal.com/2049.html"
"userid","6920"
"itemid","7"
"event","<P><FONT color=#6666cc size=5><STRONG><U>Current State of The Union</U></STRONG></FONT></P>
<P><STRONG><FONT color=#cc66cc>&nbsp;&nbsp;&nbsp;&nbsp;<U>IN&nbsp;</U>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</FONT><U><FONT color=#cc66cc><FONT color=#ff0000>OUT</FONT><BR></FONT></U></STRONG><FONT color=#cc66cc>&nbsp;&nbsp; LA&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp; <FONT color=#ff0000>NYC<BR></FONT>&nbsp;My&nbsp;Space&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;<FONT color=#ff0000>Xanga<BR></FONT>Laguna Beach&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<FONT color=#ff0000>Summerland&nbsp;</FONT>&nbsp; </FONT></P>
<P><STRONG></STRONG>&nbsp;</P>
<P><STRONG></STRONG>&nbsp;</P>
<P><STRONG><A href=""http://store.yahoo.co.jp/lib/dropin/LEERIOT-Word-LOVE-PinkMiller-1"" target=_top><IMG height=82 src=""http://images.google.com/images?q=tbn:WYHZezIX--gJ:http://store.yahoo.co.jp/lib/dropin/LEERIOT-Word-LOVE-PinkMiller-1"" width=122></A></P>
<P><STRONG><A href=""http://www.thehiphoplook.com/HF-F.jpg"" target=_top><IMG height=86 src=""http://images.google.com/images?q=tbn:uFYaK41vd-gJ:http://www.thehiphoplook.com/HF-F.jpg"" width=59></A>&nbsp;Felicty</STRONG></P></STRONG>"
"eventtime","2005-07-20 17:39:00"
"current_moodid","31"
"url","http://imxcrippled.livejournal.com/2012.html"
"userid","6920"
"itemid","6"
"event","<P><FONT color=#ffcc66>Hey ya'll! IM HOME!!! ((I know you are all having mini spaz attacks)) Volleyball camp was fun. Not much happened... Im sooo sore and tired but happy to be home. </FONT></P>
<P>&nbsp;</P>
<P><FONT color=#6666cc size=4><STRONG><U>Current State of The Union</U></STRONG></FONT></P>
<P><STRONG><FONT color=#cc66cc>&nbsp;&nbsp;&nbsp;&nbsp;<U>IN&nbsp;</U>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</FONT><U><FONT color=#cc66cc><FONT color=#ff0000>OUT</FONT><BR></FONT></U></STRONG><FONT color=#cc66cc>take out&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<FONT color=#ff0000>eating out<BR></FONT>volleyball&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <FONT color=#ff0000>&nbsp;basketball&nbsp;<BR></FONT>not soreness&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<FONT color=#ff0000>soreness</FONT>&nbsp;&nbsp;&nbsp;&nbsp; </FONT></P>
<P><STRONG></STRONG>&nbsp;</P>
<P><STRONG></STRONG>&nbsp;</P>
<P><STRONG><IMG src=""http://www.horton-szar.net/clipart/Assets/images/wedding-loveword.gif""></P>
<P><STRONG><IMG style=""WIDTH: 78px; HEIGHT: 100px"" height=119 src=""http://www.wedmart.com/gifts/images/sliders/F.jpg"" width=106>&nbsp;Felicty</STRONG></P></STRONG>"
"eventtime","2005-07-17 18:56:00"
"current_moodid","31"
"url","http://imxcrippled.livejournal.com/1762.html"
"userid","6920"
"itemid","5"
"event","<P><FONT color=#ffcc33>I had a whole new thing typed up and it got deleted. Not retyping it... </FONT></P>
<P><FONT color=#ffcc33>((People dont ask about all this just go with it))</FONT></P>
<P><FONT color=#6666cc size=4><STRONG><U>Current State of The Union</U></STRONG></FONT></P>
<P><STRONG><FONT color=#cc66cc><U>IN&nbsp;</U>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</FONT><U><FONT color=#cc66cc><FONT color=#ff0000>OUT</FONT><BR></FONT></U></STRONG><FONT color=#cc66cc>asking&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;<FONT color=#ff0000>telling<BR></FONT>volleyball&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <FONT color=#ff0000>&nbsp;basketball&nbsp;</FONT><BR>Oglethorpe&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<FONT color=#ff0000>Shelter Cove&nbsp;</FONT>&nbsp;&nbsp;&nbsp;&nbsp; </FONT></P>
<P><STRONG></STRONG>&nbsp;</P>
<P><STRONG></STRONG>&nbsp;</P>
<P><STRONG><IMG src=""http://www.horton-szar.net/clipart/Assets/images/wedding-loveword.gif""></P>
<P><STRONG><IMG style=""WIDTH: 78px; HEIGHT: 100px"" height=119 src=""http://www.wedmart.com/gifts/images/sliders/F.jpg"" width=106>&nbsp;Felicty</STRONG></P></STRONG>
<P><STRONG></STRONG>&nbsp;</P>"
"eventtime","2005-07-11 15:26:00"
"current_moodid","105"
"url","http://imxcrippled.livejournal.com/1509.html"
"userid","6920"
"itemid","4"
"event","Yesterday Hannah, Adrienne, Katie, Tim, Joey,Courtney  and I went shopping at the Outlets. It was SOOOO much fun! 

I didn't get anything...

after we were done shopping, hannah, katie, and i rode this mini merry-go-round. It was so funny, too bad we didnt have a camera. After that Joey and I were sitting on the ground throwing rocks at each other. Some lady reported us to security and the security lady came while we were riding the merry-go-round thing. It was funny.     

then we all crammed into joey's car and were talking about how that if Katie fell out of the car it would be really funny


LOVE YOU KATIE

now i'm really bored.what are we DOING TODAY?"
"eventtime","2005-06-07 11:26:00"
"current_moodid","5"
"url","http://imxcrippled.livejournal.com/1033.html"
"userid","6920"
"itemid","3"
