"names","values"
"itemid","306"
"event","Just though I'd let everyone know...

I'd die without my friends.
I love my little sisters.
School is getting old as hell.
I'm going to Japan in January.
I still don't have a boyfriend.
Boys still make me sick. 
I love Fridays.

TEAR THE sAILS!!!!! YEAAAAAAAAh"
"eventtime","2005-11-25 18:11:00"
"current_moodid","90"
"url","http://infatuated718.livejournal.com/78393.html"
"userid","6961"
"itemid","305"
"event","<P><lj-cut text=""surveys""> </P>
<P>20 people off the top of your head:</P>
<P>1)Ashlee<BR>2)Sandy<BR>3)Momma<BR>4)Tamara<BR>5)Carolyn<BR>6)Maureen<BR>7)Angie<BR>8)Jassmine<BR>9)Mike King<BR>10)Garrett<BR>11)Jeff King<BR>12)Travis M<BR>13)Jeremy<BR>14)Zach G<BR>15)Ryan F<BR>16)John Espy<BR>17)Daddy<BR>18)Cat<BR>19)Soy<BR>20)Angela<BR><BR>How did you meet 13? At a Tear the Sails show. Didn't realized I actually new his drummer, Travis.<BR><BR>What would you do if you never met 5? I would be very sad because I wouldn't have anyone as close to as retarded as she is to me to hang out with<BR><BR>What do you honestly think of 10?&nbsp;He... knows how to treat a lady lol<BR><BR>Have you ever liked 3? No, i've always hated her.. just kidding. i love my momma<BR><BR>If 1 died tomorrow, what is one thing that you would need them to know? I love you all. That's the most important thing they did know is just how much I loved them.<BR><BR>Would 2 and 11 make a good couple? Jeff and Sandy! HAHAHAHAHAH.. that would be the WEIRDEST thing ever.<BR><BR>Do you think 12 is hot? Oh yeah.. he's my sexy Trav<BR><BR>Would 1 and 17 make a lovely couple? my dad and ashlee... that's just kinda WRONG.<BR><BR>Do you know any of 4's family members?&nbsp;of her immediate family yeah.<BR><BR>On a scale of 1-10 how cute is 14? He's my boyfriend!<BR><BR>What would you do if 3 just professed their undying love for you?&nbsp;i'd be like ""momma, one.. i'm not a lesbian.. two.. we live in california, not alabama.""<BR><BR>What language does 19 speak? english and some asian shit hahaha<BR><BR>Who is 8 going out with? SINGLE BABY<BR><BR>Is 9 a boy or a girl?&nbsp;boy<BR><BR>When was the last time you talked to 18? about two hours ago.<BR><BR>What is 1's favorite band? Um&nbsp;Green Day and TLC<BR><BR>Does 2 have any siblings? Older sister and younger step brother.<BR><BR>Would you ever date 6? oh, she wants me.<BR><BR>Would you ever date 7? if i was a muff diver, absolutely<BR><BR>Is 15 single? nope<BR><BR>What is 19s last name? Aquino<BR><BR>What is 5's middle name? Rose<BR><BR>What is 2's fantasy? To marry some hot rich jewish guy and to be in the television business.<BR><BR>Would 14 and 19 make a good couple? Haha, that's so funny cuz that's my bf and cat's bf haha.<BR><BR>What school does 16 go to? doesn't go to school<BR><BR>What school does 1 go to? pierce.<BR><BR>Where does 9 live? &nbsp;in Grananda Hills&nbsp;<BR><BR>Would you make out with 10? no way.. garretts and my relationship is not like that.<BR><BR>Are 5 and 6 best friends? no not really.<BR><BR>Is 16 older than you? yes! haha.. ur old. </P>"
"eventtime","2005-10-17 01:08:00"
"current_moodid","31"
"url","http://infatuated718.livejournal.com/78330.html"
"userid","6961"
"itemid","304"
"event","he makes me happy =)"
"eventtime","2005-09-27 22:33:00"
"current_moodid","90"
"url","http://infatuated718.livejournal.com/77868.html"
"userid","6961"
"itemid","303"
"event","1. Do you still know/talk to the person you lost your virginity to?
mmm hmm

2. What would you do with 1,000 plastic spoons?
i'd turn them into little people and give them to my friends

3.What kind of music did you listen to in elementary school?
spice girls, gin blossoms, mariah carey, madonna, and no doubt

4.What is the best thing about your current job?
i hardly ever have to work and its with ashlee and my momma

5. Do you wish cell phone etiquette was a required class upon purchasing one? 
not really

6. Are you against marriage? 
definitely not. all for it.

7. Why?
because i want to have kids and i want them to have a loving father and i want to fall asleep at night next to the person i love.

8. What's the most fucked up food combination you've come up with that's actually tasty?
ketchup on toast 

9. Have you been on a date in the past week? (or just slept with anyone?) 
kinda

10. If yes... How did it go, if no, why not? 
amazing.. i officially have a boyfriend

11. Where are you going on your next vacation?
Possibly colorado.

12. Quote a song lyric, because I told you to!
heaven is not a place that you go when you die, its that moment in life when you actually feel alive 

13. Are most of the friends in your life new or old? old

15. Do you own any furniture from Ikea? i dont know

16. Are you ashamed of having it? No?

17. What do you wish someone would buy you? A HOUSE

18. What do you think of hipsters? uhhh.. i don't like you? lol

19. What are you wearing right now? hockey jersey and jeans

20. When is the last time you had mom's home cookin'?
sunday night i believe

21. Do you like your parents? my best friends

23. What state/country are you from? Northridge, CA baby

24. Do you ever wish you were gay/straight? sometimes hahaha

25. Tell us about the last conversation you had.
about some lyric my dad was laughing at

26. Where do you see yourself in one month?
uhm, probably at school 

27. What is your favorite smell? rain

28. Home Depot: evil or good? good for daddy

29. Do you consider yourself bi-polar?
sometimes

30. What is the time and the outside temperature at the moment?
9:14 PM and warm enough

31. Are you missing anyone right now?
always missing someone

32. What does your myspace quote mean? lyric from hawthorne heights

33. Elaborate on your primary photo. in paris bored

34. Who introduced myspace to you? a bang called guilt like gravity

35. How many comments do you have? no idea

36. What's your current relationship status?
in a relationship but it says married

37. What is your current problem? my figure


38. What are you doing right now? LMAO EATING

39.What do you hate most? LIARS and broken promises

40. What do you love most? My family and my baby boy boots

41. What makes you happy? my friends

42. If you could go back in time and change something, what would it be? 
i would have taken SAT's

43. If you MUST be an animal for ONE day, what will you be?
A cheetah

44. Ever had a near death experience? yeah but found out it was a joke later lol

45. Name ONE obvious quality you have.
i dont know dude.. how bout you do that for me if youre reading this


46. What's the name of the song that's stuck in your head right now? i dont know who sings it or what its called

47. Are you happy today? more nervous

48. Who will cut and paste this first? prob no one"
"eventtime","2005-09-21 21:03:00"
"current_moodid","106"
"url","http://infatuated718.livejournal.com/77781.html"
"userid","6961"
"itemid","302"
"event","<table border='0' cellpadding='5' cellspacing='0' width='600'><tr><td><img src='http://images.quizfarm.com/1110083892devil.gif'></td><td> You scored as <b>Satanism</b>. Your beliefs most closely resemble those of Satanism! Before you scream, do a bit of research on it. To be a Satanist, you don't actually have to believe in Satan. Satanism generally focuses upon the spiritual advancement of the self, rather than upon submission to a deity or a set of moral codes. Do some research if you immediately think of the satanic cult stereotype. Your beliefs may also resemble those of earth-based religions such as paganism.<br><br><table border='0' width='300' cellspacing='0' cellpadding='0'><tr><td><p><font face='Arial' size='1'>Satanism</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='100' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>100%</font></td></tr><tr><td><p><font face='Arial' size='1'>atheism</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='92' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>92%</font></td></tr><tr><td><p><font face='Arial' size='1'>agnosticism</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='88' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>88%</font></td></tr><tr><td><p><font face='Arial' size='1'>Buddhism</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='67' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>67%</font></td></tr><tr><td><p><font face='Arial' size='1'>Islam</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='58' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>58%</font></td></tr><tr><td><p><font face='Arial' size='1'>Christianity</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='42' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>42%</font></td></tr><tr><td><p><font face='Arial' size='1'>Hinduism</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='42' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>42%</font></td></tr><tr><td><p><font face='Arial' size='1'>Paganism</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='42' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>42%</font></td></tr><tr><td><p><font face='Arial' size='1'>Judaism</font></p></td><td><table border='1' cellpadding='0' cellspacing='0' width='17' bgcolor='#dddddd'><tr><td></td></tr></table></td><td><font face='Arial' size='1'>17%</font></td></tr></td></tr></table><br><a href='http://quizfarm.com/test.php?q_id=10907'>Which religion is the right one for you? (new version)</a><br><font face='Arial' size='1'>created with <a href='http://quizfarm.com'>QuizFarm.com</a></font></table>

finally.. i had no idea what i should consider myself. hahaha"
"eventtime","2005-09-21 20:52:00"
"current_moodid","106"
"url","http://infatuated718.livejournal.com/77339.html"
"userid","6961"
"itemid","301"
"event","i really don't think it's possible to explain the way i feel right now...

this is too good to be true. 

me = happy"
"eventtime","2005-09-20 16:50:00"
"current_moodid","86"
"url","http://infatuated718.livejournal.com/77239.html"
"userid","6961"
"itemid","300"
