"names","values"
"itemid","3"
"event","Well hello. i might just end up writing in this thing. Anyway... this weekend was fun actually it was a blast. it was to bad tho that the rest of my friends couldnt be there:(. Tonight im staying the night at stephs. which is really kool cause ive never spent the night at someones house on a school night! :) well again i am in keyboarding..BORInG!! Class is almost over tho so i got to go..mabe i'll write later.. Bye

-Kayla"
"eventtime","2004-04-26 11:08:00"
"current_moodid","70"
"url","http://kayleela79.livejournal.com/862.html"
"userid","7959"
"itemid","2"
"event","Right now i am sitting in keyboarding and it sucks!! And.. today mike is sitting next to me so it smells!!LOL j/k anyway.. todsay in pe we had to blow up like 300 baloons. it sucked!! well talk more later! 

-Kayla"
"eventtime","2004-04-23 11:23:00"
"current_moodid","66"
"url","http://kayleela79.livejournal.com/512.html"
"userid","7959"
"itemid","1"
"event","<P><EM><FONT color=#663366><STRONG>Ok I have just created this account. I probably will never write in it but why not.. I guess this could be fun. Just another way to chat w/ my friends. Right now I am in Keyboarding..where I will be most of the time when I wirte in this thing. Well the bell is about to ring. maybe I'll wirte later..</STRONG></FONT></EM></P>
<P><EM><FONT color=#663366><STRONG></STRONG></FONT></EM>&nbsp;</P>
<P><EM><FONT color=#663366><STRONG>-Kayla</STRONG></FONT></EM></P>"
"eventtime","2004-04-22 11:19:00"
"current_moodid","72"
"url","http://kayleela79.livejournal.com/443.html"
"userid","7959"
