"names","values"
"itemid","46"
"event","few things in the world compare to a night of cheap beer, leftover chinese and comic books"
"eventtime","2004-07-25 23:30:00"
"url","http://la-knabo.livejournal.com/11786.html"
"userid","8414"
"itemid","45"
"event","I really enjoyed it, but I had a few realizations during the movie.

     -More dangerous to society than having violence/sex/swearing in a movie is happy endings. They convince us that our lives will be ok. That despite all the trials and tribulation in the end it will all be worth it. to which I say ""Bullshit"".

     -Saying you're gonna peel the flesh off of someones bones is a kick-ass threat...especially if it's one you're capable of."
"eventtime","2004-07-05 01:29:00"
"current_moodid","10"
"url","http://la-knabo.livejournal.com/11660.html"
"userid","8414"
"itemid","43"
"event","Kenny Fisher is a dendrophiliac."
"eventtime","2004-06-17 21:37:00"
"url","http://la-knabo.livejournal.com/11126.html"
"userid","8414"
"itemid","42"
"event","My car was egged tonight....i'm not entirely sure how i feel about that."
"eventtime","2004-06-17 04:23:00"
"url","http://la-knabo.livejournal.com/10812.html"
"userid","8414"
"itemid","40"
"event","I got latex gloves caught in my zipper twice today...occupational hazzard, I guess."
"eventtime","2004-05-19 17:50:00"
"url","http://la-knabo.livejournal.com/10445.html"
"userid","8414"
"itemid","37"
"event","Jason Webley was awesome tonight. He sang a song about my mom, and then asked her how to pronounce the names of various flowers."
"eventtime","2004-05-11 00:04:00"
"url","http://la-knabo.livejournal.com/9653.html"
"userid","8414"
"itemid","32"
"event","Denise Fleming is a tampon."
"eventtime","2004-03-19 15:22:00"
"url","http://la-knabo.livejournal.com/8443.html"
"userid","8414"
"itemid","31"
"event","<i>Q: if you could have super powers, what would they be and why?
John Linnell: You know, I'll be completely honest with you. I'd like to be able to fly.
And I know I'd be crashing into Nelly Furtado up there,
but I still think it would be very cool.</i>"
"eventtime","2004-03-16 02:52:00"
"url","http://la-knabo.livejournal.com/7960.html"
"userid","8414"
"itemid","30"
