"names","values"
"itemid","792"
"event","at the moment, I am sitting in the lavish foyer of a lavish hotel on Universal property, wearing a lavish evening gown and surrounded by other women in equally lavish gowns.  Normally I would be bored out of my mind, as this is a work function for my husband.  However, I am grinning ear to ear.

Why?

Because last year I wore this stunning ball gown with a slight train on it.  I was a bit overdressed in my opinion.  This yeat mt dress is just as lovely but without a train.... and almost every woman here is wearing a near carbon copy of my dress last year.  

I am highly amused.  This is going to be fun."
"eventtime","2010-02-20 16:23:00"
"url","http://ladyofdarkstar.livejournal.com/202942.html"
"userid","8479"
"itemid","791"
"event","<a href=""http://s560.photobucket.com/albums/ss48/erinsyg2000/?action=view&current=help_haiti3.jpg"" target=""_blank""><img src=""http://i560.photobucket.com/albums/ss48/erinsyg2000/help_haiti3.jpg"" border=""0"" alt=""Photobucket""></a>

If you want to bid on me, please go here: :D  
http://community.livejournal.com/help_haiti/6394.html

This is a great cause and I encourage anyone to get involved."
"eventtime","2010-01-17 12:01:00"
"current_moodid","107"
"url","http://ladyofdarkstar.livejournal.com/202531.html"
"userid","8479"
"itemid","790"
"event","<lj user=casualmuse>, being the wonderful husband that he is, posted an update on our baby kitties. Granted, they are not babies anymore as they are now one years old.  But they are still the most loved and spoiled kitties.  My mother-in-law calls them the grandkitties and insists that they come over for the holidays like the rest of the family.

It's too cute.

But here's the link to <lj user=casualmuse>'s post.  Enjoy!
http://casualmuse.livejournal.com/58053.html?view=37061#t37061"
"eventtime","2009-12-30 22:04:00"
"current_moodid","64"
"url","http://ladyofdarkstar.livejournal.com/202359.html"
"userid","8479"
"itemid","789"
"event","""yup, the updates are still incredibly awesome
though this is one of the few times I'm sad to see the fluff acting as a way
to lead into more soul crushing plot elements.  I would have added in the
word ""more possible soul crushing"" but I've leaned many chapters ago not to
underestimate your ability to rip out my heart strings right after regrowing
them.""

That made me laugh so much.  The fact that I can do that to my readers just tickles me to no end.  Does that make me an evil author?  Probably.  Is that going to stop me in the future?  Probably not.

::giggles::"
"eventtime","2009-12-06 13:33:00"
"current_moodid","98"
"url","http://ladyofdarkstar.livejournal.com/202100.html"
"userid","8479"
"itemid","788"
"event","I have been bitten by the cruise bug again.

::starts planning::"
"eventtime","2009-12-05 09:28:00"
"current_moodid","56"
"url","http://ladyofdarkstar.livejournal.com/201860.html"
"userid","8479"
"itemid","787"
"event","@_@

This has got to be some kind of record. It's not even 8 a.m. yet and things are already starting to go wrong.  You know the rest of the day is either going to be painfully annoying or really interesting when the fisrt quote that comes to mind is from the movie ""Real Genius.""

""I was thinking of the immortal words of Socrates, who said, I drank what?""

Carry on."
"eventtime","2009-12-02 07:21:00"
"current_moodid","51"
"url","http://ladyofdarkstar.livejournal.com/201495.html"
"userid","8479"
"itemid","786"
"event","Sometimes I do dumb things.  I know they are dumb long before I do them, but I do them anyway.  So far on my list of dumb things I have not done anything horrible or terrifying stupid.  Just tiny little things that bring general annoyance to my life.  I should really stop doing them.

But, much like watching a train wreck, I can't seem to stop."
"eventtime","2009-12-01 16:25:00"
"current_moodid","92"
"url","http://ladyofdarkstar.livejournal.com/201217.html"
"userid","8479"
"itemid","785"
"event","There is a baby squirrel on my back porch.  

That, in and of itself, would be too cute for words. However, Tora (one of my kitties), has fallen in love with it.  She lays by the sliding glass door, purring at it.  In response, the squirrel lays by the other side of the sliding glass door, too, and makes it's own little cute sounds.

My kitty has adopted a squirrel.  The squirrel loves my kitty.  

I cannot begin to describe the cute."
"eventtime","2009-08-22 12:02:00"
"current_moodid","58"
"url","http://ladyofdarkstar.livejournal.com/200989.html"
"userid","8479"
"itemid","784"
"event","We have pizza. We have mac-n-cheese and raspberry tea.  We have WoW, and we are alone (save for the kitties).

And it's raid time.  

FOR THE HORDE!

Mhahahahahaha..."
"eventtime","2009-08-19 21:09:00"
"current_moodid","44"
"url","http://ladyofdarkstar.livejournal.com/200797.html"
"userid","8479"
"itemid","783"
"event","Li4uIGFuZCBhbHNvIHRhcmdldGVkIGRpcmVjdGx5IGF0IDxsaiB1c2VyPSJ0ZXNzbWMiPi4gIE1oYWhhaGhhaGFoYWhhaGFoYSENCg0KPGI+RnJvbSAiSWYgYW4gQXV0b2JvdCwgZG8gTk9UIGRvIHRoZSBmb2xsb3dpbmcuLi4iIGJ5IEh1bW1lcmdyZXkgb24gRmFuZmljdGlvbi5uZXQ8L2I+ICANCg0KPGk+Qk9PTSEgQW4gZXhwbG9zaW9uIHJvY2tlZCB0aGUgZmxvb3IsIHN3aW5naW5nIHRoZSBsaWdodHMgc2lkZSB0byBzaWRlLiBQcm93bCB0ZW5zZWQsIHdpbmdzIHNuYXBwaW5nIHVwIHN0cmFpZ2h0LCB3YWl0aW5nIGZvciB0aGUgbmV4dCBtb3ZlIHdoZW4gdGhlIGludGVybmFsIGNvbW0gcGluZ2VkLg0KDQo6OiBNeSBiYWQuIEV4cGVyaW1lbnQgd2VudCB3cm9uZzo6IFdoZWVsamFjaw0KDQo6OldlbnQgd3Jvbmc/IERvIGFueSBnbyByaWdodD86OiBJcm9uaGlkZQ0KDQo6OiBIb3cgd3Jvbmc/OjogUHJpbWUNCg0KOjpVaG0sIEnigJlkIG9wZW4gdGhlIGRvb3IgdG8gbG9vayBidXQgaXTigJlzIG5vdCBoZXJlIGFueW1vcmU6OiBXaGVlbGphY2suDQoNCjo6VGhlIGV4cGVyaW1lbnQ/OjogUmF0Y2hldC4NCg0KOjpObywgdGhlIGRvb3IuIEnigJltIGd1ZXNzaW5nIGl0IGJsZXcgdGhyb3VnaCB0aGUgd2FsbCBhbmQgb253YXJkIGZyb20gdGhlIHNvdW5kczo6DQoNCjo6V2h5IHNvdW5kcz86OiBSYXRjaGV0DQoNCjo6TXkgb3B0aWNzIGFyZSBvdXQuIFNvIGFyZSBteSBsZWdzOjogV2hlZWxqYWNrLg0KDQo6OiAqJSM6OiBSYXRjaGV0LiA6OkRvbuKAmXQgbW92ZS4gSeKAmWxsIGJlIHJpZ2h0IHRoZXJlOjoNCg0KOjpIdW1hbiBhaWQgY3Jld3MgYXJlIGFsc28gcm9sbGluZzo6IEpvbHQNCg0KOjpJIGRvbuKAmXQgbmVlZCB0aGVpciBoZWxwOjogUmF0Y2hldC4NCg0KOjpJdOKAmXMgZm9yIHRoZSBmaXJlIG9uIHRoZSBuZWlnaGJvcmluZyB0d28gYnVpbGRpbmdzLiBGb3VuZCB5b3VyIGRvb3Ig4oCYSmFjay4gSXTigJlzIGVtYmVkZGVkIGluIHRoZSBhaXJmaWVsZDo6IEpvbHQuPC9pPg0KDQoqZ2lnZ2xlcyBsaWtlIHRoZSBtYWQq"
"eventtime","2009-08-15 23:09:00"
"current_moodid","44"
"url","http://ladyofdarkstar.livejournal.com/200610.html"
"userid","8479"
"itemid","782"
"event","<a href=""http://icanhascheezburger.com/2009/07/26/funny-pictures-pistol-would-be-funny/""><img class=""mine_4704158"" title=""funny-pictures-cat-has-water-pistol"" src=""http://icanhascheezburger.wordpress.com/files/2009/07/funny-pictures-cat-has-water-pistol.jpg"" alt=""funny pictures of cats with captions"" /></a><br />see more <a href=""http://icanhascheezburger.com"">Lolcats and funny pictures</a>"
"eventtime","2009-07-28 08:38:00"
"current_moodid","8"
"url","http://ladyofdarkstar.livejournal.com/200193.html"
"userid","8479"
"itemid","781"
"event","Last night I had a dream that I was Amy.

O.o

Yeah."
"eventtime","2009-07-27 15:26:00"
"current_moodid","87"
"url","http://ladyofdarkstar.livejournal.com/200043.html"
"userid","8479"
"itemid","780"
