"names","values"
"itemid","27"
"event","I have an amazing year in 2009. I met Ben DeHaan on (IN) game and we chatted. Hooked up our characters by getting married. His character was a lycan and mine was a vampire. By that time around Sept 2009. We decided to give each other a try irl and so.. He flew me to Wa State, Seattle and we met on his bday on Oct 16, 2009. Stayed there for few days and flew back home then he decided I should move in with him so I flew back there several weeks later and move in with him around after thanksgiving. So... another few months flew by, around Dec 25.. he gave me a hug around 6 in the morning while we were stocking up the socks. He said as he hugged me ""I want to grow old with you"" then he pulled out a box and inside it was the ring and ask me to marry him and I said ""Yes!"" So now we've been engaged for over a year and the wedding date is set to July 4, 2011. He put on the 1k gold of diamond in my right hand first cause we both were so freaking tired then I told him ""Shouldn't it be in the left hand?"" (Lol)... It's so big!.. had to resize it from 5 ro 4 1/2 ring size. XD.. It's been a really long time since I've been here.. I miss you guys. My uncle Mike the one who raised me in from my 8th grade through graduating in May 2004. Is diagnosed with Stage 3 Lung cancer and they said he's got barely 2 weeks to live. It's incurable and the only thing they can help him is ease the pain till he passes away in the Hospital. I prayed alot and kept asking that he would still make it. But it wasn't exactly my prayers but he was asking for me to come to NC, Fayetteville and I'll be flying sometime this weekend there. I've not seen him in over 5 years! I heard he lost alot of weight.. imagine a 57 yr old man, around 6'1-6'3 weighing about 90lbs.. he's so skinny..! And he finally started eating last week, first time in 3 months. O.O That's a good relief that I'll be able to see him before he goes -Starts crying- then I heard today that my friend Truvey had passed away on Jan 11, 2011 at 2:45pm. He had a pneumonia, his heart, lungs and liver were failing. He was fighting it for a while and failed to mention me about it. I've known him for like over 5 years playing (BF) game with him. He always cared about that game and he would put everyone first before him. He was only 47 yrs old. T_T I had an uncle passed away last year before my bday came.. then my grandfather passed away 2 yrs ago half a year before my bday came.. then my great great aunt had died few weeks later of 2007. Now I hear another of my uncle in the Philippines is on 2 oxygen tanks.. It's hard to face the reality of death in your family. I am trying to hold on. Trying to keep it positive that we'll soon all meet them."
"eventtime","2011-01-13 16:01:00"
"current_moodid","64"
"url","http://leprodigy1285.livejournal.com/6998.html"
"userid","8688"
"itemid","26"
"event","His name is Louis Pacini, we've known each other for more than a year now and got together on June 30th. He is coming down here finally to meet him and he will be going to move in with me and we will be getting our own place. I am a model and something more now. Porn star if you put it to that. today I got a call to get into a film with Jamie Foxx in Las Vegas to get flown there. Everything is doing great for me, Louis is going to be here by Sept 18, hopefully if everything goes as his plans. I am also getting flown out of USA somewhere to make more vids from Bang Brother's Productions. Am making one this Friday morning and my sister is my new make-up artist. She'll be my personal assistance from now on and will be working for me. Also I can't wait"
"eventtime","2008-09-03 14:31:00"
"current_moodid","125"
"url","http://leprodigy1285.livejournal.com/6713.html"
"userid","8688"
"itemid","25"
"event","My poor Mustang GT (Suboshi) got his side right view window was broken into... WAAAH! I'm sorry Schu I called you early this morning, I had to calm down a bit. And talking to you would help me calm. But anyways, I broke down crying about my baby car... And two other cars was broken into, still..... Were getting him fixed today, and it was my sister's 18th b-day today. But I got to get my Suboshi together in one piece again. I can't believe this. They do have or might have a lead on who it is. This ani't no vandalism, it was a pro stealing. My iPod was being tried to get stolen, they couldn't get it. Even though they managed to open the smallest window. Makes no sense. I told the Sheriff that the only thing missing was my car manual. He stared at us strangely. It definitely made no sense to me either. *Sighs* 2 weekends ago, I got to feed an Alligator named him Ali G Bruno... He was 4ft long, then I saw a 3 1/2 ft Greater Amberjack fish eating my premium chickens. We named him Big Boi! So, besides waking up finding this morning was a complete disaster. I would rather have not to see it this early, oh well... Hope we find the culprit!"
"eventtime","2007-06-05 09:51:00"
"current_moodid","110"
"url","http://leprodigy1285.livejournal.com/6649.html"
"userid","8688"
"itemid","24"
