"names","values"
"itemid","67"
"event","<small>so i suck at writing in this because i never do and i forget and blah blah.
so i spent the night at haydens a while ago and it was fun, we watched snowboarding vids with scott.
so pretty much ive been hanging out with <a href=""http://www.myspace.com/helloyou"">[VANFOE_]</a> a lot, and it's been awesome.
let's see. casey and working is pretty much what i do.
and bill's coming home tomorrow and i'm really excited.
or actually he's home tonight but i see him tomorrow.
and i hope he comes in the morning and wakes me up. that would be fun.
but whewww. i'm watching <b><u>how to deal</u></b> right now.
it's pretty sucky. yet pretty good. but hey. these are pics from a few days go.
or when he was still here.
sigh, i'm in love with him. =D</small>

<center><small><small>we are so weird
<img src=""http://i2.photobucket.com/albums/y45/laurawhit/000_0548.jpg"">

<img src=""http://i2.photobucket.com/albums/y45/laurawhit/000_0547.jpg"">

<img src=""http://i2.photobucket.com/albums/y45/laurawhit/000_0545.jpg"">

<img src=""http://i2.photobucket.com/albums/y45/laurawhit/000_0543.jpg"">

<img src=""http://i2.photobucket.com/albums/y45/laurawhit/000_0533.jpg"">

I LOVE HIM SO MUCH.
</small>
anyway, tomorrow i'm hanging out with bill all day.
i got new clothes for school today and i'm really excited. =D
have a good day.
l__aura"
"eventtime","2005-09-05 01:06:00"
"url","http://lewnatik4u.livejournal.com/17204.html"
"userid","8728"
"itemid","66"
"event","let's see. this is what REALLY happened from thursday on...

uhhh. 
on thursday i woke up late
amanda came over and we had no money so we didnt have any lunch
then we went and picked up bill and he came over for a few hours then he left for hockey
then i had soccer, and practice was really really good.
then i came home and hunter was going to lauren flax's party so i didnt wanna intrude. haha
so amanda came home and we went to harrisons.
whew, funnest night of my life. actually not really but it was still really fun.
we listened to emery for a lot of the night.
and we're all going to that show together.
im stoked.
okay there was five boys there, and they told amanda to buy 4 cases of beer. hm 48 beers for 5 people. hmm. fun. haha it was sweet though.
they were just shooting darts in each other cuz they were wasted, like in the ass. and the nipple, and in the calf. whew. it was massive.
in the meanwhile, amanda and i were watching eurotrip and playing egyptian ratscrew. =D
then harrison came home with us cuz he was shitfaced like no other. 
uhh we went to sleep, i woke up and amanda had just left so i got ready and all.
then the churches woke me up around 4 (a little late) and we went to bill's game, and we watches eurotrip and pay it forward on the way up
thenn they lost, but it's all good, it was their first game. then on the way home it was just really sad. cuz from friday i wont see bill for eleven days. 
i think its down to nine now. i dont see him till the first day of school. whew. it sucks.
he wasnt allowed to come to my games on saturday, and then he had a game on sunday. man. it sucked.
and now he's off to smith mountain lake. then to pennsylvania (i think?) for his uncle's wedding.
but at least he's gunna be having fun. =D
but anyway. 
thus weekend was my tournament and all
which was awesome
A;KLDHG;KLAGHC !!!!!
so on saturday we won our first game 2-0 and tied the second 0-0
so we were in first for the day
then we won our third game on sunday 1-0 (I SCORED) therefore we were going to the championship!
ahh we were so excited but so scared cuz the blue team were all fucking tanks. not even kidding. god damn. (john gammon)
so we had five subs to start with but four of them were injured so we were screwed.
but then. it was 1-1 at half. which was pretty awesome.
then we scored in the last five minutes. man so we were all jumping then we were all like damnit we gotta keep it up. 
so then the whistle blew
AND WE WON.
it was the first time we had all played together and we won the tournament. i think this is gunna be a good season.
oh and also, WE GOT THESE TROPHY'S THAT ARE HUGEEEE. NO JOKE.
whew, rachael was like. man i don't think this is gunna fit in my car.
we are so weird.
I LOVE ALL OF YOU.
&hearts; Lauren, Sarah, Rachael, Allison, Courtney, Laura, Casey, Renee, Kenzie, Megan, Tiffany, Anne, Taylor, Kristin&hearts;
WHEW.
now im going out to lunch with casey and hayden.


loveee.

l__aura"
"eventtime","2005-08-29 10:34:00"
"current_moodid","9"
"url","http://lewnatik4u.livejournal.com/17145.html"
