"names","values"
"itemid","17"
"event","Well life sucks sometimes....I had to drop my mom and my aunt off at the airport yesterday bc their dad died and the funeral is today.  It was my first time driving to tampa by myself...it was scary but I made it...yay!!  BC my aunt is a nut I am forced to stay at her condo until they get back...I have nothing to do and it sucks.  I'm just glad I don't have to work until thursday.  Yay for me!  Daniel is asleep on the couch right now.  I picked him up this morning so I would not have to be all by myself.  I have to tutor some girl in algebra today at 11:30....oh that will be fun.  Sense the sarcasm?  OHHHHHH I got a new car guys.  It is a 2002 accent and it is really cute.....bright red but still cute.  Ash you have to see it soon.  Awe Daniel is so cute when he is sleeping....he is cute when he is not sleeping but cuter when he is.  Yeah it sucks...haha.  Welp I guess that is everything for now....I have no life between work and school so nothing toooooo exciting to update you on....sorry.   Love ya lots though"
"eventtime","2004-11-02 10:03:00"
"current_moodid","67"
"url","http://lilblinzi.livejournal.com/4396.html"
"userid","8842"
"itemid","16"
"event","Hey guys whats up?  I am sooooo tired!!  Ok well work doesn't suck anymore bc I quit my lame as job at the damn sushi bar and now work at the Italian Kitchen in Riverview.  It is sooo awesome.  I really like it.  It is nothing like my old job....I actually keep busy here.  Plus I get 5 bucks an hour plus tips so I'm a happy working girl...yay!!  Welp I got my hair permed and I really like it.  Ash I agree...I look better with curly hair.  Tonight was soo much fun at work.  I felt all cool bc the people I worked with said I was doing and amazing job and said I was a lot better than the other new girl that has been working for like 2-3 weeks.  It felt cool bc I have only worked 3 times and this was my first time actually waitressing...yay!  I still have lots and lots to learn but I like it.  School is going really well too by the way.  I am starting to be able to talk to Justin a little more which makes me happy...**smiles**!  He is too cute!  Anyways nothing new is really going on in my life.   Steven and I are talking again...we are trying to be friends.  haha that's weird to think about but it seems to be workin...??  ahhh who really cares?  I don't!!  Welp guys...I'm gonna go to sleep now but I love you all!  **muahz**"
"eventtime","2004-09-08 23:22:00"
"current_moodid","116"
"url","http://lilblinzi.livejournal.com/4210.html"
"userid","8842"
"itemid","15"
