"names","values"
"itemid","19"
"event","Yesterday was my birthday. I'm goin' tomorrow morning to take my learners test. I just dunno, I ain't studied any... I'm gunna go. I got homework, but I'mma go call Trey.. Much Love!"
"eventtime","2005-09-11 15:28:00"
"url","http://lilmisschar-09.livejournal.com/4935.html"
"userid","8888"
"itemid","18"
"event","I don't really have time for this stuff anymore,lol, with school and tryin' to work here and there. I've found a truck I really, really like & I think old daddy's givin' in, lol. I'm waitin' on Trey to call, so I guess I'mma go talk to dad bout the truck : ) Much Love < 3"
"eventtime","2005-09-05 21:31:00"
"current_moodid","11"
"url","http://lilmisschar-09.livejournal.com/4860.html"
"userid","8888"
"itemid","17"
"event","<div align=center><form name=""quizform"" target=""_new"" action=""http://www.kwiz.biz/showquiz.php?quizid=5745"" method=""post"">
<table border=1 bordercolor=#000000 bgcolor=""#A090D5"" cellspacing=0 cellpadding=2>
<tr><td colspan=2 align=center bgcolor='2C0860'><a href='http://www.kwiz.biz/showquiz.php?quizid=5745' target='_new' style='text-decoration: none;'><font style='color : #ffffff; font-family : Arial, Helvetica, sans-serif;' color= '#ffffff'><b>Are you one of the 3 P`s? (Poser, Punk, Prep)</b></a></font></td></tr>
<tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'>What do they call you? </td><td bgcolor='#D8DAF3'><input type='text' name='in0' size='32' maxlength='64' value='Char Jo'></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'>When is your cake-day? </td><td bgcolor='#D8DAF3'><input type='text' name='in1' size='32' maxlength='64' value='September 10th'></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'>What color are you feelin`? </td><td bgcolor='#D8DAF3'><input type='text' name='in2' size='32' maxlength='64' value='Blue'></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'>What grade you reppin`? </td><td bgcolor='#D8DAF3'><input type='text' name='in3' size='32' maxlength='64' value='9th'></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'>What`s your favorite song? </td><td bgcolor='#D8DAF3'><input type='text' name='in4' size='32' maxlength='64' value='Like you'></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>You are a ViRGiN =)</b> </td><td bgcolor='#D8DAF3'><font style='color : Red; font-family : Arial, Helvetica, sans-serif;'><b>FALSE</font></b></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>You are in l0ve <3</b> </td><td bgcolor='#D8DAF3'><font style='color : #009933; font-family : Arial, Helvetica, sans-serif;'><b>TRUE</font></b></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>You are:</b> </td><td bgcolor='#D8DAF3'><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>YOURSELF! - Yes, you are N0T one of the 3 P`s. GO Y0U! You have your own style and personality that is impossible to label! There is not one word that can describe you. All there is to say is...NEVER CHANGE.</b></font></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>You are a true:</b> </td><td bgcolor='#D8DAF3'><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>Ballerr..Oh yeh, GO Y0U. You have a lot of talent when it comes to sports =)</b></font></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>You like:</b> </td><td bgcolor='#D8DAF3'><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>Spending most of your time on the Computer - Ohh boy, yes it`s true, Y0U are a computer GEEK! It`s alright, everyone loves spending time on the comp...just not as much as you!</b></font></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>One of your go0d qualities is:</b> </td><td bgcolor='#D8DAF3'><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>that your Caring - Your a very caring person, you care about others around you and people realize that. Stay the way you are.</b></font></td></tr><tr><td colspan=2 align=center bgcolor=#2C0860><input type=""submit"" name=""submit"" value=""Try Your Answers!""></td></tr>
<tr><td colspan=2 align=center><font size=-1 style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><B>This <A href=""http://www.kwiz.biz/"" style='color : #000000;'><font style='color : #000000;' color=black>QuickKwiz</font></a> by <a href='http://www.kwiz.biz/userprofile.php?userid=10263'><font style='color : #000000;' color='#000000'>lil_mmm</font></a> - Taken 531969 Times.<img src=""http://images.kwiz.biz/kwizcount.gif"" width=""1"" height=""1"" border=0>
</font></a></b></font></td></tr></table><font style='font-family : Arial, Helvetica, sans-serif; font-size: 9pt;'>New - COOL Dating Tips and <A href='http://www.datingtips.ws/' style='text-decoration: none;'>Romance Advice!</a></font></div>
</form>"
"eventtime","2005-09-03 18:49:00"
"current_moodid","64"
"url","http://lilmisschar-09.livejournal.com/4589.html"
"userid","8888"
"itemid","16"
"event","I haven't done this in like a week. I forgot.. lol. School's awesome. I get to see Trey a lot more often than I thought I would. It's all good.. Much Love < 3"
"eventtime","2005-08-31 15:51:00"
"current_moodid","53"
"url","http://lilmisschar-09.livejournal.com/4188.html"
"userid","8888"
"itemid","15"
"event","Well.. I just got back form Church.. My daddy got babtisted tonight. It was great. My family was there and we all got along. My cousin's gettin married Sunday.. I'm on the phone so I'm gunna go. Much Love"
"eventtime","2005-08-24 21:52:00"
"current_moodid","125"
"url","http://lilmisschar-09.livejournal.com/3933.html"
"userid","8888"
"itemid","14"
"event","I don't kno.. I'm kinda pissed off & only Trey, Amber and David Smith kno why. Other than that.. I'm inna pretty good mood. My daddy gets babtisted tonight, and I'm so excited for him... but (somebody) is supposed to call me back and I get to chew them out, lol. So I'm gunna go take a shower b4 they call. Much Love < 3"
"eventtime","2005-08-24 13:54:00"
"current_moodid","61"
"url","http://lilmisschar-09.livejournal.com/3591.html"
