"names","values"
"itemid","14"
"event","well i went to go play soccer with nora and brenna yesterday and we ended up doing 120s and scrimmaging with claire's team which i will admit was better than i would have guessed. it was tough work hangin with those 12 year olds haha. then we went back to nora's and made quesadillas and homemade peach-strawberry pie!! yummm. then i went back over there this morning to go running with nora and justine. OMGGGGGGGooodness we ran a whole heck of a lot b/c those training things that coach green gave us are not exactly simple... we musta run and sprinted uphill like over 4 miles. but it was actually kinda fun having company and all. hopefully our training regimen will work out even if it's just us three. well i gotta go now but i hope all is well and everyone is having a good summer!
xoxo

p.s. running always feels so good after u finish!!!!!!!!!"
"eventtime","2005-07-13 16:04:00"
"current_moodid","68"
"url","http://liseyreecierave.livejournal.com/3773.html"
"userid","8982"
"itemid","13"
"event","well i am now back from camp kanata and i had soooooooooo much fun. i miss everyone SOOO freakin much and i only met them 2 weeks ago. luckily they all dont live too far away. i really hope i get chosen to be a cilt tho b/c if i dont im going to be sad... boo hoo ill miss it a lot b/c camp is when i get to be a KID again, haha. well i have a cherry pie in the oven and it's calling me but i luv everyone and rachel... call me b/c we sooo need to get together. i got your letter at camp.. YAY!! thanks soooo much. wish i could give everyone sum pie but its too good lol. xoxo"
"eventtime","2005-07-11 21:27:00"
"current_moodid","59"
"url","http://liseyreecierave.livejournal.com/3393.html"
"userid","8982"
"itemid","12"
"event","ok yeah so i promised that i would be updating a whole lot more now that it is summer... i guess i didnt really hold up to that promise. oh well no one reads this any way haha. so... whats been up? just got back from the pool abd well we FINALLY got a new computer so that the old one could go in my room. they new computer is like so SWEET im not allowed to touch it but it sucks b/c mine hasnt been hooked up to internet yet so i cant really talk to anyone on aim or anything. (haha my dad is in the shower so i snuck on the new computer). hmm... well i have vball camp next week and then i am going to disney WORLD!!! yayyy. we had the meeting thing for club soccer last night and i found out that there isnt going to even BE a silver team so it is a reallly good thing that i made gold. i feel so bad for the ppl that didnt though b/c they are really really good and now they might not be able to play at all. well i think i just heard the shower turn off so i betta go. love,

~lisey~"
"eventtime","2005-06-09 16:23:00"
"current_moodid","58"
"url","http://liseyreecierave.livejournal.com/3104.html"
"userid","8982"
"itemid","11"
"event","ahhh IM SO MAD THAT BO DIDNT WIN! oh well i'll get over it but still. wow it is really weird b/c it doesnt feel like summer to me. i guess im so used to middle school when u do absolutely nothing for the whole month before school actually ends. well i dont really know what else to say right now so i guess ill end my entry. i love all of my friends!!.. weird and wacky as you are lol. mwah,

~lisey lou~

oh and me and rachel watched the doors movie... weird but definitely a pretty acurate account i guess. he was an odd dude but an awesome musician."
"eventtime","2005-05-25 22:48:00"
"current_moodid","21"
"url","http://liseyreecierave.livejournal.com/2997.html"
"userid","8982"
"itemid","10"
"event","well i got to sleep in this mornin' cuz i dont have any exams today. that was nice but i have two really hard ones t/m ughhh... oh well.i can't wait for the actual summer no strings attached to be HERE. taylor tell me if ur mom said yess to rooming with me in july!!! rachel, i cant wait till tuesday haha.. its going to be so much fun. good luck in everybody's exams,

~lisey~"
"eventtime","2005-05-23 10:41:00"
"current_moodid","87"
"url","http://liseyreecierave.livejournal.com/2704.html"
"userid","8982"
"itemid","9"
"event","exams were actually not TOOOOOO bad today.... still im glad that they are over, until tuesday :/
sry i havent been very good about updating lately but now that its SUMMER!!!! i promise that i will be much better. im so excited about my plans for next week (yuss!). i just got back from the soccer cookout so im STUFFED and probably going to gain like 500 lbs so you might not recognize me next time you see me. love to everybody!!!

~lisey-lou~"
"eventtime","2005-05-20 21:05:00"
"current_moodid","93"
"url","http://liseyreecierave.livejournal.com/2357.html"
"userid","8982"
"itemid","8"
"event","well i only have a few minutes cuz i have to be back at school at four... to drive all the way to greensboro for states against who other than grimsley the #2 team in the state (YUSS!). my tay ray broke her foot and can't play... im gonna miss your kickbutt play out there girl (and i dont know how we're gonna do it w/o you but i must keep faith). today linnie asked the subsitute ""may i go pee, please"" and she got all pissed off at her for ""telling the class her personal business"".  Ill admit i found it rather funny though. gauri wrote a WHOLE page in my yb so im happy about that! im so glad that its finally friday.. these days are going by so slowly now that there are so few left. its sort of like a bittersweet kinda feeling tho, because as much as i am so ready for summer, i'm really going to miss freshman year and not being able to see everybody every single day (although some im sure i probably will anyway.. darn it you guys haha). well i better go get all suited up for the long drive to greensboro and the game of my life.. hopefully.. Love yo' all!

~Lisey~"
"eventtime","2005-05-13 15:10:00"
"current_moodid","43"
"url","http://liseyreecierave.livejournal.com/2108.html"
"userid","8982"
"itemid","7"
"event","ahhhhh finished all of my homework and i am about to go to the game against charlotte independence. this week has been a little blurry.. maybe b/c ive been practicing with a fever all week so that i could play in this game. hopefully my ears arent so stopped up that i wont be able to hear anything in the game today. oh well. wish us luck!! love,

~lisey~"
"eventtime","2005-05-11 17:44:00"
"url","http://liseyreecierave.livejournal.com/2034.html"
"userid","8982"
"itemid","6"
