"names","values"
"itemid","315"
"event","So not much has really changed in my world. I&nbsp;still work and still attempt school(lol). Anyways, i feel the need for more, you know? Like i need more hobbies or four hundred new friends or something????? Anyways, just dropping in to say hi and stuff. So, happy holidays to you guys i i'm not back on in a bit. :] 


trav"
"eventtime","2008-11-30 23:42:00"
"url","http://littlehottravis.livejournal.com/80894.html"
"userid","9023"
"itemid","314"
"event","The thoughts of nothing seem to fill my brain, of things with wishes and thoughts that can never happen. A state in which you think you can do something, or succeed in some way than others, but you can't you try but nothing happens. I need a change, a new place, a new school, a new something.....i just don't know what yet. I think that life just needs a mix up every now and then, i can't sit and wait for life, i'm gonna make it happen. I need something new , job, place,something. I'm not sure, i just can't sit on life, and thats what i've been doing. I just can't anymore. Grrrr......I need well....money first off.......and school......but i can't stand the same stuff. ..............i got nothin....i'm gonna go think more....."
"eventtime","2008-06-30 01:42:00"
"url","http://littlehottravis.livejournal.com/80624.html"
"userid","9023"
"itemid","313"
"event","So things have begun to roll around, speed up, then slow down. They've been going up and down and sideways and that ways and long ways and every ways. Things are just here and there, and nowhere. I'm so lost in translation that i might as well be deaf. I think the heart of it is just me, and that confuses things even worse then this post. 

So where do you go from a stand still, so many choices to make in life. Which ones are right, which ones are wrong?? Does anyone know, can anyone even help you figure it out? I have so many questions, with so many answers i don't have. I think i am having a id-life crisis at the age of 19. That alone confuses me. I feel so torn, but so complete. What is this feeling. I know, i know, life goes on, and such. But does life just pause and just confuse your head? Mine does. 

I think i just really really need to find that second job i've been looking for to get my mind off of things. Maybe that will help. I really hope it does. I keep crossing my fingers about finding a new and fun job, but i just can't seem to get hired anywhere. Oh well, i just keep looking.

In the meantime, wade leaves on the 10th. So that is fun, and by fun i mean exhausting. I don't know what to say to him when he leaves, shit, i don't even know what to think anymore about it. 

Alright, i guess i'm doing myself in on the rantingness.

Trav-0ut"
"eventtime","2008-06-25 23:11:00"
"current_moodid","101"
"url","http://littlehottravis.livejournal.com/80233.html"
"userid","9023"
"itemid","312"
"event","So, i am currently working a ton. I am also looking for a second job, sounds fun right. I guess its not too bad, i'm staying busy so thats all that counts. I've been meeting a lot of new people lately, which is cool. A lot of different people, and a lot of new people at work; its fun. Life is pretty good i suppose. I don't really have much to comp[lain about, except my dad leaving again. So anyways, thats the update on me.

peace out"
"eventtime","2008-06-13 00:13:00"
"current_moodid","126"
"url","http://littlehottravis.livejournal.com/79886.html"
"userid","9023"
"itemid","311"
"event","."
"eventtime","2008-05-14 21:33:00"
"url","http://littlehottravis.livejournal.com/79829.html"
"userid","9023"
"itemid","310"
"event","Ok, so the breaking story on my life at the moment is that my father is going back to Iraq on July 12th. Fanfuckingtastic. YES thats a word!

Needless to say i am quite upset right now. I just don't know what to think right now. Everything is blowing up in my face.

My mind is just spinning around and around. I just..........don't know....



T-out"
"eventtime","2008-05-14 21:12:00"
"current_moodid","24"
"url","http://littlehottravis.livejournal.com/79521.html"
"userid","9023"
"itemid","309"
"event","Hi i'm alive, finals this week. love. bye"
"eventtime","2008-04-27 23:09:00"
"url","http://littlehottravis.livejournal.com/79150.html"
"userid","9023"
"itemid","308"
