"names","values"
"itemid","10"
"event","My mostly cuddled &amp; beloved room mate... <br /><br /><lj-cut text=""Meet My Miraculous Miez!""><img src=""http://i550.photobucket.com/albums/ii404/lost_view/Private/miez.jpg"" alt="""" /><br /><br />It's called Miez. (I know, *very* inventive XD) And OBVIOUSLY, it is a CAT^^ It's orange, just the pic's baaaad :( <br /><br /><img src=""http://i550.photobucket.com/albums/ii404/lost_view/Private/miez2.jpg"" alt="""" /><br /><br />In full height :D It has no arms and very small legs and it may be not the prettiest...but...it's always there in my bed and is like a pillow (well, actually it IS a pillow...XD) that keeps me warrrrm ^____^<br />Miez, I luv ya. XD</lj-cut><br /><br /><br /><br />"
"eventtime","2009-01-13 20:25:00"
"current_moodid","44"
"url","http://lost-view.livejournal.com/2636.html"
"userid","9183"
"itemid","9"
"event","And now meet the unbelievably smart and cool, the one and only...<br /><br /><lj-cut text=""thE kInG \m/"">...theeeeeeeeeeeee KING!!!<br />It's just &quot;the King&quot;, no other names, please.<br /><br /><img alt="""" src=""http://i550.photobucket.com/albums/ii404/lost_view/Private/schlf.jpg"" /><br />It's an icy ice bear. He likes to show off...very MUCH. B-)<br /><br /><img alt="""" src=""http://i550.photobucket.com/albums/ii404/lost_view/Private/schlf1.jpg"" /><br />He's so BADASS. Worship him, unworthy humans. XD <br />Run for your life if you happen to fall from grace with him!!!</lj-cut><br /><br /><br />"
"eventtime","2009-01-12 13:33:00"
"current_moodid","106"
"url","http://lost-view.livejournal.com/2437.html"
"userid","9183"
"itemid","8"
"event","Next one is a really cute fellow^^<br /><br /><lj-cut text=""Oww..."">It's the bear. <br /><br /><img src=""http://i550.photobucket.com/albums/ii404/lost_view/Private/whitebear.jpg"" alt="""" /><br /><br />It hasn't got a name yet. XD I'll give it one someday...maybe, yeah.<br />His special feature are his puppy dog eyes :D How could one not like this cutey?</lj-cut><br /><br /><br />"
"eventtime","2009-01-12 13:24:00"
"current_moodid","125"
"url","http://lost-view.livejournal.com/2235.html"
"userid","9183"
"itemid","7"
"event","On with the introduction...<br /><br /><lj-cut text=""Get to know Norbert"">Get to know Norbert:<br /><img src=""http://i550.photobucket.com/albums/ii404/lost_view/Private/norbert.jpg"" alt="""" /><br />Obviously, it's a farrow. XD I won't lie to you...he's a freaking nerd. XD But I love him nevertheless^^</lj-cut><br /><br /><br /><br />"
"eventtime","2009-01-12 13:13:00"
"current_moodid","68"
"url","http://lost-view.livejournal.com/2014.html"
"userid","9183"
"itemid","6"
